dataset,protocol,protocol_label,protocol_kind,regime,method_key,method,mean_ndcg_at_k,std_ndcg_at_k,median_ndcg_at_k,common_query_count,three_regime_intersection_query_count,repaired_minus_unrepaired_mean_delta_ndcg,repaired_minus_unrepaired_median_delta_ndcg,repaired_minus_unrepaired_q05_delta_ndcg,repaired_minus_unrepaired_q25_delta_ndcg,repaired_minus_unrepaired_q75_delta_ndcg,repaired_minus_unrepaired_q95_delta_ndcg,helped_query_count,harmed_query_count,unchanged_query_count
scidocs,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.35048362957954876,0.31851150052073274,0.3342198863646645,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,copeland_graph_repaired,Copeland repaired,0.28024063064449983,0.35087483789313234,0.0,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,balance_graph_repaired,Balance repaired,0.29085454351991175,0.36220899891366587,0.0,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,markov_graph_repaired,Markov repaired,0.29058143990414137,0.362031822675578,0.0,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.29900523563607184,0.3715764777376558,0.0,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.30075902301860563,0.3741255640357931,0.0,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,copeland_graph_repaired,Copeland repaired,0.2803417570223673,0.3521525256574675,0.0,120,120,0.003634275353696659,0.0,-0.027246031215337734,0.0,0.0,0.07953176504596222,21.0,10.0,89.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,balance_graph_repaired,Balance repaired,0.2904996046893689,0.3623860893199134,0.0,120,120,0.0035159966086473946,0.0,0.0,0.0,0.0,0.014817489566302734,16.0,5.0,99.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,markov_graph_repaired,Markov repaired,0.2869488444257664,0.360060924148602,0.0,120,120,0.003568757606997486,0.0,-0.00767693723940121,0.0,0.0,0.023487078922847383,17.0,7.0,96.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.2953176613108609,0.3671043938457095,0.0,120,120,-0.004569149185585735,0.0,-0.012510603567523093,0.0,0.0,0.018955114654218036,16.0,8.0,96.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.300307756355752,0.3728007443697575,0.0,120,120,-0.0016912410670576554,0.0,0.0,0.0,0.0,0.0,3.0,2.0,115.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,copeland_graph_repaired,Copeland repaired,0.2765665984290314,0.35330525591128376,0.0,120,120,-0.00017263791214213408,0.0,0.0,0.0,0.0,0.0,0.0,2.0,118.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,balance_graph_repaired,Balance repaired,0.2828713810325208,0.35913533889030075,0.0,120,120,-5.57625852281506e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,markov_graph_repaired,Markov repaired,0.2820163289511741,0.3580272228154906,0.0,120,120,-5.57625852281506e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.29946710097045365,0.37399056695677285,0.0,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
fiqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.301263666195941,0.3745041084774484,0.0,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,copeland_graph_repaired,Copeland repaired,0.8602066458342785,0.208693774419826,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,balance_graph_repaired,Balance repaired,0.8830093138377724,0.19563225719937272,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,markov_graph_repaired,Markov repaired,0.8678231335689706,0.19551415687031556,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.8835743999170895,0.20217926344856757,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.8835743999170895,0.20217926344856757,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,copeland_graph_repaired,Copeland repaired,0.8889562947582704,0.18404469821471073,1.0,52,52,0.01550607117753817,0.0,-0.006311267653355103,0.0,0.0,0.22629438553091674,5.0,3.0,44.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,balance_graph_repaired,Balance repaired,0.8903688412769438,0.186208914132538,1.0,52,52,-0.0013331431139732104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,markov_graph_repaired,Markov repaired,0.8919126722548634,0.18677778966916353,1.0,52,52,-0.002287635243305768,0.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.8880964209241783,0.20013430410495722,1.0,52,52,0.01226673280326149,0.0,0.0,0.0,0.0,0.019127463214562032,3.0,0.0,49.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.887279007966291,0.2000902688887261,1.0,52,52,0.004351815106363783,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,copeland_graph_repaired,Copeland repaired,0.8734502235807322,0.1893785088609202,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,balance_graph_repaired,Balance repaired,0.8926442552222791,0.18109425003814897,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,markov_graph_repaired,Markov repaired,0.8885031279798615,0.18568932965544765,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.8758296881209169,0.20402661863196736,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.8829271928599274,0.20179099947181003,1.0,52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,copeland_graph_repaired,Copeland repaired,0.6336111061165562,0.33839984044215227,0.7440123402152458,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,balance_graph_repaired,Balance repaired,0.6315885294118483,0.34101760108648915,0.7775827901973498,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,markov_graph_repaired,Markov repaired,0.6268225281333228,0.3356452551506527,0.7541902531433538,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.6460236099804013,0.3570890465868621,0.792448157958306,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms2,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.6465207724269603,0.35694518740841685,0.792448157958306,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,copeland_graph_repaired,Copeland repaired,0.6322082106625195,0.32897550985717366,0.6934264036172708,50,50,-0.014041497577935986,0.0,-0.15310814893061933,-0.00371062287728699,0.015047815391424399,0.06090849466252464,19.0,13.0,18.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,balance_graph_repaired,Balance repaired,0.6400311344391819,0.33332506294378417,0.7154308704605056,50,50,0.0004451165495483156,0.0,-0.016130695584034405,0.0,0.0,0.01799952722842123,10.0,8.0,32.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,markov_graph_repaired,Markov repaired,0.6285909408450325,0.3227018474518547,0.6537317406414664,50,50,-0.007513713663229774,0.0,-0.07149195144561643,-0.000999394370056611,0.0,0.029203986708241716,6.0,13.0,31.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.6395668223866333,0.3571371459798127,0.7594358804150975,50,50,0.000601579547462045,0.0,-0.022195192438500756,0.0,0.0,0.010304995551496618,10.0,10.0,30.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.6434688363103919,0.35800567470797573,0.7895857372033068,50,50,-0.007220815414619868,0.0,-0.012198145024402654,0.0,0.0,0.0,2.0,6.0,42.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,copeland_graph_repaired,Copeland repaired,0.6468076487002118,0.32840770669848734,0.8040089632060412,50,50,0.00017972384514734928,0.0,-0.0016315488430602482,0.0,0.0,0.0,2.0,3.0,45.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,balance_graph_repaired,Balance repaired,0.644530448804365,0.3310542027790227,0.7608078070684584,50,50,0.00010718480122968055,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,markov_graph_repaired,Markov repaired,0.640885672319445,0.32369589174955504,0.6721736667122017,50,50,0.0006887678870840718,0.0,0.0,0.0,0.0,0.0,2.0,1.0,47.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_copeland_a0p3_minmax,Copeland hybrid repaired,0.6391337244871435,0.3522122811873425,0.762035343596793,50,50,0.00016848164797221842,0.0,0.0,0.0,0.0,0.0,2.0,0.0,48.0
bright,primary_minmax_retention_matched,minmax + retention-matched,primary,ms1_drop_mutual,hybrid_repaired_balance_a0p3_minmax,Balance hybrid repaired,0.6501361731526457,0.3572872745979337,0.7946087588019723,50,50,7.65555966378506e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0
