dataset,preference_source,method,n_queries,ndcg_mean,map_mean,pairwise_accuracy_mean,tau_mean,runtime_mean_s,cyclic_pct,fas_removed_weight_mean
fiqa,qrels_flip,hybrid_rrf_balance_a05,50,0.97170714,0.9445167999999999,0.9483541200000001,0.5778947200000001,0.01132598,100.0,40.76
fiqa,qrels_flip,hybrid_rrf_copeland_a03,50,0.87921532,0.94579174,0.89840526,0.53936842,0.01132598,100.0,40.76
fiqa,qrels_flip,hybrid_rrf_fas_regularized,50,0.97170714,0.9445167999999999,0.9483541200000001,0.5778947200000001,0.01132598,100.0,40.76
fiqa,qrels_flip,hybrid_rrf_priority_topo_a03,50,0.7916825799999999,0.7647160599999999,0.77581946,0.25557888,0.01132598,100.0,40.76
fiqa,qrels_flip,pagerank,50,0.89207076,0.8119396000000001,0.8798902,0.43305264,0.01132598,100.0,40.76
fiqa,qrels_flip,score_sum,50,0.9994619400000001,0.99889596,0.9983901199999999,0.64778954,0.01132598,100.0,40.76
hotpotqa,qrels,borda,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels,fas_balance_score_prior_alpha_beta,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels,greedy_fas_copeland,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels,greedy_fas_score_augmented_topological,50,1.0,1.0,1.0,-0.16000024,0.00674578,0.0,0.0
hotpotqa,qrels,greedy_fas_topological,50,1.0,1.0,1.0,0.26399992,0.00674578,0.0,0.0
hotpotqa,qrels,greedy_fas_weighted_balance,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels,hybrid_rrf_balance_a05,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels,hybrid_rrf_copeland_a03,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels,hybrid_rrf_fas_regularized,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels,hybrid_rrf_priority_topo_a03,50,1.0,1.0,1.0,-0.16000024,0.00674578,0.0,0.0
hotpotqa,qrels,pagerank,50,1.0,1.0,1.0,0.26399992,0.00674578,0.0,0.0
hotpotqa,qrels,score_sum,50,1.0,1.0,1.0,1.0,0.00674578,0.0,0.0
hotpotqa,qrels_flip,borda,50,1.0,1.0,1.0,0.72088882,0.00754482,60.0,1.24
hotpotqa,qrels_flip,fas_balance_score_prior_alpha_beta,50,0.99502552,0.99,0.99375,0.6755556,0.00754482,60.0,1.24
hotpotqa,qrels_flip,greedy_fas_copeland,50,0.98007468,0.9677778,0.98339286,0.67111114,0.00754482,60.0,1.24
hotpotqa,qrels_flip,greedy_fas_score_augmented_topological,50,0.8417318,0.7233334,0.83708342,2.000000000002e-08,0.00754482,60.0,1.24
hotpotqa,qrels_flip,greedy_fas_topological,50,0.84144418,0.72266672,0.83613104,0.21422229999999998,0.00754482,60.0,1.24
hotpotqa,qrels_flip,greedy_fas_weighted_balance,50,0.98007468,0.9677778,0.98339286,0.67111114,0.00754482,60.0,1.24
hotpotqa,qrels_flip,hybrid_rrf_balance_a05,50,0.98007468,0.9677778,0.98339286,0.67111114,0.00754482,60.0,1.24
hotpotqa,qrels_flip,hybrid_rrf_copeland_a03,50,0.98007468,0.9677778,0.98339286,0.67111114,0.00754482,60.0,1.24
hotpotqa,qrels_flip,hybrid_rrf_fas_regularized,50,0.98007468,0.9677778,0.98339286,0.67111114,0.00754482,60.0,1.24
hotpotqa,qrels_flip,hybrid_rrf_priority_topo_a03,50,0.84302654,0.7258731,0.8408929399999999,0.03644444,0.00754482,60.0,1.24
hotpotqa,qrels_flip,pagerank,50,0.93479196,0.88188892,0.94273814,0.29688896,0.00754482,60.0,1.24
hotpotqa,qrels_flip,score_sum,50,1.0,1.0,1.0,0.72088882,0.00754482,60.0,1.24
scidocs,qrels,borda,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels,fas_balance_score_prior_alpha_beta,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels,greedy_fas_copeland,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels,greedy_fas_score_augmented_topological,50,1.0,1.0,1.0,-0.35368424,0.008883480000000001,0.0,0.0
scidocs,qrels,greedy_fas_topological,50,1.0,1.0,1.0,0.34084212,0.008883480000000001,0.0,0.0
scidocs,qrels,greedy_fas_weighted_balance,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels,hybrid_rrf_balance_a05,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels,hybrid_rrf_copeland_a03,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels,hybrid_rrf_fas_regularized,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels,hybrid_rrf_priority_topo_a03,50,1.0,1.0,1.0,-0.35368424,0.008883480000000001,0.0,0.0
scidocs,qrels,pagerank,50,1.0,1.0,1.0,0.34084212,0.008883480000000001,0.0,0.0
scidocs,qrels,score_sum,50,1.0,1.0,1.0,1.0,0.008883480000000001,0.0,0.0
scidocs,qrels_flip,borda,50,1.0,1.0,1.0,0.59894734,0.0114133,98.0,8.6
scidocs,qrels_flip,fas_balance_score_prior_alpha_beta,50,1.0,1.0,1.0,0.54673684,0.0114133,98.0,8.6
scidocs,qrels_flip,greedy_fas_copeland,50,0.9997921200000001,0.9993333400000001,0.9997333399999999,0.55389482,0.0114133,98.0,8.6
scidocs,qrels_flip,greedy_fas_score_augmented_topological,50,0.83104554,0.66213798,0.8453649799999999,-0.12273684,0.0114133,98.0,8.6
scidocs,qrels_flip,greedy_fas_topological,50,0.8275839,0.65412026,0.83256276,0.22378946,0.0114133,98.0,8.6
scidocs,qrels_flip,greedy_fas_weighted_balance,50,0.9997921200000001,0.9993333400000001,0.9997333399999999,0.55389482,0.0114133,98.0,8.6
scidocs,qrels_flip,hybrid_rrf_balance_a05,50,0.9997921200000001,0.9993333400000001,0.9997333399999999,0.55389482,0.0114133,98.0,8.6
scidocs,qrels_flip,hybrid_rrf_copeland_a03,50,0.9997921200000001,0.9993333400000001,0.9997333399999999,0.55389482,0.0114133,98.0,8.6
scidocs,qrels_flip,hybrid_rrf_fas_regularized,50,0.9997921200000001,0.9993333400000001,0.9997333399999999,0.55389482,0.0114133,98.0,8.6
scidocs,qrels_flip,hybrid_rrf_priority_topo_a03,50,0.84048018,0.68197176,0.8581309400000001,0.009894739999999999,0.0114133,98.0,8.6
scidocs,qrels_flip,pagerank,50,0.951044,0.9036310399999999,0.97083846,0.31957892,0.0114133,98.0,8.6
scidocs,qrels_flip,score_sum,50,1.0,1.0,1.0,0.59894734,0.0114133,98.0,8.6
