dataset,method,accuracy,avg_cost,source,preference_source,pilot_cost_usd_shared,revise_rate,extra_compute_rate,oracle_accuracy
hotpotqa,fas_balance_score_prior_alpha_beta,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,hybrid_rrf_fas_regularized,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,hybrid_rrf_balance_a05,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,hybrid_rrf_copeland_a03,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
hotpotqa,hybrid_rrf_priority_topo_a03,1.0,0.0020530583501006,baseline_qrels_summary,qrels,,,1.0,1.0
bright,score_sum,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,borda,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,pagerank,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,greedy_fas_topological,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,greedy_fas_weighted_balance,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,greedy_fas_copeland,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,greedy_fas_score_augmented_topological,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,fas_balance_score_prior_alpha_beta,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,hybrid_rrf_fas_regularized,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,hybrid_rrf_balance_a05,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,hybrid_rrf_copeland_a03,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
bright,hybrid_rrf_priority_topo_a03,1.0,0.0048217605633802,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,score_sum,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,borda,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,pagerank,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,greedy_fas_topological,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,greedy_fas_weighted_balance,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,greedy_fas_copeland,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,greedy_fas_score_augmented_topological,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,fas_balance_score_prior_alpha_beta,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,hybrid_rrf_fas_regularized,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,hybrid_rrf_balance_a05,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,hybrid_rrf_copeland_a03,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
fiqa,hybrid_rrf_priority_topo_a03,1.0,0.00920632,baseline_qrels_summary,qrels,,,1.0,1.0
scidocs,cross_encoder,0.89768,0.003142176,modern_baselines_cross_encoder,cross_encoder,,,1.0,1.0
hotpotqa,cross_encoder,0.949931,0.0020530583501006,modern_baselines_cross_encoder,cross_encoder,,,1.0,1.0
bright,cross_encoder,0.887669,0.0048217605633802,modern_baselines_cross_encoder,cross_encoder,,,1.0,1.0
fiqa,cross_encoder,1.0,0.00920632,modern_baselines_cross_encoder,cross_encoder,,,1.0,1.0
scidocs,llm_pairwise_copeland_openai_pilot,0.9566,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,bt_from_llm_openai_pilot,0.9566,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,win_rate_from_llm_openai_pilot,0.9566,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,markov_from_llm_openai_pilot,0.9574,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,tournament_sort_from_llm_openai_pilot,0.9533,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,greedy_fas_topological_openai_pilot,0.9474,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,greedy_fas_weighted_balance_openai_pilot,0.9464,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,greedy_fas_copeland_openai_pilot,0.9464,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,hybrid_rrf_repaired_copeland_a03_openai_pilot,0.9563,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,hybrid_rrf_unrepaired_copeland_a03_openai_pilot,0.9566,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,hybrid_rrf_repaired_balance_a03_openai_pilot,0.9563,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
scidocs,hybrid_rrf_unrepaired_balance_a03_openai_pilot,0.9566,0.1466,openai_pairwise_pilot,llm_pairwise_cached,0.1466,,46.655566079048405,1.0
hotpotqa,llm_pairwise_copeland_openai_pilot,0.8929,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,bt_from_llm_openai_pilot,0.8859,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,win_rate_from_llm_openai_pilot,0.8929,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,markov_from_llm_openai_pilot,0.8868,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,tournament_sort_from_llm_openai_pilot,0.9008,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,greedy_fas_topological_openai_pilot,0.8778,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,greedy_fas_weighted_balance_openai_pilot,0.8778,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,greedy_fas_copeland_openai_pilot,0.8778,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,hybrid_rrf_repaired_copeland_a03_openai_pilot,0.8859,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,hybrid_rrf_unrepaired_copeland_a03_openai_pilot,0.8929,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,hybrid_rrf_repaired_balance_a03_openai_pilot,0.8859,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
hotpotqa,hybrid_rrf_unrepaired_balance_a03_openai_pilot,0.8929,0.0244,openai_pairwise_pilot,llm_pairwise_cached,0.0244,,11.884708488097477,1.0
