dataset,pool_label,pool_size,query_id,n_nodes,n_edges,density,n_weak_components,largest_weak_component,largest_scc,is_cyclic,edges_all3_agree,edges_exactly2_agree
scidocs,canonical,20,0a40663fdcf7c5fb7cfc459693116c41309e7eca,20,46,0.12105263157894737,1,20,1,False,0,46
scidocs,canonical,20,8501e330d78391f4e690886a8eb8fac867704ea6,20,51,0.13421052631578947,1,20,1,False,14,37
scidocs,canonical,20,beac53e8074b4822943a3374ff5e9fed98a891b8,20,102,0.26842105263157895,1,20,1,False,11,91
scidocs,canonical,20,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,20,60,0.15789473684210525,1,20,1,False,0,60
scidocs,canonical,20,7db20fcc1d71edc32c365f145148d24b9f1427a5,20,55,0.14473684210526316,1,20,1,False,14,41
scidocs,canonical,20,335ad0ff82c728aca99fb0059c607cb18129526f,20,29,0.07631578947368421,4,15,1,False,0,29
scidocs,canonical,20,04e4034344bda5c97015ea634e6eb1b65ef3a898,20,101,0.2657894736842105,1,20,1,False,12,89
scidocs,canonical,20,271a4077c037b86fb7daf6bff3e66682322ff7d7,20,23,0.060526315789473685,7,14,1,False,0,23
scidocs,canonical,20,3d23666c6d97d6ba3c86044d83c697821084bed6,20,90,0.23684210526315788,1,20,1,False,16,74
scidocs,canonical,20,fd4537b92ab9fa7c653e9e5b9c4f815914a498c0,20,86,0.22631578947368422,1,20,1,False,10,76
scidocs,canonical,20,191ea925c2115755b44380c99d84f4a1099b4dcd,20,76,0.2,2,19,1,False,14,62
scidocs,canonical,20,458f1428273254fc5dd399f3c104f507680ddd54,20,51,0.13421052631578947,2,19,1,False,7,44
scidocs,canonical,20,19115f66f6ac1c02568bbb38eceedfa3521a8cc2,20,66,0.1736842105263158,3,18,1,False,5,61
scidocs,canonical,20,84424eee012089dac9414979f0cb1465c97c4408,20,65,0.17105263157894737,1,20,1,False,6,59
scidocs,canonical,20,5bb6b779de7929c573f39cd84169cafbd72e5bae,20,95,0.25,1,20,1,False,11,84
scidocs,canonical,20,7b6652910c5cc0df9ff6bc91912a02e58a742d26,20,32,0.08421052631578947,5,16,1,False,1,31
scidocs,canonical,20,df0ef17f63582603dafb1ac5c489dec1416ecbf4,20,58,0.15263157894736842,1,20,1,False,0,58
scidocs,canonical,20,f2d5039b55d626ef5466a80e950bddd5cc1819d4,20,58,0.15263157894736842,1,20,1,False,15,43
scidocs,canonical,20,7492683af60d02dbd658acdc61249571f8c20fc8,20,53,0.1394736842105263,2,19,1,False,9,44
scidocs,canonical,20,f7f32e86c23a902ac55fba8b8191026f563bec5b,20,86,0.22631578947368422,1,20,1,False,23,63
scidocs,canonical,20,a22e737d38a1bc671893a7ed341aba436571097a,20,41,0.10789473684210527,4,17,1,False,0,41
scidocs,canonical,20,4b80771429b786ea87740738378ba1eb1504a57f,20,33,0.0868421052631579,3,18,1,False,1,32
scidocs,canonical,20,9003fb79e7848ced3be975c3d87a9348a4b8d377,20,43,0.11315789473684211,1,20,1,False,11,32
scidocs,canonical,20,ac58b487e864afafe71c6158553eed10fbc8eef5,20,45,0.11842105263157894,1,20,1,False,21,24
scidocs,canonical,20,30c9a7660281ad8e4538ff9beb20282c74fac810,20,35,0.09210526315789473,3,18,1,False,0,35
scidocs,canonical,20,129397ed6557da93db5ba18cf112ee7b0a7927d8,20,118,0.3105263157894737,1,20,1,False,44,74
scidocs,canonical,20,1a66df57f88e689438d505474eff73e3a9180c5b,20,68,0.17894736842105263,1,20,1,False,14,54
scidocs,canonical,20,e00ab75a8aa637d9c4c5c020e9f2c54b31528031,20,50,0.13157894736842105,1,20,1,False,12,38
scidocs,canonical,20,7707c7aac35a4d206eb061305256452051ae4dcf,20,69,0.18157894736842106,1,20,1,False,5,64
scidocs,canonical,20,23386571ed332e4a465c0a6fa899f310caa217c8,20,62,0.1631578947368421,1,20,1,False,10,52
scidocs,canonical,20,e7ec9e900556d9d9e47b274911ad304bcf198256,20,77,0.2026315789473684,1,20,1,False,39,38
scidocs,canonical,20,ca464085b3da330f2ea895543a78c446a3af1bb6,20,63,0.16578947368421051,1,20,1,False,5,58
scidocs,canonical,20,f09db8a42d713774483f023b31e0ee96361823f4,20,44,0.11578947368421053,3,18,1,False,2,42
scidocs,canonical,20,958ebc7e24012b419316489515f2c2f908773bd5,20,54,0.14210526315789473,1,20,1,False,2,52
scidocs,canonical,20,73d54af530d22599cc76b9785ae0a663cc694df2,20,111,0.29210526315789476,1,20,1,False,16,95
scidocs,canonical,20,de77514c78432a0b17cf30baa024434173908f89,20,59,0.15526315789473685,1,20,1,False,16,43
scidocs,canonical,20,7c88a0f765ce3c9025345cf133251cb947fe6ee5,20,78,0.20526315789473684,1,20,1,False,16,62
scidocs,canonical,20,a9d7e7e918a68d1b95c6c6b29f7fabbbe01010f7,20,34,0.08947368421052632,2,19,1,False,5,29
scidocs,canonical,20,0bfa2ab02f3c9a9fe06fcebf34bd8f371e206512,20,79,0.20789473684210527,1,20,1,False,20,59
scidocs,canonical,20,5e1b80b4774582b948c6dcd656daaba6724ffc2d,20,32,0.08421052631578947,1,20,1,False,3,29
scidocs,canonical,20,382bbb79d7ffda63395db3d9b4ebce55d0b2f038,20,60,0.15789473684210525,1,20,1,False,1,59
scidocs,canonical,20,f7bdc97a6b4c5d65c145479ae74b3a244121ae89,20,110,0.2894736842105263,1,20,1,False,36,74
scidocs,canonical,20,e659e72b7962c9ad586a2d35a7099550102fb054,20,87,0.22894736842105262,1,20,1,False,36,51
scidocs,canonical,20,3136f52540fb7925998eff94e9c016d2e1a6fe12,20,52,0.1368421052631579,1,20,1,False,0,52
scidocs,canonical,20,0bf046038a555bc848030a28530f9836e5611b96,20,101,0.2657894736842105,1,20,1,False,6,95
scidocs,canonical,20,5a4b46ef8898610ab16a1ced6f4a976db0f1962c,20,55,0.14473684210526316,1,20,1,False,1,54
scidocs,canonical,20,232427099d4a8acf1dc29efc852f09c5964e6165,20,76,0.2,2,19,1,False,0,76
scidocs,canonical,20,100636ca50edf63d4336bb071f3e172cb0ebccaa,20,52,0.1368421052631579,1,20,1,False,4,48
scidocs,canonical,20,7a373793804ea9813d64641919e14841f927c38f,20,93,0.24473684210526317,1,20,1,False,24,69
scidocs,canonical,20,e788f08148b4b06f4e537b27b51338f1c88ccea8,20,57,0.15,1,20,1,False,12,45
scidocs,canonical,20,8fad88b5678bfecab78d0d6389f649ccfb310d22,20,31,0.08157894736842106,4,16,1,False,3,28
scidocs,canonical,20,e48e9cf407af2694ecfefd441c2c28faffdf0835,20,122,0.32105263157894737,1,20,1,False,54,68
scidocs,canonical,20,065985d4d0854c51f52ad7a7507b267d9b88ab1c,20,51,0.13421052631578947,2,19,1,False,5,46
scidocs,canonical,20,44a56dc083e3e2b07f11aae29c1ee560f46efa4a,20,93,0.24473684210526317,1,20,1,False,18,75
scidocs,canonical,20,3b198869df03d98b81c0c882753845a3bca36c63,20,80,0.21052631578947367,1,20,1,False,17,63
scidocs,canonical,20,9a7e12ef462e779263ee3f2dd415d2d21233f15d,20,32,0.08421052631578947,1,20,1,False,8,24
scidocs,canonical,20,76dac031066a95715a3b116eb2094ec9bdd15171,20,73,0.19210526315789472,1,20,1,False,10,63
scidocs,canonical,20,26ebc1b9e21db68d5abf01acd2a0c38d260c65a1,20,79,0.20789473684210527,1,20,1,False,12,67
scidocs,canonical,20,a1be02429ab4ec852656f8833c3160f4592cc547,20,25,0.06578947368421052,10,11,1,False,0,25
scidocs,canonical,20,a1f5c39aece58f6504e0334d96eaede32c7329cf,20,67,0.1763157894736842,2,19,1,False,7,60
scidocs,canonical,20,8ff6581f94c366e34c6f2d55806f7781194c33c8,20,109,0.2868421052631579,1,20,1,False,23,86
scidocs,canonical,20,fd65ca4e3ae95302f74bf863988cdb95d6a12824,20,103,0.2710526315789474,1,20,1,False,19,84
scidocs,canonical,20,3565d884735ead613a5aa0903f06a2cc86d05b6b,20,67,0.1763157894736842,1,20,1,False,37,30
scidocs,canonical,20,c2e57b2871fdfd06566820c5329815ac06f66197,20,43,0.11315789473684211,5,16,1,False,2,41
scidocs,canonical,20,59e2037f5079794cb9128c7f0900a568ced14c2a,20,95,0.25,1,20,1,False,6,89
scidocs,canonical,20,3f95e155b1c40911149fe994197a502ef44ebbbe,20,115,0.3026315789473684,1,20,1,False,53,62
scidocs,canonical,20,0674058618d04def58c79a0b28174301ef591433,20,78,0.20526315789473684,1,20,1,False,22,56
scidocs,canonical,20,23a7c8d9f142184d28e56b0751e172fef6539275,20,77,0.2026315789473684,1,20,1,False,27,50
scidocs,canonical,20,ee6b940d3ae36f9b124586b15a49cec45f24b90a,20,96,0.25263157894736843,1,20,1,False,30,66
scidocs,canonical,20,2bd338ef8751b62d23e53fbb44d67042d634da2f,20,43,0.11315789473684211,3,18,1,False,6,37
scidocs,canonical,20,ddbb6e0913ac127004be73e2d4097513a8f02d37,20,92,0.24210526315789474,1,20,1,False,27,65
scidocs,canonical,20,d6b56cc6e05300426b6194dd3f6a38720678827e,20,104,0.2736842105263158,1,20,1,False,27,77
scidocs,canonical,20,df39e24c3cc21dc4c79995ec2b424a37dac999c7,20,40,0.10526315789473684,1,20,1,False,19,21
scidocs,canonical,20,74bd4761b373447079c6e5cd31832c00fab2fa77,20,57,0.15,1,20,1,False,4,53
scidocs,canonical,20,ddbf21ca1de9617894b15d45787a27557f02a494,20,63,0.16578947368421051,1,20,1,False,17,46
scidocs,canonical,20,f754cab548f2c209ea7d932084ef768b92b27614,20,59,0.15526315789473685,2,19,1,False,5,54
scidocs,canonical,20,373f76633cc1f6c7a421e31c989842021a52fca4,20,78,0.20526315789473684,2,19,1,False,6,72
scidocs,canonical,20,01d208b33561362f7714f714d3bc4a1f7aa1637c,20,55,0.14473684210526316,3,18,1,False,0,55
scidocs,canonical,20,f365ce3e68cb3795887e93baf5fed5d783b3904e,20,17,0.04473684210526316,8,13,1,False,0,17
scidocs,canonical,20,28e0707528f78fecb26fe7f003d94f6a5de32b98,20,79,0.20789473684210527,1,20,1,False,16,63
scidocs,canonical,20,fa8042d025895e22af2d9df3ffb9f67438610fcc,20,60,0.15789473684210525,2,19,1,False,2,58
scidocs,canonical,20,ae2b67d03512dd0f13a68636d1d7f83cc889318a,20,89,0.23421052631578948,1,20,1,False,20,69
scidocs,canonical,20,b8397b4418bb1d576210d9a39d44725d6ffb2a44,20,113,0.29736842105263156,1,20,1,False,31,82
scidocs,canonical,20,ebf4ef0701e6f6c2050e5bed0be54fd4d8a1d991,20,41,0.10789473684210527,3,18,1,False,1,40
scidocs,canonical,20,af441a4f1b754ad9b3a4401e8361ad9b66786778,20,73,0.19210526315789472,1,20,1,False,17,56
scidocs,canonical,20,8bb3a478db8951f42198a885d7245d58036ba55c,20,100,0.2631578947368421,1,20,1,False,19,81
scidocs,canonical,20,9e76a700f03ef476b964b27e23c071163e44c232,20,112,0.29473684210526313,1,20,1,False,40,72
scidocs,canonical,20,43da9037d50745002195abb864243ecc75d4b040,20,50,0.13157894736842105,3,18,1,False,0,50
scidocs,canonical,20,b21951a276dd940e052676b06e193f65fdc297f9,20,35,0.09210526315789473,2,19,1,False,3,32
scidocs,canonical,20,b9d502d98e3bb19f8179a4363e3f28c6b6def7a8,20,48,0.12631578947368421,1,20,1,False,0,48
scidocs,canonical,20,399acab2bee6eccbfffe4a2ce688b6b1075e9c5e,20,41,0.10789473684210527,1,20,1,False,10,31
scidocs,canonical,20,4649e3279edf653135f1f31da3e242ba451a93de,20,73,0.19210526315789472,2,19,1,False,1,72
scidocs,canonical,20,4ab6e67519411dbdb69c6111a3b8d5f334ebb579,20,100,0.2631578947368421,1,20,1,False,36,64
scidocs,canonical,20,924544f503070bb390cc51e4bac9cbb3171aa03f,20,65,0.17105263157894737,1,20,1,False,19,46
scidocs,canonical,20,d2e6250e95af09fefbe638f1580420476a2ecaee,20,15,0.039473684210526314,7,14,1,False,0,15
scidocs,canonical,20,79e13ff4a21f13d3839422568274ea84a9fe42b5,20,86,0.22631578947368422,1,20,1,False,36,50
scidocs,task1_larger,50,78495383450e02c5fe817e408726134b3084905d,50,188,0.07673469387755102,15,36,1,False,11,177
scidocs,task1_larger,50,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,50,155,0.06326530612244897,4,47,1,False,11,144
scidocs,task1_larger,50,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,50,240,0.09795918367346938,13,38,1,False,6,234
scidocs,task1_larger,50,3a63667284dc8b9687ed1620406030bfe39af3c9,50,335,0.13673469387755102,7,44,1,False,62,273
scidocs,task1_larger,50,071f47b7bc5830643e31dbed82e0375bf9b26559,50,141,0.05755102040816327,7,44,1,False,9,132
scidocs,task1_larger,50,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,50,216,0.08816326530612245,7,44,1,False,45,171
scidocs,task1_larger,50,a65196dfff31425281c690a7f2ca65247147da6b,50,249,0.10163265306122449,5,46,1,False,19,230
scidocs,task1_larger,50,a04b5b99f5d9d8748843e870536a4a9f65562012,50,453,0.18489795918367347,9,42,1,False,46,407
scidocs,task1_larger,50,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,50,181,0.07387755102040816,10,41,1,False,34,147
scidocs,task1_larger,50,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,50,219,0.08938775510204082,15,36,1,False,0,219
scidocs,task1_larger,50,648678f1edab0d2139958070744b826d2b24c79e,50,104,0.04244897959183674,23,28,1,False,16,88
scidocs,task1_larger,50,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,50,73,0.02979591836734694,20,31,1,False,2,71
scidocs,task1_larger,50,4715401473dca02ebaa5bdd4d4003705ed91c380,50,352,0.1436734693877551,4,47,1,False,44,308
scidocs,task1_larger,50,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,50,337,0.13755102040816328,10,41,1,False,70,267
scidocs,task1_larger,50,3be10c45163c61dfb9f250412699b3f8cb0ada1d,50,280,0.11428571428571428,9,42,1,False,42,238
scidocs,task1_larger,50,566c89a1ace18f57ac3212e6d62634b501990b31,50,95,0.03877551020408163,12,39,1,False,7,88
scidocs,task1_larger,50,370fda29c5aaff285311a87824c5f28db33da021,50,238,0.09714285714285714,7,44,1,False,24,214
scidocs,task1_larger,50,6c89453c09abde95d998f5acd244f00519472ee0,50,221,0.09020408163265306,9,42,1,False,38,183
scidocs,task1_larger,50,74d4bf32242a3d22df63e0cd3c7b5a0038220cd2,50,355,0.14489795918367346,5,46,1,False,48,307
scidocs,task1_larger,50,714c194a2fc326151b905270558aa137f9f22730,50,296,0.12081632653061225,11,40,1,False,10,286
scidocs,task1_larger,50,c79b88a8d8ba491cead38b431703d84015153a8f,50,227,0.0926530612244898,18,33,1,False,45,182
scidocs,task1_larger,50,b2a20116c0609e23d3adfeaa604500fddca66178,50,116,0.0473469387755102,17,34,1,False,6,110
scidocs,task1_larger,50,8a93cd1b6fbf7c8c86637bae18d979dafeb9a7c1,50,106,0.04326530612244898,13,38,1,False,0,106
scidocs,task1_larger,50,281b6888d5df1dddb350fac4e9be5c8272519109,50,87,0.035510204081632656,12,39,1,False,9,78
scidocs,task1_larger,50,0a40663fdcf7c5fb7cfc459693116c41309e7eca,50,116,0.0473469387755102,16,35,1,False,0,116
scidocs,task1_larger,50,8501e330d78391f4e690886a8eb8fac867704ea6,50,128,0.052244897959183675,10,41,1,False,14,114
scidocs,task1_larger,50,beac53e8074b4822943a3374ff5e9fed98a891b8,50,308,0.12571428571428572,4,47,1,False,16,292
scidocs,task1_larger,50,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,50,93,0.037959183673469385,25,26,1,False,0,93
scidocs,task1_larger,50,7db20fcc1d71edc32c365f145148d24b9f1427a5,50,136,0.05551020408163265,11,40,1,False,15,121
scidocs,task1_larger,50,335ad0ff82c728aca99fb0059c607cb18129526f,50,32,0.013061224489795919,34,15,1,False,0,32
scidocs,task1_larger,50,04e4034344bda5c97015ea634e6eb1b65ef3a898,50,278,0.11346938775510204,6,45,1,False,19,259
scidocs,task1_larger,50,271a4077c037b86fb7daf6bff3e66682322ff7d7,50,44,0.017959183673469388,30,21,1,False,0,44
scidocs,task1_larger,50,3d23666c6d97d6ba3c86044d83c697821084bed6,50,288,0.11755102040816326,3,48,1,False,18,270
scidocs,task1_larger,50,fd4537b92ab9fa7c653e9e5b9c4f815914a498c0,50,196,0.08,15,36,1,False,11,185
scidocs,task1_larger,50,191ea925c2115755b44380c99d84f4a1099b4dcd,50,198,0.08081632653061224,13,38,1,False,15,183
scidocs,task1_larger,50,458f1428273254fc5dd399f3c104f507680ddd54,50,158,0.06448979591836734,17,34,1,False,7,151
scidocs,task1_larger,50,19115f66f6ac1c02568bbb38eceedfa3521a8cc2,50,137,0.05591836734693877,11,40,1,False,5,132
scidocs,task1_larger,50,84424eee012089dac9414979f0cb1465c97c4408,50,140,0.05714285714285714,16,35,1,False,6,134
scidocs,task1_larger,50,5bb6b779de7929c573f39cd84169cafbd72e5bae,50,189,0.07714285714285714,7,44,1,False,8,181
scidocs,task1_larger,50,7b6652910c5cc0df9ff6bc91912a02e58a742d26,50,52,0.02122448979591837,25,26,1,False,0,52
scidocs,task1_larger,50,df0ef17f63582603dafb1ac5c489dec1416ecbf4,50,141,0.05755102040816327,10,41,1,False,0,141
scidocs,task1_larger,50,f2d5039b55d626ef5466a80e950bddd5cc1819d4,50,119,0.04857142857142857,7,44,1,False,15,104
scidocs,task1_larger,50,7492683af60d02dbd658acdc61249571f8c20fc8,50,176,0.07183673469387755,11,40,1,False,9,167
scidocs,task1_larger,50,f7f32e86c23a902ac55fba8b8191026f563bec5b,50,210,0.08571428571428572,11,40,1,False,23,187
scidocs,task1_larger,50,a22e737d38a1bc671893a7ed341aba436571097a,50,119,0.04857142857142857,20,31,1,False,0,119
scidocs,task1_larger,50,4b80771429b786ea87740738378ba1eb1504a57f,50,116,0.0473469387755102,15,36,1,False,1,115
scidocs,task1_larger,50,9003fb79e7848ced3be975c3d87a9348a4b8d377,50,127,0.05183673469387755,18,33,1,False,13,114
scidocs,task1_larger,50,ac58b487e864afafe71c6158553eed10fbc8eef5,50,191,0.07795918367346939,7,44,1,False,33,158
scidocs,task1_larger,50,30c9a7660281ad8e4538ff9beb20282c74fac810,50,91,0.037142857142857144,20,31,1,False,0,91
scidocs,task1_larger,50,129397ed6557da93db5ba18cf112ee7b0a7927d8,50,293,0.11959183673469388,14,37,1,False,49,244
scidocs,task1_larger,50,1a66df57f88e689438d505474eff73e3a9180c5b,50,143,0.05836734693877551,14,37,1,False,14,129
scidocs,task1_larger,50,e00ab75a8aa637d9c4c5c020e9f2c54b31528031,50,131,0.053469387755102044,13,38,1,False,12,119
scidocs,task1_larger,50,7707c7aac35a4d206eb061305256452051ae4dcf,50,270,0.11020408163265306,7,44,1,False,4,266
scidocs,task1_larger,50,23386571ed332e4a465c0a6fa899f310caa217c8,50,137,0.05591836734693877,18,33,1,False,8,129
scidocs,task1_larger,50,e7ec9e900556d9d9e47b274911ad304bcf198256,50,244,0.09959183673469388,10,41,1,False,67,177
scidocs,task1_larger,50,ca464085b3da330f2ea895543a78c446a3af1bb6,50,222,0.09061224489795919,8,43,1,False,5,217
scidocs,task1_larger,50,f09db8a42d713774483f023b31e0ee96361823f4,50,63,0.025714285714285714,21,30,1,False,0,63
scidocs,task1_larger,50,958ebc7e24012b419316489515f2c2f908773bd5,50,178,0.07265306122448979,14,37,1,False,2,176
scidocs,task1_larger,50,73d54af530d22599cc76b9785ae0a663cc694df2,50,387,0.1579591836734694,5,46,1,False,18,369
scidocs,task1_larger,50,de77514c78432a0b17cf30baa024434173908f89,50,141,0.05755102040816327,14,37,1,False,18,123
scidocs,task1_larger,50,7c88a0f765ce3c9025345cf133251cb947fe6ee5,50,187,0.0763265306122449,10,41,1,False,19,168
scidocs,task1_larger,50,a9d7e7e918a68d1b95c6c6b29f7fabbbe01010f7,50,88,0.035918367346938776,12,39,1,False,5,83
scidocs,task1_larger,50,0bfa2ab02f3c9a9fe06fcebf34bd8f371e206512,50,180,0.07346938775510205,13,38,1,False,23,157
scidocs,task1_larger,50,5e1b80b4774582b948c6dcd656daaba6724ffc2d,50,109,0.044489795918367346,15,36,1,False,3,106
scidocs,task1_larger,50,382bbb79d7ffda63395db3d9b4ebce55d0b2f038,50,220,0.08979591836734693,10,41,1,False,0,220
scidocs,task1_larger,50,f7bdc97a6b4c5d65c145479ae74b3a244121ae89,50,292,0.11918367346938775,11,40,1,False,44,248
scidocs,task1_larger,50,e659e72b7962c9ad586a2d35a7099550102fb054,50,295,0.12040816326530612,7,44,1,False,47,248
scidocs,task1_larger,50,3136f52540fb7925998eff94e9c016d2e1a6fe12,50,160,0.0653061224489796,10,41,1,False,0,160
scidocs,task1_larger,50,0bf046038a555bc848030a28530f9836e5611b96,50,251,0.10244897959183673,6,45,1,False,7,244
scidocs,task1_larger,50,5a4b46ef8898610ab16a1ced6f4a976db0f1962c,50,133,0.054285714285714284,12,39,1,False,1,132
scidocs,task1_larger,50,232427099d4a8acf1dc29efc852f09c5964e6165,50,199,0.08122448979591837,19,32,1,False,0,199
scidocs,task1_larger,50,100636ca50edf63d4336bb071f3e172cb0ebccaa,50,190,0.07755102040816327,12,39,1,False,4,186
scidocs,task1_larger,50,7a373793804ea9813d64641919e14841f927c38f,50,257,0.10489795918367346,15,36,1,False,37,220
scidocs,task1_larger,50,e788f08148b4b06f4e537b27b51338f1c88ccea8,50,135,0.05510204081632653,16,35,1,False,12,123
scidocs,task1_larger,50,8fad88b5678bfecab78d0d6389f649ccfb310d22,50,103,0.04204081632653061,16,35,1,False,3,100
scidocs,task1_larger,50,e48e9cf407af2694ecfefd441c2c28faffdf0835,50,377,0.15387755102040818,7,44,1,False,73,304
scidocs,task1_larger,50,065985d4d0854c51f52ad7a7507b267d9b88ab1c,50,154,0.06285714285714286,10,41,1,False,7,147
scidocs,task1_larger,50,44a56dc083e3e2b07f11aae29c1ee560f46efa4a,50,287,0.11714285714285715,12,39,1,False,16,271
scidocs,task1_larger,50,3b198869df03d98b81c0c882753845a3bca36c63,50,179,0.07306122448979592,7,44,1,False,24,155
scidocs,task1_larger,50,9a7e12ef462e779263ee3f2dd415d2d21233f15d,50,72,0.029387755102040815,13,38,1,False,8,64
scidocs,task1_larger,50,76dac031066a95715a3b116eb2094ec9bdd15171,50,170,0.06938775510204082,15,36,1,False,7,163
scidocs,task1_larger,50,26ebc1b9e21db68d5abf01acd2a0c38d260c65a1,50,211,0.08612244897959184,9,42,1,False,14,197
scidocs,task1_larger,50,a1be02429ab4ec852656f8833c3160f4592cc547,50,41,0.01673469387755102,30,21,1,False,0,41
scidocs,task1_larger,50,a1f5c39aece58f6504e0334d96eaede32c7329cf,50,212,0.08653061224489796,10,41,1,False,8,204
scidocs,task1_larger,50,8ff6581f94c366e34c6f2d55806f7781194c33c8,50,266,0.10857142857142857,13,38,1,False,24,242
scidocs,task1_larger,50,fd65ca4e3ae95302f74bf863988cdb95d6a12824,50,426,0.17387755102040817,2,49,1,False,36,390
scidocs,task1_larger,50,3565d884735ead613a5aa0903f06a2cc86d05b6b,50,213,0.08693877551020408,9,42,1,False,39,174
scidocs,task1_larger,50,c2e57b2871fdfd06566820c5329815ac06f66197,50,52,0.02122448979591837,33,18,1,False,1,51
scidocs,task1_larger,50,59e2037f5079794cb9128c7f0900a568ced14c2a,50,213,0.08693877551020408,17,34,1,False,7,206
scidocs,task1_larger,50,3f95e155b1c40911149fe994197a502ef44ebbbe,50,332,0.13551020408163264,5,46,1,False,63,269
scidocs,task1_larger,50,0674058618d04def58c79a0b28174301ef591433,50,208,0.08489795918367347,8,43,1,False,23,185
scidocs,task1_larger,50,23a7c8d9f142184d28e56b0751e172fef6539275,50,222,0.09061224489795919,4,47,1,False,39,183
scidocs,task1_larger,50,ee6b940d3ae36f9b124586b15a49cec45f24b90a,50,276,0.1126530612244898,6,45,1,False,47,229
scidocs,task1_larger,50,2bd338ef8751b62d23e53fbb44d67042d634da2f,50,92,0.037551020408163265,23,28,1,False,6,86
scidocs,task1_larger,50,ddbb6e0913ac127004be73e2d4097513a8f02d37,50,313,0.12775510204081633,10,41,1,False,30,283
scidocs,task1_larger,50,d6b56cc6e05300426b6194dd3f6a38720678827e,50,275,0.11224489795918367,10,41,1,False,29,246
scidocs,task1_larger,50,df39e24c3cc21dc4c79995ec2b424a37dac999c7,50,127,0.05183673469387755,5,46,1,False,25,102
scidocs,task1_larger,50,74bd4761b373447079c6e5cd31832c00fab2fa77,50,120,0.04897959183673469,20,31,1,False,4,116
