dataset,pool_label,regime,query_id,post_pool_removed_count,pre_pool_removed_count,removed_edge_jaccard
bright,canonical,ms1_drop_mutual,biology:20,1,1,1.0
bright,canonical,ms1_drop_mutual,biology:21,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:22,4,4,0.6
bright,canonical,ms1_drop_mutual,biology:23,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:24,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:25,1,1,1.0
bright,canonical,ms1_drop_mutual,biology:26,1,1,1.0
bright,canonical,ms1_drop_mutual,biology:27,0,1,0.0
bright,canonical,ms1_drop_mutual,biology:28,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:29,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:3,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:30,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:31,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:32,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:33,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:34,10,3,0.18181818181818182
bright,canonical,ms1_drop_mutual,biology:35,2,2,1.0
bright,canonical,ms1_drop_mutual,biology:36,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:37,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:38,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:39,3,3,1.0
bright,canonical,ms1_drop_mutual,biology:4,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:40,0,1,0.0
bright,canonical,ms1_drop_mutual,biology:41,2,2,1.0
bright,canonical,ms1_drop_mutual,biology:42,2,2,1.0
bright,canonical,ms1_drop_mutual,biology:43,13,10,0.6428571428571429
bright,canonical,ms1_drop_mutual,biology:44,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:45,3,0,0.0
bright,canonical,ms1_drop_mutual,biology:46,2,1,0.5
bright,canonical,ms1_drop_mutual,biology:47,1,1,1.0
bright,canonical,ms1_drop_mutual,biology:48,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:49,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:5,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:6,3,3,1.0
bright,canonical,ms1_drop_mutual,biology:7,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:8,0,0,1.0
bright,canonical,ms1_drop_mutual,biology:9,0,0,1.0
bright,canonical,ms2,biology:0,0,0,1.0
bright,canonical,ms2,biology:1,0,0,1.0
bright,canonical,ms2,biology:10,0,0,1.0
bright,canonical,ms2,biology:11,0,0,1.0
bright,canonical,ms2,biology:12,0,0,1.0
bright,canonical,ms2,biology:13,0,0,1.0
bright,canonical,ms2,biology:14,0,0,1.0
bright,canonical,ms2,biology:15,0,0,1.0
bright,canonical,ms2,biology:16,0,0,1.0
bright,canonical,ms2,biology:17,0,0,1.0
bright,canonical,ms2,biology:18,0,0,1.0
bright,canonical,ms2,biology:19,0,0,1.0
bright,canonical,ms2,biology:2,0,0,1.0
bright,canonical,ms2,biology:20,0,0,1.0
bright,canonical,ms2,biology:21,0,0,1.0
bright,canonical,ms2,biology:22,0,0,1.0
bright,canonical,ms2,biology:23,0,0,1.0
bright,canonical,ms2,biology:24,0,0,1.0
bright,canonical,ms2,biology:25,0,0,1.0
bright,canonical,ms2,biology:26,0,0,1.0
bright,canonical,ms2,biology:27,0,0,1.0
bright,canonical,ms2,biology:28,0,0,1.0
bright,canonical,ms2,biology:29,0,0,1.0
bright,canonical,ms2,biology:3,0,0,1.0
bright,canonical,ms2,biology:30,0,0,1.0
bright,canonical,ms2,biology:31,0,0,1.0
bright,canonical,ms2,biology:32,0,0,1.0
bright,canonical,ms2,biology:33,0,0,1.0
bright,canonical,ms2,biology:34,0,0,1.0
bright,canonical,ms2,biology:35,0,0,1.0
bright,canonical,ms2,biology:36,0,0,1.0
bright,canonical,ms2,biology:37,0,0,1.0
bright,canonical,ms2,biology:38,0,0,1.0
bright,canonical,ms2,biology:39,0,0,1.0
bright,canonical,ms2,biology:4,0,0,1.0
bright,canonical,ms2,biology:40,0,0,1.0
bright,canonical,ms2,biology:41,0,0,1.0
bright,canonical,ms2,biology:42,0,0,1.0
bright,canonical,ms2,biology:43,0,0,1.0
bright,canonical,ms2,biology:44,0,0,1.0
bright,canonical,ms2,biology:45,0,0,1.0
bright,canonical,ms2,biology:46,0,0,1.0
bright,canonical,ms2,biology:47,0,0,1.0
bright,canonical,ms2,biology:48,0,0,1.0
bright,canonical,ms2,biology:49,0,0,1.0
bright,canonical,ms2,biology:5,0,0,1.0
bright,canonical,ms2,biology:6,0,0,1.0
bright,canonical,ms2,biology:7,0,0,1.0
bright,canonical,ms2,biology:8,0,0,1.0
bright,canonical,ms2,biology:9,0,0,1.0
bright,task1_larger,ms1,biology:0,0,0,1.0
bright,task1_larger,ms1,biology:1,35,34,0.9714285714285714
bright,task1_larger,ms1,biology:10,1,3,0.3333333333333333
bright,task1_larger,ms1,biology:11,23,25,0.92
bright,task1_larger,ms1,biology:12,67,72,0.782051282051282
bright,task1_larger,ms1,biology:13,143,145,0.9726027397260274
bright,task1_larger,ms1,biology:14,2,2,1.0
bright,task1_larger,ms1,biology:15,38,34,0.8947368421052632
bright,task1_larger,ms1,biology:16,3,2,0.6666666666666666
bright,task1_larger,ms1,biology:17,22,24,0.9166666666666666
bright,task1_larger,ms1,biology:18,32,31,0.96875
bright,task1_larger,ms1,biology:19,0,0,1.0
bright,task1_larger,ms1,biology:2,38,42,0.9047619047619048
bright,task1_larger,ms1,biology:20,11,11,1.0
bright,task1_larger,ms1,biology:21,7,7,1.0
bright,task1_larger,ms1,biology:22,69,67,0.9710144927536232
bright,task1_larger,ms1,biology:23,1,1,1.0
bright,task1_larger,ms1,biology:24,2,2,1.0
bright,task1_larger,ms1,biology:25,94,95,0.89
bright,task1_larger,ms1,biology:26,35,36,0.918918918918919
bright,task1_larger,ms1,biology:27,33,33,0.7837837837837838
bright,task1_larger,ms1,biology:28,21,21,1.0
bright,task1_larger,ms1,biology:29,124,120,0.9365079365079365
bright,task1_larger,ms1,biology:3,5,6,0.8333333333333334
bright,task1_larger,ms1,biology:30,12,12,1.0
bright,task1_larger,ms1,biology:31,33,32,0.9117647058823529
bright,task1_larger,ms1,biology:32,10,17,0.5
bright,task1_larger,ms1,biology:33,72,65,0.7792207792207793
bright,task1_larger,ms1,biology:34,70,72,0.9722222222222222
bright,task1_larger,ms1,biology:35,44,42,0.6862745098039216
bright,task1_larger,ms1,biology:36,23,23,0.84
bright,task1_larger,ms1,biology:37,25,25,0.9230769230769231
bright,task1_larger,ms1,biology:38,2,2,1.0
bright,task1_larger,ms1,biology:39,33,37,0.8918918918918919
bright,task1_larger,ms1,biology:4,45,48,0.9375
bright,task1_larger,ms1,biology:40,13,14,0.9285714285714286
bright,task1_larger,ms1,biology:41,10,10,1.0
bright,task1_larger,ms1,biology:42,79,78,0.9873417721518988
bright,task1_larger,ms1,biology:43,90,91,0.946236559139785
bright,task1_larger,ms1,biology:44,21,22,0.9545454545454546
bright,task1_larger,ms1,biology:45,24,22,0.7037037037037037
bright,task1_larger,ms1,biology:46,5,5,1.0
bright,task1_larger,ms1,biology:47,53,54,0.9107142857142857
bright,task1_larger,ms1,biology:48,17,15,0.8823529411764706
bright,task1_larger,ms1,biology:49,67,64,0.9552238805970149
bright,task1_larger,ms1,biology:5,68,64,0.8857142857142857
bright,task1_larger,ms1,biology:6,53,56,0.9464285714285714
bright,task1_larger,ms1,biology:7,1,1,1.0
bright,task1_larger,ms1,biology:8,16,20,0.8
bright,task1_larger,ms1,biology:9,17,17,1.0
bright,task1_larger,ms1_drop_mutual,biology:0,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:1,16,15,0.9375
bright,task1_larger,ms1_drop_mutual,biology:10,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:11,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:12,6,6,1.0
bright,task1_larger,ms1_drop_mutual,biology:13,47,48,0.9791666666666666
bright,task1_larger,ms1_drop_mutual,biology:14,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:15,26,22,0.8461538461538461
bright,task1_larger,ms1_drop_mutual,biology:16,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:17,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:18,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:19,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:2,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:20,4,4,1.0
bright,task1_larger,ms1_drop_mutual,biology:21,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:22,43,41,0.9534883720930233
bright,task1_larger,ms1_drop_mutual,biology:23,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:24,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:25,31,34,0.9117647058823529
bright,task1_larger,ms1_drop_mutual,biology:26,12,11,0.9166666666666666
bright,task1_larger,ms1_drop_mutual,biology:27,1,0,0.0
bright,task1_larger,ms1_drop_mutual,biology:28,3,3,1.0
bright,task1_larger,ms1_drop_mutual,biology:29,31,30,0.967741935483871
bright,task1_larger,ms1_drop_mutual,biology:3,1,1,1.0
bright,task1_larger,ms1_drop_mutual,biology:30,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:31,2,3,0.6666666666666666
bright,task1_larger,ms1_drop_mutual,biology:32,3,4,0.16666666666666666
bright,task1_larger,ms1_drop_mutual,biology:33,20,18,0.9
bright,task1_larger,ms1_drop_mutual,biology:34,29,33,0.8787878787878788
bright,task1_larger,ms1_drop_mutual,biology:35,14,15,0.9333333333333333
bright,task1_larger,ms1_drop_mutual,biology:36,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:37,3,2,0.6666666666666666
bright,task1_larger,ms1_drop_mutual,biology:38,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:39,13,15,0.8666666666666667
bright,task1_larger,ms1_drop_mutual,biology:4,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:40,1,1,0.0
bright,task1_larger,ms1_drop_mutual,biology:41,6,5,0.8333333333333334
bright,task1_larger,ms1_drop_mutual,biology:42,36,36,1.0
bright,task1_larger,ms1_drop_mutual,biology:43,34,34,1.0
bright,task1_larger,ms1_drop_mutual,biology:44,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:45,6,1,0.16666666666666666
bright,task1_larger,ms1_drop_mutual,biology:46,2,2,1.0
bright,task1_larger,ms1_drop_mutual,biology:47,13,13,0.8571428571428571
bright,task1_larger,ms1_drop_mutual,biology:48,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:49,18,17,0.9444444444444444
bright,task1_larger,ms1_drop_mutual,biology:5,24,24,1.0
bright,task1_larger,ms1_drop_mutual,biology:6,16,19,0.8421052631578947
bright,task1_larger,ms1_drop_mutual,biology:7,0,0,1.0
bright,task1_larger,ms1_drop_mutual,biology:8,1,0,0.0
bright,task1_larger,ms1_drop_mutual,biology:9,0,0,1.0
bright,task1_larger,ms2,biology:0,0,0,1.0
bright,task1_larger,ms2,biology:1,0,0,1.0
bright,task1_larger,ms2,biology:10,0,0,1.0
bright,task1_larger,ms2,biology:11,0,0,1.0
bright,task1_larger,ms2,biology:12,0,0,1.0
bright,task1_larger,ms2,biology:13,0,0,1.0
bright,task1_larger,ms2,biology:14,0,0,1.0
bright,task1_larger,ms2,biology:15,0,0,1.0
bright,task1_larger,ms2,biology:16,0,0,1.0
bright,task1_larger,ms2,biology:17,0,0,1.0
bright,task1_larger,ms2,biology:18,0,0,1.0
bright,task1_larger,ms2,biology:19,0,0,1.0
bright,task1_larger,ms2,biology:2,0,0,1.0
bright,task1_larger,ms2,biology:20,0,0,1.0
bright,task1_larger,ms2,biology:21,0,0,1.0
bright,task1_larger,ms2,biology:22,0,0,1.0
bright,task1_larger,ms2,biology:23,0,0,1.0
bright,task1_larger,ms2,biology:24,0,0,1.0
bright,task1_larger,ms2,biology:25,0,0,1.0
bright,task1_larger,ms2,biology:26,0,0,1.0
bright,task1_larger,ms2,biology:27,0,0,1.0
bright,task1_larger,ms2,biology:28,0,0,1.0
bright,task1_larger,ms2,biology:29,0,0,1.0
bright,task1_larger,ms2,biology:3,0,0,1.0
bright,task1_larger,ms2,biology:30,0,0,1.0
bright,task1_larger,ms2,biology:31,0,0,1.0
bright,task1_larger,ms2,biology:32,0,0,1.0
bright,task1_larger,ms2,biology:33,0,0,1.0
bright,task1_larger,ms2,biology:34,0,0,1.0
bright,task1_larger,ms2,biology:35,0,0,1.0
bright,task1_larger,ms2,biology:36,0,0,1.0
bright,task1_larger,ms2,biology:37,0,0,1.0
bright,task1_larger,ms2,biology:38,0,0,1.0
bright,task1_larger,ms2,biology:39,0,0,1.0
bright,task1_larger,ms2,biology:4,0,0,1.0
bright,task1_larger,ms2,biology:40,0,0,1.0
bright,task1_larger,ms2,biology:41,0,0,1.0
bright,task1_larger,ms2,biology:42,0,0,1.0
bright,task1_larger,ms2,biology:43,0,0,1.0
bright,task1_larger,ms2,biology:44,0,0,1.0
bright,task1_larger,ms2,biology:45,0,0,1.0
bright,task1_larger,ms2,biology:46,0,0,1.0
bright,task1_larger,ms2,biology:47,0,0,1.0
bright,task1_larger,ms2,biology:48,0,0,1.0
bright,task1_larger,ms2,biology:49,0,0,1.0
bright,task1_larger,ms2,biology:5,0,0,1.0
bright,task1_larger,ms2,biology:6,0,0,1.0
bright,task1_larger,ms2,biology:7,0,0,1.0
bright,task1_larger,ms2,biology:8,0,0,1.0
bright,task1_larger,ms2,biology:9,0,0,1.0
fiqa,canonical,ms1,0,13,14,0.9285714285714286
fiqa,canonical,ms1,102,0,1,0.0
fiqa,canonical,ms1,105,0,0,1.0
fiqa,canonical,ms1,107,40,46,0.7916666666666666
fiqa,canonical,ms1,108,26,26,0.9259259259259259
fiqa,canonical,ms1,11,7,8,0.875
fiqa,canonical,ms1,110,14,15,0.9333333333333333
fiqa,canonical,ms1,111,24,20,0.6296296296296297
fiqa,canonical,ms1,112,3,3,1.0
fiqa,canonical,ms1,12,45,48,0.9375
fiqa,canonical,ms1,13,33,40,0.825
fiqa,canonical,ms1,14,6,5,0.5714285714285714
fiqa,canonical,ms1,16,15,17,0.8823529411764706
fiqa,canonical,ms1,19,1,2,0.5
fiqa,canonical,ms1,20,55,58,0.9152542372881356
fiqa,canonical,ms1,21,42,37,0.5192307692307693
fiqa,canonical,ms1,23,29,29,0.8125
fiqa,canonical,ms1,25,50,61,0.734375
fiqa,canonical,ms1,27,18,18,0.8
fiqa,canonical,ms1,28,27,27,0.9285714285714286
fiqa,canonical,ms1,30,9,12,0.75
fiqa,canonical,ms1,31,4,4,1.0
fiqa,canonical,ms1,32,14,18,0.7777777777777778
fiqa,canonical,ms1,33,13,15,0.75
fiqa,canonical,ms1,35,35,36,0.868421052631579
fiqa,canonical,ms1,36,50,53,0.9433962264150944
fiqa,canonical,ms1,37,3,3,1.0
fiqa,canonical,ms1,4,19,18,0.6086956521739131
fiqa,canonical,ms1,41,34,33,0.9705882352941176
fiqa,canonical,ms1,43,31,25,0.5555555555555556
fiqa,canonical,ms1,439,3,3,0.5
fiqa,canonical,ms1,442,15,17,0.8823529411764706
fiqa,canonical,ms1,443,22,29,0.7
fiqa,canonical,ms1,444,11,11,1.0
fiqa,canonical,ms1,445,10,10,1.0
fiqa,canonical,ms1,446,18,12,0.6666666666666666
fiqa,canonical,ms1,447,40,30,0.627906976744186
fiqa,canonical,ms1,448,33,27,0.5789473684210527
fiqa,canonical,ms1,449,49,22,0.22413793103448276
fiqa,canonical,ms1,45,15,19,0.7894736842105263
fiqa,canonical,ms1,450,10,8,0.8
fiqa,canonical,ms1,452,30,31,0.8484848484848485
fiqa,canonical,ms1,453,7,4,0.375
fiqa,canonical,ms1,454,7,10,0.7
fiqa,canonical,ms1,456,2,2,1.0
fiqa,canonical,ms1,457,11,15,0.625
fiqa,canonical,ms1,458,11,14,0.7857142857142857
fiqa,canonical,ms1,46,6,3,0.2857142857142857
fiqa,canonical,ms1,460,29,31,0.6216216216216216
fiqa,canonical,ms1,461,23,23,0.7037037037037037
fiqa,canonical,ms1,462,9,9,1.0
fiqa,canonical,ms1,464,21,13,0.4782608695652174
fiqa,canonical,ms1,465,2,2,1.0
fiqa,canonical,ms1,466,34,6,0.0
fiqa,canonical,ms1,467,9,10,0.7272727272727273
fiqa,canonical,ms1,468,3,4,0.75
fiqa,canonical,ms1,47,25,26,0.8888888888888888
fiqa,canonical,ms1,470,19,19,0.6521739130434783
fiqa,canonical,ms1,471,26,24,0.8518518518518519
fiqa,canonical,ms1,472,7,8,0.875
fiqa,canonical,ms1,473,0,0,1.0
fiqa,canonical,ms1,474,15,12,0.8
fiqa,canonical,ms1,478,22,24,0.9166666666666666
fiqa,canonical,ms1,479,12,13,0.9230769230769231
fiqa,canonical,ms1,48,10,10,0.8181818181818182
fiqa,canonical,ms1,480,10,8,0.38461538461538464
fiqa,canonical,ms1,481,1,1,1.0
fiqa,canonical,ms1,482,27,14,0.4642857142857143
fiqa,canonical,ms1,485,64,61,0.7605633802816901
fiqa,canonical,ms1,486,11,11,0.6923076923076923
fiqa,canonical,ms1,487,25,31,0.8064516129032258
fiqa,canonical,ms1,488,25,17,0.5
fiqa,canonical,ms1,489,36,22,0.38095238095238093
fiqa,canonical,ms1,49,21,7,0.21739130434782608
fiqa,canonical,ms1,490,34,33,0.717948717948718
fiqa,canonical,ms1,491,1,2,0.5
fiqa,canonical,ms1,493,17,20,0.6818181818181818
fiqa,canonical,ms1,494,12,11,0.9166666666666666
fiqa,canonical,ms1,497,16,17,0.9411764705882353
fiqa,canonical,ms1,498,16,11,0.17391304347826086
fiqa,canonical,ms1,5,25,24,0.8846153846153846
fiqa,canonical,ms1,51,22,21,0.9545454545454546
fiqa,canonical,ms1,52,7,3,0.42857142857142855
fiqa,canonical,ms1,53,34,27,0.6052631578947368
fiqa,canonical,ms1,54,25,18,0.5357142857142857
fiqa,canonical,ms1,57,0,0,1.0
fiqa,canonical,ms1,59,4,5,0.8
fiqa,canonical,ms1,6,16,16,0.7777777777777778
fiqa,canonical,ms1,61,14,15,0.9333333333333333
fiqa,canonical,ms1,62,34,34,0.7894736842105263
fiqa,canonical,ms1,63,33,34,0.675
fiqa,canonical,ms1,64,20,22,0.9090909090909091
fiqa,canonical,ms1,65,66,68,0.8873239436619719
fiqa,canonical,ms1,66,12,12,0.8461538461538461
fiqa,canonical,ms1,67,4,5,0.8
fiqa,canonical,ms1,69,26,28,0.8620689655172413
fiqa,canonical,ms1,7,18,16,0.7
fiqa,canonical,ms1,70,15,17,0.8823529411764706
fiqa,canonical,ms1,71,15,19,0.7894736842105263
fiqa,canonical,ms1,72,15,15,0.6666666666666666
fiqa,canonical,ms1,74,40,43,0.8043478260869565
fiqa,canonical,ms1,75,27,29,0.8666666666666667
fiqa,canonical,ms1,76,35,36,0.9722222222222222
fiqa,canonical,ms1,78,10,11,0.9090909090909091
fiqa,canonical,ms1,80,32,31,0.96875
fiqa,canonical,ms1,81,32,37,0.8157894736842105
fiqa,canonical,ms1,82,16,12,0.5555555555555556
fiqa,canonical,ms1,83,16,19,0.75
fiqa,canonical,ms1,85,38,37,0.7857142857142857
fiqa,canonical,ms1,86,19,18,0.85
fiqa,canonical,ms1,87,59,53,0.2727272727272727
fiqa,canonical,ms1,88,11,13,0.8461538461538461
fiqa,canonical,ms1,9,28,31,0.9032258064516129
fiqa,canonical,ms1,91,33,35,0.7894736842105263
fiqa,canonical,ms1,92,40,35,0.6304347826086957
fiqa,canonical,ms1,93,16,15,0.8235294117647058
fiqa,canonical,ms1,95,7,8,0.875
fiqa,canonical,ms1,96,63,62,0.6891891891891891
fiqa,canonical,ms1,97,31,33,0.8285714285714286
fiqa,canonical,ms1,99,10,10,0.8181818181818182
fiqa,canonical,ms1_drop_mutual,0,0,0,1.0
fiqa,canonical,ms1_drop_mutual,102,0,0,1.0
fiqa,canonical,ms1_drop_mutual,105,0,0,1.0
fiqa,canonical,ms1_drop_mutual,107,2,2,1.0
fiqa,canonical,ms1_drop_mutual,108,0,0,1.0
fiqa,canonical,ms1_drop_mutual,11,0,0,1.0
fiqa,canonical,ms1_drop_mutual,110,0,0,1.0
fiqa,canonical,ms1_drop_mutual,111,0,0,1.0
fiqa,canonical,ms1_drop_mutual,112,0,0,1.0
fiqa,canonical,ms1_drop_mutual,12,1,2,0.5
fiqa,canonical,ms1_drop_mutual,13,3,4,0.75
fiqa,canonical,ms1_drop_mutual,14,0,0,1.0
fiqa,canonical,ms1_drop_mutual,16,1,1,1.0
fiqa,canonical,ms1_drop_mutual,19,1,2,0.5
fiqa,canonical,ms1_drop_mutual,20,0,0,1.0
fiqa,canonical,ms1_drop_mutual,21,11,4,0.15384615384615385
fiqa,canonical,ms1_drop_mutual,23,1,2,0.5
fiqa,canonical,ms1_drop_mutual,25,0,0,1.0
fiqa,canonical,ms1_drop_mutual,27,9,10,0.7272727272727273
fiqa,canonical,ms1_drop_mutual,28,0,0,1.0
fiqa,canonical,ms1_drop_mutual,30,0,0,1.0
fiqa,canonical,ms1_drop_mutual,31,0,0,1.0
fiqa,canonical,ms1_drop_mutual,32,0,0,1.0
fiqa,canonical,ms1_drop_mutual,33,0,0,1.0
fiqa,canonical,ms1_drop_mutual,35,0,0,1.0
fiqa,canonical,ms1_drop_mutual,36,0,0,1.0
fiqa,canonical,ms1_drop_mutual,37,0,0,1.0
fiqa,canonical,ms1_drop_mutual,4,0,0,1.0
fiqa,canonical,ms1_drop_mutual,41,0,0,1.0
fiqa,canonical,ms1_drop_mutual,43,1,1,1.0
fiqa,canonical,ms1_drop_mutual,439,1,1,1.0
fiqa,canonical,ms1_drop_mutual,442,0,0,1.0
fiqa,canonical,ms1_drop_mutual,443,0,0,1.0
fiqa,canonical,ms1_drop_mutual,444,0,0,1.0
fiqa,canonical,ms1_drop_mutual,445,1,1,1.0
fiqa,canonical,ms1_drop_mutual,446,0,0,1.0
fiqa,canonical,ms1_drop_mutual,447,0,0,1.0
fiqa,canonical,ms1_drop_mutual,448,1,1,1.0
fiqa,canonical,ms1_drop_mutual,449,3,1,0.0
fiqa,canonical,ms1_drop_mutual,45,1,1,1.0
fiqa,canonical,ms1_drop_mutual,450,0,0,1.0
fiqa,canonical,ms1_drop_mutual,452,4,5,0.8
fiqa,canonical,ms1_drop_mutual,453,0,0,1.0
fiqa,canonical,ms1_drop_mutual,454,0,0,1.0
fiqa,canonical,ms1_drop_mutual,456,1,1,1.0
fiqa,canonical,ms1_drop_mutual,457,1,1,1.0
fiqa,canonical,ms1_drop_mutual,458,0,0,1.0
fiqa,canonical,ms1_drop_mutual,46,0,0,1.0
fiqa,canonical,ms1_drop_mutual,460,0,0,1.0
fiqa,canonical,ms1_drop_mutual,461,1,1,1.0
fiqa,canonical,ms1_drop_mutual,462,0,0,1.0
fiqa,canonical,ms1_drop_mutual,464,1,0,0.0
fiqa,canonical,ms1_drop_mutual,465,0,0,1.0
fiqa,canonical,ms1_drop_mutual,466,0,0,1.0
fiqa,canonical,ms1_drop_mutual,467,0,0,1.0
fiqa,canonical,ms1_drop_mutual,468,0,0,1.0
fiqa,canonical,ms1_drop_mutual,47,0,0,1.0
fiqa,canonical,ms1_drop_mutual,470,0,0,1.0
fiqa,canonical,ms1_drop_mutual,471,0,0,1.0
fiqa,canonical,ms1_drop_mutual,472,1,1,1.0
fiqa,canonical,ms1_drop_mutual,473,0,0,1.0
fiqa,canonical,ms1_drop_mutual,474,0,0,1.0
fiqa,canonical,ms1_drop_mutual,478,0,0,1.0
fiqa,canonical,ms1_drop_mutual,479,0,0,1.0
fiqa,canonical,ms1_drop_mutual,48,0,0,1.0
fiqa,canonical,ms1_drop_mutual,480,0,0,1.0
fiqa,canonical,ms1_drop_mutual,481,0,0,1.0
fiqa,canonical,ms1_drop_mutual,482,0,0,1.0
fiqa,canonical,ms1_drop_mutual,485,0,0,1.0
fiqa,canonical,ms1_drop_mutual,486,0,0,1.0
fiqa,canonical,ms1_drop_mutual,487,3,3,1.0
fiqa,canonical,ms1_drop_mutual,488,0,0,1.0
