dataset,pool_label,construction,regime,pair_method,n_queries,mean_delta,raw_pvalue
hotpotqa,canonical,pre_pool_minmax,ms1_drop_mutual,balance,52,0.0,1.0
hotpotqa,canonical,pre_pool_minmax,ms1_drop_mutual,copeland,52,0.0,1.0
hotpotqa,canonical,pre_pool_minmax,ms2,balance,52,0.0,1.0
hotpotqa,canonical,pre_pool_minmax,ms2,copeland,52,0.0,1.0
hotpotqa,task1_larger,post_pool_minmax,ms1,balance,52,-0.00021069219175413772,1.0
hotpotqa,task1_larger,post_pool_minmax,ms1,copeland,52,0.012408629335206941,0.21875
hotpotqa,task1_larger,post_pool_minmax,ms1_drop_mutual,balance,52,0.0,1.0
hotpotqa,task1_larger,post_pool_minmax,ms1_drop_mutual,copeland,52,0.0,1.0
hotpotqa,task1_larger,post_pool_minmax,ms2,balance,52,0.0,1.0
hotpotqa,task1_larger,post_pool_minmax,ms2,copeland,52,0.0,1.0
hotpotqa,task1_larger,pre_pool_minmax,ms1,balance,52,0.0,1.0
hotpotqa,task1_larger,pre_pool_minmax,ms1,copeland,52,0.012408629335206941,0.21875
hotpotqa,task1_larger,pre_pool_minmax,ms1_drop_mutual,balance,52,0.0,1.0
hotpotqa,task1_larger,pre_pool_minmax,ms1_drop_mutual,copeland,52,0.0,1.0
hotpotqa,task1_larger,pre_pool_minmax,ms2,balance,52,0.0,1.0
hotpotqa,task1_larger,pre_pool_minmax,ms2,copeland,52,0.0,1.0
scidocs,canonical,post_pool_minmax,ms1,balance,120,0.0021091307735370884,0.1065893410658934
scidocs,canonical,post_pool_minmax,ms1,copeland,120,0.011664360719058933,0.006299370062993701
scidocs,canonical,post_pool_minmax,ms1_drop_mutual,balance,120,-0.00012029067601456306,1.0
scidocs,canonical,post_pool_minmax,ms1_drop_mutual,copeland,120,-8.445473277415341e-05,0.75
scidocs,canonical,post_pool_minmax,ms2,balance,120,0.0,1.0
scidocs,canonical,post_pool_minmax,ms2,copeland,120,-6.32384949177181e-05,1.0
scidocs,canonical,pre_pool_minmax,ms1,balance,120,0.0017906350320510904,0.0374755859375
scidocs,canonical,pre_pool_minmax,ms1,copeland,120,0.00406039189371674,0.29657034296570345
scidocs,canonical,pre_pool_minmax,ms1_drop_mutual,balance,120,-0.00012029067601456306,1.0
scidocs,canonical,pre_pool_minmax,ms1_drop_mutual,copeland,120,-0.000212744625385404,1.0
scidocs,canonical,pre_pool_minmax,ms2,balance,120,0.0,1.0
scidocs,canonical,pre_pool_minmax,ms2,copeland,120,-6.32384949177181e-05,1.0
scidocs,task1_larger,post_pool_minmax,ms1,balance,120,0.0007472471355171419,0.735595703125
scidocs,task1_larger,post_pool_minmax,ms1,copeland,120,-0.005329101904996036,0.2866713328667133
scidocs,task1_larger,post_pool_minmax,ms1_drop_mutual,balance,120,0.0002078516668602412,0.5
scidocs,task1_larger,post_pool_minmax,ms1_drop_mutual,copeland,120,0.0020160399887506554,0.34375
scidocs,task1_larger,post_pool_minmax,ms2,balance,120,0.0,1.0
scidocs,task1_larger,post_pool_minmax,ms2,copeland,120,0.0,1.0
scidocs,task1_larger,pre_pool_minmax,ms1,balance,120,-0.0005852440347818599,0.7569580078125
scidocs,task1_larger,pre_pool_minmax,ms1,copeland,120,-0.010764032653228008,0.04509549045095491
scidocs,task1_larger,pre_pool_minmax,ms1_drop_mutual,balance,120,-0.0010739832567445346,1.0
scidocs,task1_larger,pre_pool_minmax,ms1_drop_mutual,copeland,120,0.0013847686376888507,0.578125
scidocs,task1_larger,pre_pool_minmax,ms2,balance,120,-0.00011984447975958666,1.0
scidocs,task1_larger,pre_pool_minmax,ms2,copeland,120,-0.00011984447975958666,1.0
