dataset,pool_label,variant,regime,n_queries,mean_edge_count,mean_density,mean_mutual_pair_count,pct_queries_with_mutual_pair,mean_triangle_count,cyclic_query_pct,cyclic_query_pct_after_repair,mean_largest_scc,mean_largest_scc_after_repair,repair_active_fraction,mean_edges_removed,mean_weight_removed
fiqa,canonical,pair_tfidf_minilm,pair_any,120,175.3,0.4613157894736842,12.641666666666667,0.8333333333333334,753.8666666666667,0.8333333333333334,0.0,12.075,1.0,0.8333333333333334,22.691666666666666,4.107242502976333
fiqa,canonical,pair_tfidf_minilm,pair_any_drop_mutual,120,150.01666666666668,0.39478070175438595,0.0,0.0,594.075,0.21666666666666667,0.0,3.1083333333333334,1.0,0.21666666666666667,1.4,0.17764118381736954
fiqa,canonical,pair_tfidf_minilm,pair_unanimous,120,19.858333333333334,0.05225877192982457,0.0,0.0,21.075,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fiqa,task1_larger,all_three,ms1,120,910.9166666666666,0.3718027210884353,101.55833333333334,1.0,7771.683333333333,1.0,0.0,45.09166666666667,1.0,1.0,184.74166666666667,28.860241256812877
fiqa,task1_larger,all_three,ms1_drop_mutual,120,707.8,0.28889795918367345,0.0,0.0,4959.616666666667,0.95,0.0,34.35,1.0,0.95,41.641666666666666,5.145707542158902
fiqa,task1_larger,all_three,ms2,120,242.56666666666666,0.09900680272108843,0.0,0.0,833.0166666666667,0.13333333333333333,0.0,1.6666666666666667,1.0,0.13333333333333333,0.35833333333333334,0.09628947666484855
fiqa,task1_larger,pair_bm25_minilm,pair_any,120,646.9,0.26404081632653065,15.783333333333333,0.8666666666666667,4762.308333333333,0.8666666666666667,0.0,27.716666666666665,1.0,0.8666666666666667,53.875,7.821374048773796
fiqa,task1_larger,pair_bm25_minilm,pair_any_drop_mutual,120,615.3333333333334,0.25115646258503405,0.0,0.0,4255.508333333333,0.7666666666666667,0.0,22.866666666666667,1.0,0.7666666666666667,23.175,2.6810268803433996
fiqa,task1_larger,pair_bm25_minilm,pair_unanimous,120,27.7,0.01130612244897959,0.0,0.0,41.86666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fiqa,task1_larger,pair_bm25_tfidf,pair_any,120,733.9666666666667,0.29957823129251704,80.81666666666666,1.0,6530.133333333333,1.0,0.0,33.9,1.0,1.0,121.23333333333333,16.7269628624569
fiqa,task1_larger,pair_bm25_tfidf,pair_any_drop_mutual,120,572.3333333333334,0.2336054421768707,0.0,0.0,4415.091666666666,0.8333333333333334,0.0,16.433333333333334,1.0,0.8333333333333334,11.516666666666667,1.1669783408978627
fiqa,task1_larger,pair_bm25_tfidf,pair_unanimous,120,215.10833333333332,0.08779931972789118,0.0,0.0,671.025,0.0,0.0,1.0,1.0,0.0,0.0,0.0
fiqa,task1_larger,pair_tfidf_minilm,pair_any,120,683.5333333333333,0.27899319727891153,16.233333333333334,0.825,5103.258333333333,0.825,0.0,25.933333333333334,1.0,0.825,52.9,7.513677459498855
fiqa,task1_larger,pair_tfidf_minilm,pair_any_drop_mutual,120,651.0666666666667,0.2657414965986395,0.0,0.0,4567.375,0.7583333333333333,0.0,21.925,1.0,0.7583333333333333,21.4,2.318761693003694
fiqa,task1_larger,pair_tfidf_minilm,pair_unanimous,120,28.641666666666666,0.011690476190476192,0.0,0.0,42.416666666666664,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,canonical,all_three,ms1,52,51.23076923076923,0.5692307692307692,9.153846153846153,0.9615384615384616,99.32692307692308,0.9615384615384616,0.0,6.576923076923077,1.0,0.9615384615384616,10.538461538461538,2.0608508017385523
hotpotqa,canonical,all_three,ms1_drop_mutual,52,32.92307692307692,0.3658119658119658,0.0,0.0,51.94230769230769,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,canonical,all_three,ms2,52,33.07692307692308,0.36752136752136744,0.0,0.0,53.07692307692308,0.038461538461538464,0.0,1.0769230769230769,1.0,0.038461538461538464,0.038461538461538464,0.006898728912350212
hotpotqa,canonical,pair_bm25_minilm,pair_any,52,45.46153846153846,0.505128205128205,5.3076923076923075,0.7307692307692307,87.0576923076923,0.7307692307692307,0.0,4.923076923076923,1.0,0.7307692307692307,6.6923076923076925,1.3286791559669047
hotpotqa,canonical,pair_bm25_minilm,pair_any_drop_mutual,52,34.84615384615385,0.3871794871794871,0.0,0.0,58.13461538461539,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,canonical,pair_bm25_minilm,pair_unanimous,52,14.153846153846153,0.15726495726495726,0.0,0.0,11.576923076923077,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,canonical,pair_bm25_tfidf,pair_any,52,44.69230769230769,0.49658119658119654,3.423076923076923,0.8461538461538461,94.01923076923077,0.8461538461538461,0.0,3.7884615384615383,1.0,0.8461538461538461,3.5961538461538463,0.4279395512616143
hotpotqa,canonical,pair_bm25_tfidf,pair_any_drop_mutual,52,37.84615384615385,0.4205128205128205,0.0,0.0,73.11538461538461,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,canonical,pair_bm25_tfidf,pair_unanimous,52,29.26923076923077,0.3252136752136752,0.0,0.0,36.71153846153846,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,canonical,pair_tfidf_minilm,pair_any,52,45.38461538461539,0.5042735042735043,6.019230769230769,0.75,84.15384615384616,0.75,0.0,4.9423076923076925,1.0,0.75,7.0576923076923075,1.2024156921193
hotpotqa,canonical,pair_tfidf_minilm,pair_any_drop_mutual,52,33.34615384615385,0.3705128205128205,0.0,0.0,53.67307692307692,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,canonical,pair_tfidf_minilm,pair_unanimous,52,14.26923076923077,0.15854700854700854,0.0,0.0,10.942307692307692,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,task1_larger,all_three,ms1,52,426.28846153846155,0.3582255979314803,31.403846153846153,1.0,2569.826923076923,1.0,0.0,20.96153846153846,1.0,1.0,48.07692307692308,6.245743138869655
hotpotqa,task1_larger,all_three,ms1_drop_mutual,52,363.4807692307692,0.30544602456367165,0.0,0.0,1925.5192307692307,0.6153846153846154,0.0,9.384615384615385,1.0,0.6153846153846154,5.5,0.5771780091129866
hotpotqa,task1_larger,all_three,ms2,52,189.75,0.15945378151260498,0.0,0.0,647.9230769230769,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,task1_larger,pair_bm25_minilm,pair_any,52,343.9423076923077,0.2890271493212669,8.942307692307692,0.7307692307692307,1770.5,0.7307692307692307,0.0,11.923076923076923,1.0,0.7307692307692307,17.846153846153847,2.4317897502623915
hotpotqa,task1_larger,pair_bm25_minilm,pair_any_drop_mutual,52,326.0576923076923,0.2739980607627666,0.0,0.0,1571.25,0.40384615384615385,0.0,7.115384615384615,1.0,0.40384615384615385,3.826923076923077,0.3812385581669666
hotpotqa,task1_larger,pair_bm25_minilm,pair_unanimous,52,27.21153846153846,0.022866839043309627,0.0,0.0,40.57692307692308,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,task1_larger,pair_bm25_tfidf,pair_any,52,344.1730769230769,0.28922107304460243,19.596153846153847,0.9615384615384616,2159.0,0.9615384615384616,0.0,13.173076923076923,1.0,0.9615384615384616,24.192307692307693,2.535665986169142
hotpotqa,task1_larger,pair_bm25_tfidf,pair_any_drop_mutual,52,304.9807692307692,0.2562863606981254,0.0,0.0,1782.1923076923076,0.11538461538461539,0.0,1.75,1.0,0.11538461538461539,0.25,0.015893021047027077
hotpotqa,task1_larger,pair_bm25_tfidf,pair_unanimous,52,175.32692307692307,0.147333548804137,0.0,0.0,553.0769230769231,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hotpotqa,task1_larger,pair_tfidf_minilm,pair_any,52,354.21153846153845,0.29765675500969613,10.134615384615385,0.7307692307692307,1844.0,0.7307692307692307,0.0,11.461538461538462,1.0,0.7307692307692307,17.75,2.2318242514086672
hotpotqa,task1_larger,pair_tfidf_minilm,pair_any_drop_mutual,52,333.9423076923077,0.28062378797672916,0.0,0.0,1617.4615384615386,0.4807692307692308,0.0,6.8076923076923075,1.0,0.4807692307692308,3.8461538461538463,0.33754407602456793
hotpotqa,task1_larger,pair_tfidf_minilm,pair_unanimous,52,30.865384615384617,0.025937297996121524,0.0,0.0,45.48076923076923,0.0,0.0,1.0,1.0,0.0,0.0,0.0
scidocs,canonical,all_three,ms1,120,244.23333333333332,0.642719298245614,58.4,1.0,1070.3333333333333,1.0,0.0,19.108333333333334,1.0,1.0,72.76666666666667,15.276712455557306
scidocs,canonical,all_three,ms1_drop_mutual,120,127.43333333333334,0.33535087719298246,0.0,0.0,394.51666666666665,0.09166666666666666,0.0,1.7083333333333333,1.0,0.09166666666666666,0.35,0.04356913495319396
scidocs,canonical,all_three,ms2,120,127.0,0.3342105263157895,0.0,0.0,434.4166666666667,0.375,0.0,2.775,1.0,0.375,1.025,0.2679629907594924
scidocs,canonical,pair_bm25_minilm,pair_any,120,200.41666666666666,0.5274122807017544,29.366666666666667,0.975,871.3416666666667,0.975,0.0,15.833333333333334,1.0,0.975,40.891666666666666,7.461235364535451
scidocs,canonical,pair_bm25_minilm,pair_any_drop_mutual,120,141.68333333333334,0.3728508771929825,0.0,0.0,514.8666666666667,0.16666666666666666,0.0,2.6666666666666665,1.0,0.16666666666666666,0.9,0.10910204326966007
scidocs,canonical,pair_bm25_minilm,pair_unanimous,120,45.675,0.12019736842105262,0.0,0.0,62.09166666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0
scidocs,canonical,pair_bm25_tfidf,pair_any,120,212.875,0.5601973684210526,30.325,1.0,1016.6416666666667,1.0,0.0,14.883333333333333,1.0,1.0,37.0,5.467501354839589
scidocs,canonical,pair_bm25_tfidf,pair_any_drop_mutual,120,152.225,0.4005921052631579,0.0,0.0,623.4333333333333,0.041666666666666664,0.0,1.3333333333333333,1.0,0.041666666666666664,0.175,0.01764739178871552
scidocs,canonical,pair_bm25_tfidf,pair_unanimous,120,104.61666666666666,0.27530701754385967,0.0,0.0,242.725,0.0,0.0,1.0,1.0,0.0,0.0,0.0
scidocs,canonical,pair_tfidf_minilm,pair_any,120,202.175,0.5320394736842106,28.841666666666665,0.975,891.1416666666667,0.975,0.0,16.333333333333332,1.0,0.975,40.641666666666666,7.35012538567187
scidocs,canonical,pair_tfidf_minilm,pair_any_drop_mutual,120,144.49166666666667,0.3802412280701754,0.0,0.0,540.6166666666667,0.1,0.0,2.075,1.0,0.1,0.4666666666666667,0.05297308653231246
scidocs,canonical,pair_tfidf_minilm,pair_unanimous,120,48.525,0.12769736842105264,0.0,0.0,73.80833333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.0
scidocs,task1_larger,all_three,ms1,120,1064.5666666666666,0.43451700680272104,125.525,1.0,10548.491666666667,1.0,0.0,45.19166666666667,1.0,1.0,212.23333333333332,34.10768288936448
scidocs,task1_larger,all_three,ms1_drop_mutual,120,813.5166666666667,0.33204761904761904,0.0,0.0,6597.033333333334,0.9666666666666667,0.0,32.53333333333333,1.0,0.9666666666666667,36.44166666666667,4.562769236323756
scidocs,task1_larger,all_three,ms2,120,397.96666666666664,0.16243537414965986,0.0,0.0,1930.875,0.35,0.0,2.7916666666666665,1.0,0.35,1.0,0.2428658565429758
scidocs,task1_larger,pair_bm25_minilm,pair_any,120,808.5416666666666,0.33001700680272106,38.266666666666666,0.9833333333333333,6951.05,0.9833333333333333,0.0,34.00833333333333,1.0,0.9833333333333333,91.74166666666666,13.59340531853098
scidocs,task1_larger,pair_bm25_minilm,pair_any_drop_mutual,120,732.0083333333333,0.2987789115646258,0.0,0.0,5690.45,0.9,0.0,25.15,1.0,0.9,27.025,3.0739683453244
scidocs,task1_larger,pair_bm25_minilm,pair_unanimous,120,75.76666666666667,0.03092517006802721,0.0,0.0,153.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0
scidocs,task1_larger,pair_bm25_tfidf,pair_any,120,868.025,0.354295918367347,77.96666666666667,1.0,8822.166666666666,1.0,0.0,32.21666666666667,1.0,1.0,109.29166666666667,13.290062463407788
scidocs,task1_larger,pair_bm25_tfidf,pair_any_drop_mutual,120,712.0916666666667,0.2906496598639456,0.0,0.0,6461.991666666667,0.5583333333333333,0.0,8.758333333333333,1.0,0.5583333333333333,4.916666666666667,0.48476775301675884
scidocs,task1_larger,pair_bm25_tfidf,pair_unanimous,120,337.175,0.13762244897959183,0.0,0.0,1386.0416666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0
scidocs,task1_larger,pair_tfidf_minilm,pair_any,120,850.5333333333333,0.347156462585034,41.175,0.975,7411.15,0.975,0.0,35.608333333333334,1.0,0.975,100.375,14.984328078625431
scidocs,task1_larger,pair_tfidf_minilm,pair_any_drop_mutual,120,768.1833333333333,0.3135442176870748,0.0,0.0,6044.783333333334,0.9166666666666666,0.0,27.541666666666668,1.0,0.9166666666666666,30.933333333333334,3.413960164958482
scidocs,task1_larger,pair_tfidf_minilm,pair_unanimous,120,75.84166666666667,0.03095578231292517,0.0,0.0,156.66666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0
