dataset,query_id,repaired_policy,unrepaired_policy,repair_gain,repaired_ndcg,unrepaired_ndcg,is_cyclic,fas_weight_removed,provider,n_cycles
scidocs,9003fb79e7848ced3be975c3d87a9348a4b8d377,exact_copeland,unrepaired_copeland,0.0,0.9828920819566879,0.9828920819566879,True,3.0,openai,-1
scidocs,9e76a700f03ef476b964b27e23c071163e44c232,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
scidocs,a829c1093eb4d78a198ebb9b4a33a8137b0359df,exact_copeland,unrepaired_copeland,0.013818170332230317,0.9512312000626861,0.9374130297304558,True,5.0,openai,-1
scidocs,ac24b99a5db633ce45f053287ca806157fff9663,exact_copeland,unrepaired_copeland,0.0,0.725124396546942,0.725124396546942,True,2.0,openai,-1
scidocs,b045f045e331700cdef309e0d40b15a64cdf5b8a,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,5.0,openai,-1
scidocs,b37225fc67e1aeeb7877c4691f9036ed5cc01efa,exact_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,True,2.0,openai,-1
scidocs,b47402a9a68f23b548ae6e0349700ea651b7a373,exact_copeland,unrepaired_copeland,0.007757900941622209,0.9896062251871525,0.9818483242455303,True,3.0,openai,-1
scidocs,b8397b4418bb1d576210d9a39d44725d6ffb2a44,exact_copeland,unrepaired_copeland,0.007757900941622098,0.9512312000626861,0.943473299121064,True,3.0,openai,-1
scidocs,b8eea99bb5345329ea058072133f568f7bdd27bd,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,5.0,openai,-1
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
scidocs,c05ae45c262b270df1e99a32efa35036aae8d950,exact_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,True,4.0,openai,-1
scidocs,c20b4068be640ebaffbc56382c3e4e0bcf62664e,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
scidocs,c4e76b318149a106563d53892dde801a37a637cc,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,exact_copeland,unrepaired_copeland,0.013818170332230428,0.9896062251871525,0.975788054854922,True,3.0,openai,-1
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,exact_copeland,unrepaired_copeland,0.0,0.9512312000626861,0.9512312000626861,True,2.0,openai,-1
scidocs,e642d6014a5762128a28f85dae2228826e682974,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
hotpotqa,5a7283355542991f9a20c4b1,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
hotpotqa,5a72b8de5542994cef4bc3df,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
hotpotqa,5a7cb9b95542990527d55515,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
hotpotqa,5a88a42f554299206df2b317,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,3.0,openai,-1
hotpotqa,5a8cec13554299441c6b9f7d,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,2.0,openai,-1
hotpotqa,5a8f2ba155429918e830d1b9,exact_copeland,unrepaired_copeland,0.0,0.9197207891481876,0.9197207891481876,True,1.0,openai,-1
hotpotqa,5a90c8165542995651fb51ee,exact_copeland,unrepaired_copeland,0.1227846846619507,1.0,0.8772153153380493,True,2.0,openai,-1
hotpotqa,5ab6993f554299110f219a2b,exact_copeland,unrepaired_copeland,0.0,0.6309297535714575,0.6309297535714575,True,1.0,openai,-1
hotpotqa,5ab7948b5542995dae37e969,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,3.0,openai,-1
hotpotqa,5ab925fd554299131ca42281,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,5.0,openai,-1
hotpotqa,5ac560235542993e66e82396,exact_copeland,unrepaired_copeland,0.11314719276545837,0.5,0.38685280723454163,True,3.0,openai,-1
hotpotqa,5adbf43655429947ff173864,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
hotpotqa,5adf8fe55542993344016d0f,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,5.0,openai,-1
hotpotqa,5ae1dadf5542997f29b3c14f,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
hotpotqa,5ae504a855429908b63264df,exact_copeland,unrepaired_copeland,0.04377130915202532,0.8503449055347546,0.8065735963827293,True,5.0,openai,-1
hotpotqa,5ae663b05542992ae0d16316,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,4.0,openai,-1
fiqa,524,exact_copeland,unrepaired_copeland,0.0,1.0,1.0,True,1.0,openai,-1
