dataset,query_id,repaired_policy,unrepaired_policy,repair_gain,repaired_ndcg,unrepaired_ndcg,is_cyclic,fas_weight_removed,provider,n_cycles,largest_scc_frac,n_scc_norm,n_candidates_norm,n_judgments_norm
scidocs,6079719b677d0abda12abcd5cd46582ca91585ad,greedy_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,1.0,9.0,openai,-1,0.6,0.4666666666666667,0.46875,0.8203125
scidocs,661a03482f0532b7355188059b2263091ade1bae,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,12.0,openai,-1,0.6,0.4666666666666667,0.46875,0.8203125
scidocs,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.06666666666666667,1.0,0.46875,0.8203125
scidocs,6affd37b83d4fca0d0e54e5d75433a74cb142671,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,9.0,openai,-1,0.4,0.6666666666666666,0.46875,0.8203125
scidocs,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,greedy_copeland,unrepaired_copeland,0.0,0.9747429528567879,0.9747429528567879,1.0,17.0,openai,-1,0.6,0.4666666666666667,0.46875,0.8203125
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,greedy_copeland,unrepaired_copeland,-0.015014115926515026,0.9415771611758031,0.9565912771023182,1.0,4.0,openai,-1,0.26666666666666666,0.6666666666666666,0.46875,0.8203125
scidocs,7323c2d32d6cdc3604dcedc574508d042ce3821e,greedy_copeland,unrepaired_copeland,0.0,0.9747429528567879,0.9747429528567879,1.0,7.0,openai,-1,0.4,0.6666666666666666,0.46875,0.8203125
scidocs,7445178858159988f2b17aa21376e13767fce5a6,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,9.0,openai,-1,0.6666666666666666,0.4,0.46875,0.8203125
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,greedy_copeland,unrepaired_copeland,0.0,0.9438661545147249,0.9438661545147249,0.0,0.0,openai,0,0.06666666666666667,1.0,0.46875,0.8203125
scidocs,78495383450e02c5fe817e408726134b3084905d,greedy_copeland,unrepaired_copeland,0.0,0.9512312000626861,0.9512312000626861,1.0,1.0,openai,-1,0.2,0.8666666666666667,0.46875,0.8203125
scidocs,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,greedy_copeland,unrepaired_copeland,0.0,0.9068250379649666,0.9068250379649666,1.0,5.0,openai,-1,0.4,0.6666666666666666,0.46875,0.8203125
scidocs,866b1a9819f662ac2499be231965ded8e0323c7f,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,5.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
scidocs,8bb3a478db8951f42198a885d7245d58036ba55c,greedy_copeland,unrepaired_copeland,-0.018151675754469743,0.9818483242455303,1.0,1.0,5.0,openai,-1,0.5333333333333333,0.5333333333333333,0.46875,0.8203125
scidocs,8bb49c0658d7b7cff42c655a6d7e005372ad32ea,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,16.0,openai,-1,0.6666666666666666,0.4,0.46875,0.8203125
scidocs,8d37da5a9f05ee71d06cc6afcc1b14f8ff83147f,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,3.0,openai,-1,0.3333333333333333,0.7333333333333333,0.46875,0.8203125
scidocs,9003fb79e7848ced3be975c3d87a9348a4b8d377,greedy_copeland,unrepaired_copeland,0.0,0.9828920819566879,0.9828920819566879,1.0,17.0,openai,-1,0.6,0.4666666666666667,0.46875,0.8203125
scidocs,9e76a700f03ef476b964b27e23c071163e44c232,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,2.0,openai,-1,0.3333333333333333,0.7333333333333333,0.46875,0.8203125
scidocs,a829c1093eb4d78a198ebb9b4a33a8137b0359df,greedy_copeland,unrepaired_copeland,-0.02910768238943018,0.9083053473410256,0.9374130297304558,1.0,22.0,openai,-1,0.7333333333333333,0.3333333333333333,0.46875,0.8203125
scidocs,ac24b99a5db633ce45f053287ca806157fff9663,greedy_copeland,unrepaired_copeland,0.0,0.725124396546942,0.725124396546942,1.0,2.0,openai,-1,0.3333333333333333,0.7333333333333333,0.46875,0.8203125
scidocs,b045f045e331700cdef309e0d40b15a64cdf5b8a,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,12.0,openai,-1,0.6666666666666666,0.26666666666666666,0.46875,0.8203125
scidocs,b37225fc67e1aeeb7877c4691f9036ed5cc01efa,greedy_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,1.0,3.0,openai,-1,0.26666666666666666,0.6666666666666666,0.46875,0.8203125
scidocs,b47402a9a68f23b548ae6e0349700ea651b7a373,greedy_copeland,unrepaired_copeland,-0.0060602693906082195,0.975788054854922,0.9818483242455303,1.0,12.0,openai,-1,0.6666666666666666,0.4,0.46875,0.8203125
scidocs,b8397b4418bb1d576210d9a39d44725d6ffb2a44,greedy_copeland,unrepaired_copeland,-0.039075217475442514,0.9043980816456215,0.943473299121064,1.0,10.0,openai,-1,0.5333333333333333,0.3333333333333333,0.46875,0.8203125
scidocs,b8eea99bb5345329ea058072133f568f7bdd27bd,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,8.0,openai,-1,0.6,0.4666666666666667,0.46875,0.8203125
scidocs,ba69c46c62b525941e91d0788d20b6ef91847cc4,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,2.0,openai,-1,0.26666666666666666,0.6666666666666666,0.46875,0.8203125
scidocs,bfebba8356c5d20dc6a9b2f72ff66adaf63321b7,greedy_copeland,unrepaired_copeland,0.0,0.9747429528567879,0.9747429528567879,0.0,0.0,openai,0,0.06666666666666667,1.0,0.46875,0.8203125
scidocs,c05ae45c262b270df1e99a32efa35036aae8d950,greedy_copeland,unrepaired_copeland,0.0,0.9896062251871525,0.9896062251871525,1.0,14.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
scidocs,c20b4068be640ebaffbc56382c3e4e0bcf62664e,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,5.0,openai,-1,0.4,0.6666666666666666,0.46875,0.8203125
scidocs,c4e76b318149a106563d53892dde801a37a637cc,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,3.0,openai,-1,0.4,0.6666666666666666,0.46875,0.8203125
scidocs,dc344ea8e993584b924522d95febaeb74de2ad30,greedy_copeland,unrepaired_copeland,-0.004895737244352216,0.9708923176105698,0.975788054854922,1.0,6.0,openai,-1,0.4666666666666667,0.6,0.46875,0.8203125
scidocs,e5adfc2f23602a5256e89b84615e1434e5375f0e,greedy_copeland,unrepaired_copeland,-0.007757900941622098,0.943473299121064,0.9512312000626861,1.0,5.0,openai,-1,0.3333333333333333,0.5333333333333333,0.46875,0.8203125
scidocs,e642d6014a5762128a28f85dae2228826e682974,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,4.0,openai,-1,0.4,0.6666666666666666,0.46875,0.8203125
scidocs,eb3d1b885bfa800badfd79c6921a07d01491aedb,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.06666666666666667,1.0,0.46875,0.8203125
hotpotqa,5a7283355542991f9a20c4b1,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,1.0,openai,-1,0.3,0.8,0.3125,0.3515625
hotpotqa,5a72b8de5542994cef4bc3df,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,2.0,openai,-1,0.5,0.6,0.3125,0.3515625
hotpotqa,5a7a1b845542990783324e5f,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.1,1.0,0.3125,0.3515625
hotpotqa,5a7cb9b95542990527d55515,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,5.0,openai,-1,0.5,0.6,0.3125,0.3515625
hotpotqa,5a866b5b554299211dda2b23,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.1,1.0,0.3125,0.3515625
hotpotqa,5a88a42f554299206df2b317,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,6.0,openai,-1,0.7,0.4,0.3125,0.3515625
hotpotqa,5a8cec13554299441c6b9f7d,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,14.0,openai,-1,0.7,0.4,0.3125,0.3515625
hotpotqa,5a8f2ba155429918e830d1b9,greedy_copeland,unrepaired_copeland,0.0,0.9197207891481876,0.9197207891481876,1.0,1.0,openai,-1,0.3,0.8,0.3125,0.3515625
hotpotqa,5a90c8165542995651fb51ee,greedy_copeland,unrepaired_copeland,0.0,0.8772153153380493,0.8772153153380493,1.0,2.0,openai,-1,0.3,0.6,0.3125,0.3515625
hotpotqa,5ab64285554299637185c67c,greedy_copeland,unrepaired_copeland,0.0,0.5706417189553201,0.5706417189553201,0.0,0.0,openai,0,0.1,1.0,0.3125,0.3515625
hotpotqa,5ab6993f554299110f219a2b,greedy_copeland,unrepaired_copeland,0.0,0.6309297535714575,0.6309297535714575,1.0,1.0,openai,-1,0.3,0.8,0.3125,0.3515625
hotpotqa,5ab7948b5542995dae37e969,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,5.0,openai,-1,0.7,0.4,0.3125,0.3515625
hotpotqa,5ab925fd554299131ca42281,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,7.0,openai,-1,0.9,0.2,0.3125,0.3515625
hotpotqa,5ac560235542993e66e82396,greedy_copeland,unrepaired_copeland,-0.030645620126519446,0.3562071871080222,0.38685280723454163,1.0,5.0,openai,-1,0.7,0.4,0.3125,0.3515625
hotpotqa,5adbf43655429947ff173864,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,1.0,openai,-1,0.3,0.8,0.3125,0.3515625
hotpotqa,5adf8fe55542993344016d0f,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,13.0,openai,-1,0.9,0.2,0.3125,0.3515625
hotpotqa,5ae18d615542997283cd2229,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.1,1.0,0.3125,0.3515625
hotpotqa,5ae1dadf5542997f29b3c14f,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,1.0,openai,-1,0.6,0.5,0.3125,0.3515625
hotpotqa,5ae504a855429908b63264df,greedy_copeland,unrepaired_copeland,-0.008850706837702726,0.7977228895450266,0.8065735963827293,1.0,5.0,openai,-1,0.8,0.3,0.3125,0.3515625
hotpotqa,5ae663b05542992ae0d16316,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,15.0,openai,-1,0.9,0.2,0.3125,0.3515625
fiqa,105,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.5,1.0,0.0625,0.0078125
fiqa,107,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.5,1.0,0.0625,0.0078125
fiqa,19,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.5,1.0,0.0625,0.0078125
fiqa,456,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.5,1.0,0.0625,0.0078125
fiqa,457,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.5,1.0,0.0625,0.0078125
fiqa,48,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.25,1.0,0.125,0.046875
fiqa,481,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.14285714285714285,1.0,0.21875,0.1640625
fiqa,493,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.5,1.0,0.0625,0.0078125
fiqa,524,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,1.0,1.0,openai,-1,0.6,0.6,0.15625,0.078125
fiqa,608,greedy_copeland,unrepaired_copeland,0.0,1.0,1.0,0.0,0.0,openai,0,0.3333333333333333,1.0,0.09375,0.0234375
