dataset,query_id,n_judgments,providers,models,prompts,orientations,judgment_modes,top_k,has_qrels,canonical_cache,sources
fiqa,32,54,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,33,53,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,35,52,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,36,47,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,37,49,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,4,49,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,456,1,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,457,1,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,48,6,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,481,21,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,493,1,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,5,41,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,524,10,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,6,48,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,608,3,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_fiqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_fiqa_pairwise_openai_fiqa_real_run_q20_k15
fiqa,7,35,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
fiqa,9,62,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a7166395542994082a3e814,45,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a7283355542991f9a20c4b1,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a72b8de5542994cef4bc3df,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a75e05c55429976ec32bc5f,50,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a7a1b845542990783324e5f,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a7bbb64554299042af8f7cc,46,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a7cb9b95542990527d55515,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a8133725542995ce29dcbdb,55,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a85b2d95542997b5ce40028,44,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a85ea095542994775f606a8,44,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a866b5b554299211dda2b23,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a877e5d5542993e715abf7d,44,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a87ab905542996e4f3088c1,39,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a88a42f554299206df2b317,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a8c7595554299585d9e36b6,41,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a8cec13554299441c6b9f7d,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a8e3ea95542995a26add48d,47,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5a8f2ba155429918e830d1b9,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5a90c8165542995651fb51ee,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ab3b0bf5542992ade7c6e39,56,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5ab3e45655429976abd1bcd4,45,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5ab56e32554299637185c594,40,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5ab64285554299637185c67c,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ab6993f554299110f219a2b,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ab6d09255429954757d337d,50,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5ab7948b5542995dae37e969,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ab925fd554299131ca42281,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ac560235542993e66e82396,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5adbf0a255429947ff17385a,45,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5adbf43655429947ff173864,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5adddccd5542997dc7907069,50,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5adf8fe55542993344016d0f,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ae0d4c9554299603e418468,52,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5ae18d615542997283cd2229,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ae1dadf5542997f29b3c14f,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ae22b8d554299234fd0440f,47,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5ae504a855429908b63264df,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
hotpotqa,5ae6050f55429929b0807a5e,45,azure|cohere,,,ab|ba,pairwise,,True,,failure_mining_llm_v3_edges|failure_mining_llm_v3_edges|failure_mining_llm_v3_edges
hotpotqa,5ae663b05542992ae0d16316,45,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_hotpotqa_real_run_q20_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_hotpotqa_pairwise_openai_hotpotqa_real_run_q20_k15
scidocs,09109a5375d8e2ca752bedde17ba5acad1df61cb,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,0ce7927d613e66a2062516e9e85e1b9a36d54029,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,0daf48d0ce4e4200a753c28519f5761b160944fb,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,1312b0d0a957fc2bbfc2612dd89ba9003c57a08c,152,azure|cohere|fireworks|gemini|openai,accounts/fireworks/models/gpt-oss-120b|command-r-plus-08-2024|gemini-2.5-flash|gpt-4.1-mini|gpt-4o-mini,concise_v1|json_ab_v1|json_tie_v1|legacy_pairwise|legacy_v1,ab|ba|none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15|multi_provider_scidocs_pilot
scidocs,1a66df57f88e689438d505474eff73e3a9180c5b,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,21b1180af3087c1333708a9873f6d473eabe6751,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,2747421989619d293c05b0b82a547009128ebadb,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,28f3343d2419147213e7580934cfc4e0cb88b088,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,29373c5bb0d60320844905916aec09d64c24cd79,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,3ad8328b066bedca77c858a399a77521563d5c99,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,4a343313042b654c7d85313de3d88486a1d0e9de,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,4d4dc6568e24f283f3c5bcb88f280908a35da0e3,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,4ec90b7da43e6438cbdc756624b1083f30288064,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,5137d6a245dffe321df34999fa77e190c19b4c37,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,51ee97313309157219412b6f5dfb314682b33992,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,5f1f12015d55c51764be27df92de175d2de8ee0d,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,6079719b677d0abda12abcd5cd46582ca91585ad,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,661a03482f0532b7355188059b2263091ade1bae,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,6ae4d0b388aa9262e80c3eedc1cb3e5f06842368,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,6affd37b83d4fca0d0e54e5d75433a74cb142671,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,6cdbbced12bff53bcbdde3cdb6d20b4bd02a9d6c,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,6f54a7933235ced5684e3bff18f7e5dc40510018,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,7323c2d32d6cdc3604dcedc574508d042ce3821e,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,7445178858159988f2b17aa21376e13767fce5a6,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,7526f88d4ee7a380fecd05c1f92208ad94605cec,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,78495383450e02c5fe817e408726134b3084905d,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
scidocs,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,105,openai,gpt-4o-mini,legacy_pairwise,none,pairwise,15,True,outputs/openai_scidocs_real_pairwise_q50_k15/judgment_cache/llm_pairwise_judgments.jsonl,openai_scidocs_pairwise_openai_scidocs_real_pairwise_q50_k15
