dataset,preference_source,method_a,method_b,metric,mean_diff,ci_lower,ci_upper,p_value,significant,n_queries
fiqa,qrels_flip,greedy_fas_weighted_balance,borda,kendall_tau,-0.031111,-0.086667,0.024444,0.253200,False,20
fiqa,qrels_flip,hybrid_rrf_fas_regularized,borda,kendall_tau,-0.031111,-0.086667,0.024444,0.253200,False,20
fiqa,qrels_flip,greedy_fas_weighted_balance,score_sum,kendall_tau,-0.026667,-0.082222,0.026666,0.319200,False,20
fiqa,qrels_flip,hybrid_rrf_fas_regularized,score_sum,kendall_tau,-0.026667,-0.082222,0.026666,0.319200,False,20
fiqa,qrels_flip,greedy_fas_weighted_balance,borda,ndcg,-0.006283,-0.036677,0.020992,0.693600,False,20
fiqa,qrels_flip,hybrid_rrf_fas_regularized,borda,ndcg,-0.006283,-0.036677,0.020992,0.693600,False,20
fiqa,qrels_flip,greedy_fas_weighted_balance,score_sum,ndcg,-0.020034,-0.050558,0.002884,0.102800,False,20
fiqa,qrels_flip,hybrid_rrf_fas_regularized,score_sum,ndcg,-0.020034,-0.050558,0.002884,0.102800,False,20
fiqa,qrels_flip,greedy_fas_weighted_balance,borda,pairwise_accuracy,0.002455,-0.024300,0.033878,0.914000,False,20
fiqa,qrels_flip,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,0.002455,-0.024300,0.033878,0.914000,False,20
fiqa,qrels_flip,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,-0.008269,-0.039774,0.021806,0.597600,False,20
fiqa,qrels_flip,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,-0.008269,-0.039774,0.021806,0.597600,False,20
hotpotqa,qrels_flip,greedy_fas_weighted_balance,borda,kendall_tau,-0.037778,-0.064444,-0.015555,0.000400,True,20
hotpotqa,qrels_flip,hybrid_rrf_fas_regularized,borda,kendall_tau,-0.037778,-0.064444,-0.015555,0.000400,True,20
hotpotqa,qrels_flip,greedy_fas_weighted_balance,score_sum,kendall_tau,-0.037778,-0.064444,-0.015555,0.000400,True,20
hotpotqa,qrels_flip,hybrid_rrf_fas_regularized,score_sum,kendall_tau,-0.037778,-0.064444,-0.015555,0.000400,True,20
hotpotqa,qrels_flip,greedy_fas_weighted_balance,borda,ndcg,-0.015329,-0.045986,0.000000,0.732800,False,20
hotpotqa,qrels_flip,hybrid_rrf_fas_regularized,borda,ndcg,-0.015329,-0.045986,0.000000,0.732800,False,20
hotpotqa,qrels_flip,greedy_fas_weighted_balance,score_sum,ndcg,-0.015329,-0.045986,0.000000,0.732800,False,20
hotpotqa,qrels_flip,hybrid_rrf_fas_regularized,score_sum,ndcg,-0.015329,-0.045986,0.000000,0.732800,False,20
hotpotqa,qrels_flip,greedy_fas_weighted_balance,borda,pairwise_accuracy,-0.006250,-0.018750,0.000000,0.732800,False,20
hotpotqa,qrels_flip,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,-0.006250,-0.018750,0.000000,0.732800,False,20
hotpotqa,qrels_flip,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,-0.006250,-0.018750,0.000000,0.732800,False,20
hotpotqa,qrels_flip,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,-0.006250,-0.018750,0.000000,0.732800,False,20
scidocs,qrels_flip,greedy_fas_weighted_balance,borda,kendall_tau,-0.068889,-0.117778,-0.024444,0.001200,True,20
scidocs,qrels_flip,hybrid_rrf_fas_regularized,borda,kendall_tau,-0.068889,-0.117778,-0.024444,0.001200,True,20
scidocs,qrels_flip,greedy_fas_weighted_balance,score_sum,kendall_tau,-0.068889,-0.117778,-0.024444,0.001200,True,20
scidocs,qrels_flip,hybrid_rrf_fas_regularized,score_sum,kendall_tau,-0.068889,-0.117778,-0.024444,0.001200,True,20
scidocs,qrels_flip,greedy_fas_weighted_balance,borda,ndcg,-0.003277,-0.008205,0.000000,0.250000,False,20
scidocs,qrels_flip,hybrid_rrf_fas_regularized,borda,ndcg,-0.003277,-0.008205,0.000000,0.250000,False,20
scidocs,qrels_flip,greedy_fas_weighted_balance,score_sum,ndcg,-0.003277,-0.008205,0.000000,0.250000,False,20
scidocs,qrels_flip,hybrid_rrf_fas_regularized,score_sum,ndcg,-0.003277,-0.008205,0.000000,0.250000,False,20
scidocs,qrels_flip,greedy_fas_weighted_balance,borda,pairwise_accuracy,-0.008381,-0.022762,0.000000,0.250000,False,20
scidocs,qrels_flip,hybrid_rrf_fas_regularized,borda,pairwise_accuracy,-0.008381,-0.022762,0.000000,0.250000,False,20
scidocs,qrels_flip,greedy_fas_weighted_balance,score_sum,pairwise_accuracy,-0.008381,-0.022762,0.000000,0.250000,False,20
scidocs,qrels_flip,hybrid_rrf_fas_regularized,score_sum,pairwise_accuracy,-0.008381,-0.022762,0.000000,0.250000,False,20
