seed,noise,n_items,method,kendall_tau,tau_to_score_sum,tau_to_borda,weighted_agreement_original,unweighted_agreement_original,weighted_agreement_repaired_dag,unweighted_agreement_repaired_dag,removed_edges,removed_weight,topo_incomparable_ratio,topo_mean_available_sources,topo_max_available_sources,topo_mean_log2_choices,topo_multi_source_step_ratio
789,0.05,20,priority_topological_score_sum,0.747368,0.821053,0.778947,0.944888,0.873684,1.0,1.0,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
789,0.05,20,score_sum,0.926316,1.0,0.936842,0.959085,0.921053,0.972838,0.972789,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
789,0.05,20,score_sum_repaired_dag,0.905263,0.936842,0.936842,0.957541,0.910526,0.971638,0.959184,43,3.388923,0.078947,1.45,3.0,0.429248,0.4
1234,0.05,20,borda,0.905263,0.8,1.0,0.946372,0.942105,0.974189,0.971014,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
1234,0.05,20,borda_repaired_dag,0.715789,0.778947,0.747368,0.905666,0.836842,0.972698,0.971014,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
1234,0.05,20,fas_copeland,0.705263,0.852632,0.736842,0.914847,0.831579,0.974616,0.978261,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
1234,0.05,20,fas_weighted_balance,0.821053,0.884211,0.810526,0.926942,0.868421,0.971827,0.971014,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
1234,0.05,20,greedy_fas_topological,0.568421,0.736842,0.6,0.894946,0.794737,1.0,1.0,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
1234,0.05,20,priority_topological_score_sum,0.621053,0.789474,0.652632,0.90185,0.821053,1.0,1.0,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
1234,0.05,20,score_sum,0.831579,1.0,0.8,0.92843,0.884211,0.97506,0.978261,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
1234,0.05,20,score_sum_repaired_dag,0.778947,0.863158,0.768421,0.915234,0.847368,0.971827,0.971014,52,10.195936,0.105263,1.8,4.0,0.666993,0.5
42,0.1,20,borda,0.884211,0.842105,1.0,0.883855,0.842105,0.941718,0.930233,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
42,0.1,20,borda_repaired_dag,0.705263,0.789474,0.736842,0.849309,0.752632,0.938611,0.930233,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
42,0.1,20,fas_copeland,0.736842,0.863158,0.789474,0.853992,0.768421,0.944286,0.945736,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
42,0.1,20,fas_weighted_balance,0.831579,0.894737,0.8,0.872457,0.805263,0.942743,0.937984,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
42,0.1,20,greedy_fas_topological,0.6,0.684211,0.610526,0.873013,0.773684,1.0,1.0,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
42,0.1,20,priority_topological_score_sum,0.578947,0.726316,0.610526,0.872452,0.763158,1.0,1.0,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
42,0.1,20,score_sum,0.810526,1.0,0.842105,0.869683,0.794737,0.941597,0.930233,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
42,0.1,20,score_sum_repaired_dag,0.778947,0.863158,0.747368,0.856023,0.778947,0.942372,0.937984,61,10.535804,0.047368,1.25,3.0,0.229248,0.2
123,0.1,20,borda,0.789474,0.831579,1.0,0.864131,0.821053,0.89704,0.893939,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
123,0.1,20,borda_repaired_dag,0.642105,0.747368,0.768421,0.844599,0.768421,0.920685,0.939394,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
123,0.1,20,fas_copeland,0.568421,0.736842,0.694737,0.843922,0.752632,0.936158,0.954545,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
123,0.1,20,fas_weighted_balance,0.694737,0.757895,0.736842,0.844309,0.763158,0.910141,0.924242,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
123,0.1,20,greedy_fas_topological,0.378947,0.526316,0.463158,0.84532,0.742105,1.0,1.0,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
123,0.1,20,priority_topological_score_sum,0.4,0.568421,0.484211,0.84585,0.731579,1.0,1.0,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
123,0.1,20,score_sum,0.747368,1.0,0.831579,0.862216,0.8,0.90218,0.901515,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
123,0.1,20,score_sum_repaired_dag,0.705263,0.852632,0.831579,0.857835,0.789474,0.912165,0.924242,58,9.524902,0.073684,1.4,3.0,0.379248,0.35
456,0.1,20,borda,0.884211,0.778947,1.0,0.851815,0.831579,0.899167,0.904348,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
456,0.1,20,borda_repaired_dag,0.515789,0.6,0.610526,0.776261,0.7,0.915113,0.930435,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
456,0.1,20,fas_copeland,0.6,0.684211,0.694737,0.793512,0.710526,0.90653,0.921739,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
456,0.1,20,fas_weighted_balance,0.694737,0.778947,0.768421,0.821063,0.757895,0.90653,0.921739,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
456,0.1,20,greedy_fas_topological,0.431579,0.536842,0.526316,0.83413,0.731579,1.0,1.0,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
456,0.1,20,priority_topological_score_sum,0.463158,0.610526,0.557895,0.834445,0.736842,1.0,1.0,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
456,0.1,20,score_sum,0.747368,1.0,0.778947,0.811772,0.763158,0.881533,0.869565,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
456,0.1,20,score_sum_repaired_dag,0.6,0.789474,0.652632,0.799985,0.731579,0.894956,0.895652,75,14.708632,0.126316,2.0,6.0,0.703841,0.45
789,0.1,20,borda,0.915789,0.842105,1.0,0.893458,0.868421,0.933042,0.935484,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
789,0.1,20,borda_repaired_dag,0.652632,0.705263,0.673684,0.833714,0.757895,0.933042,0.935484,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
789,0.1,20,fas_copeland,0.642105,0.778947,0.705263,0.832556,0.742105,0.933042,0.935484,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
789,0.1,20,fas_weighted_balance,0.810526,0.821053,0.810526,0.879533,0.826316,0.935149,0.946237,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
789,0.1,20,greedy_fas_topological,0.452632,0.589474,0.494737,0.826491,0.710526,1.0,1.0,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
789,0.1,20,priority_topological_score_sum,0.536842,0.694737,0.557895,0.844087,0.752632,1.0,1.0,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
789,0.1,20,score_sum,0.821053,1.0,0.842105,0.88857,0.842105,0.933042,0.935484,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
789,0.1,20,score_sum_repaired_dag,0.652632,0.747368,0.673684,0.842976,0.768421,0.933042,0.935484,97,10.78123,0.210526,2.3,5.0,0.906785,0.55
1234,0.1,20,borda,0.831579,0.810526,1.0,0.870735,0.852632,0.931113,0.924812,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
1234,0.1,20,borda_repaired_dag,0.642105,0.726316,0.726316,0.836394,0.757895,0.943523,0.93985,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
1234,0.1,20,fas_copeland,0.578947,0.768421,0.684211,0.823299,0.736842,0.945551,0.954887,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
1234,0.1,20,fas_weighted_balance,0.726316,0.894737,0.768421,0.851055,0.778947,0.936891,0.93985,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
1234,0.1,20,greedy_fas_topological,0.452632,0.642105,0.536842,0.84891,0.736842,1.0,1.0,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
1234,0.1,20,priority_topological_score_sum,0.473684,0.684211,0.536842,0.85677,0.747368,1.0,1.0,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
1234,0.1,20,score_sum,0.768421,1.0,0.810526,0.854692,0.789474,0.931558,0.932331,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
1234,0.1,20,score_sum_repaired_dag,0.705263,0.915789,0.726316,0.840008,0.757895,0.931491,0.932331,57,12.832822,0.036842,1.15,3.0,0.129248,0.1
42,0.15,20,borda,0.863158,0.768421,1.0,0.845155,0.8,0.928355,0.91453,73,13.689272,0.1,1.55,3.0,0.487744,0.4
42,0.15,20,borda_repaired_dag,0.610526,0.726316,0.663158,0.820343,0.726316,0.946292,0.957265,73,13.689272,0.1,1.55,3.0,0.487744,0.4
42,0.15,20,fas_copeland,0.684211,0.842105,0.736842,0.822012,0.721053,0.94141,0.948718,73,13.689272,0.1,1.55,3.0,0.487744,0.4
42,0.15,20,fas_weighted_balance,0.757895,0.894737,0.747368,0.83194,0.747368,0.932067,0.940171,73,13.689272,0.1,1.55,3.0,0.487744,0.4
42,0.15,20,greedy_fas_topological,0.484211,0.6,0.536842,0.824274,0.694737,1.0,1.0,73,13.689272,0.1,1.55,3.0,0.487744,0.4
42,0.15,20,priority_topological_score_sum,0.515789,0.673684,0.547368,0.828444,0.7,1.0,1.0,73,13.689272,0.1,1.55,3.0,0.487744,0.4
42,0.15,20,score_sum,0.757895,1.0,0.768421,0.828878,0.736842,0.924127,0.897436,73,13.689272,0.1,1.55,3.0,0.487744,0.4
42,0.15,20,score_sum_repaired_dag,0.684211,0.863158,0.694737,0.825832,0.742105,0.933239,0.940171,73,13.689272,0.1,1.55,3.0,0.487744,0.4
123,0.15,20,borda,0.694737,0.715789,1.0,0.75867,0.763158,0.753087,0.790909,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
123,0.15,20,borda_repaired_dag,0.431579,0.684211,0.526316,0.713099,0.652632,0.818056,0.881818,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
123,0.15,20,fas_copeland,0.4,0.610526,0.473684,0.669296,0.626316,0.811342,0.890909,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
123,0.15,20,fas_weighted_balance,0.473684,0.663158,0.484211,0.697915,0.652632,0.819474,0.9,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
123,0.15,20,greedy_fas_topological,0.210526,0.421053,0.221053,0.716225,0.636842,1.0,1.0,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
123,0.15,20,priority_topological_score_sum,0.210526,0.442105,0.221053,0.723167,0.647368,1.0,1.0,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
123,0.15,20,score_sum,0.684211,1.0,0.715789,0.780973,0.768421,0.798663,0.863636,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
123,0.15,20,score_sum_repaired_dag,0.378947,0.694737,0.431579,0.696004,0.647368,0.823266,0.890909,80,17.086887,0.068421,1.35,3.0,0.329248,0.3
456,0.15,20,borda,0.873684,0.810526,1.0,0.809095,0.784211,0.889264,0.88785,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
456,0.15,20,borda_repaired_dag,0.515789,0.536842,0.621053,0.738443,0.668421,0.901846,0.915888,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
456,0.15,20,fas_copeland,0.589474,0.652632,0.694737,0.756557,0.673684,0.899009,0.915888,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
456,0.15,20,fas_weighted_balance,0.705263,0.747368,0.726316,0.789916,0.731579,0.89881,0.906542,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
456,0.15,20,greedy_fas_topological,0.431579,0.473684,0.494737,0.798649,0.7,1.0,1.0,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
456,0.15,20,priority_topological_score_sum,0.463158,0.568421,0.547368,0.800086,0.705263,1.0,1.0,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
456,0.15,20,score_sum,0.747368,1.0,0.810526,0.781565,0.731579,0.872301,0.841121,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
456,0.15,20,score_sum_repaired_dag,0.589474,0.715789,0.631579,0.754008,0.694737,0.889296,0.88785,83,18.217726,0.131579,2.0,6.0,0.703841,0.45
789,0.15,20,borda,0.831579,0.8,1.0,0.830454,0.794737,0.897924,0.873418,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
789,0.15,20,borda_repaired_dag,0.536842,0.694737,0.6,0.771423,0.7,0.907591,0.886076,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
789,0.15,20,fas_copeland,0.621053,0.736842,0.684211,0.789623,0.721053,0.913746,0.911392,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
789,0.15,20,fas_weighted_balance,0.757895,0.789474,0.778947,0.82077,0.768421,0.90327,0.898734,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
789,0.15,20,greedy_fas_topological,0.357895,0.494737,0.378947,0.771346,0.663158,1.0,1.0,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
789,0.15,20,priority_topological_score_sum,0.442105,0.6,0.463158,0.789541,0.705263,1.0,1.0,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
789,0.15,20,score_sum,0.757895,1.0,0.8,0.82999,0.778947,0.915226,0.924051,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
789,0.15,20,score_sum_repaired_dag,0.536842,0.736842,0.621053,0.785996,0.710526,0.896915,0.886076,111,15.228619,0.257895,1.8,4.0,0.666993,0.5
1234,0.15,20,borda,0.768421,0.747368,1.0,0.786672,0.784211,0.841278,0.87069,74,18.89847,0.1,1.6,3.0,0.537744,0.45
1234,0.15,20,borda_repaired_dag,0.610526,0.631579,0.652632,0.725712,0.684211,0.85357,0.896552,74,18.89847,0.1,1.6,3.0,0.537744,0.45
1234,0.15,20,fas_copeland,0.557895,0.642105,0.663158,0.749317,0.7,0.874333,0.913793,74,18.89847,0.1,1.6,3.0,0.537744,0.45
1234,0.15,20,fas_weighted_balance,0.694737,0.757895,0.736842,0.766319,0.726316,0.85357,0.896552,74,18.89847,0.1,1.6,3.0,0.537744,0.45
1234,0.15,20,greedy_fas_topological,0.378947,0.505263,0.421053,0.8062,0.726316,1.0,1.0,74,18.89847,0.1,1.6,3.0,0.537744,0.45
1234,0.15,20,priority_topological_score_sum,0.389474,0.557895,0.452632,0.816755,0.731579,1.0,1.0,74,18.89847,0.1,1.6,3.0,0.537744,0.45
1234,0.15,20,score_sum,0.726316,1.0,0.747368,0.789135,0.763158,0.849441,0.87069,74,18.89847,0.1,1.6,3.0,0.537744,0.45
1234,0.15,20,score_sum_repaired_dag,0.610526,0.778947,0.610526,0.767684,0.715789,0.871271,0.905172,74,18.89847,0.1,1.6,3.0,0.537744,0.45
42,0.2,20,borda,0.778947,0.768421,1.0,0.792059,0.757895,0.891171,0.859375,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
42,0.2,20,borda_repaired_dag,0.6,0.610526,0.673684,0.770387,0.710526,0.909559,0.914062,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
42,0.2,20,fas_copeland,0.547368,0.621053,0.642105,0.786819,0.705263,0.940722,0.945312,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
42,0.2,20,fas_weighted_balance,0.736842,0.789474,0.726316,0.795454,0.736842,0.90841,0.898438,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
42,0.2,20,greedy_fas_topological,0.452632,0.526316,0.526316,0.801622,0.721053,1.0,1.0,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
42,0.2,20,priority_topological_score_sum,0.484211,0.578947,0.536842,0.810944,0.726316,1.0,1.0,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
42,0.2,20,score_sum,0.757895,1.0,0.768421,0.782305,0.715789,0.884637,0.835938,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
42,0.2,20,score_sum_repaired_dag,0.663158,0.8,0.673684,0.789102,0.710526,0.91469,0.898438,62,14.062826,0.047368,1.35,3.0,0.329248,0.3
123,0.2,20,borda,0.715789,0.736842,1.0,0.731121,0.726316,0.719293,0.754237,72,15.694768,0.057895,1.25,2.0,0.25,0.25
123,0.2,20,borda_repaired_dag,0.368421,0.621053,0.442105,0.66418,0.626316,0.803112,0.872881,72,15.694768,0.057895,1.25,2.0,0.25,0.25
123,0.2,20,fas_copeland,0.347368,0.578947,0.442105,0.689759,0.647368,0.839534,0.90678,72,15.694768,0.057895,1.25,2.0,0.25,0.25
123,0.2,20,fas_weighted_balance,0.505263,0.694737,0.536842,0.700586,0.663158,0.800506,0.881356,72,15.694768,0.057895,1.25,2.0,0.25,0.25
123,0.2,20,greedy_fas_topological,0.210526,0.421053,0.242105,0.739574,0.663158,1.0,1.0,72,15.694768,0.057895,1.25,2.0,0.25,0.25
123,0.2,20,priority_topological_score_sum,0.221053,0.473684,0.252632,0.749372,0.678947,1.0,1.0,72,15.694768,0.057895,1.25,2.0,0.25,0.25
123,0.2,20,score_sum,0.642105,1.0,0.736842,0.751616,0.731579,0.771885,0.830508,72,15.694768,0.057895,1.25,2.0,0.25,0.25
123,0.2,20,score_sum_repaired_dag,0.431579,0.747368,0.505263,0.70145,0.657895,0.798772,0.864407,72,15.694768,0.057895,1.25,2.0,0.25,0.25
456,0.2,20,borda,0.757895,0.684211,1.0,0.73732,0.726316,0.804624,0.805825,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
456,0.2,20,borda_repaired_dag,0.4,0.473684,0.515789,0.68045,0.642105,0.848439,0.834951,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
456,0.2,20,fas_copeland,0.557895,0.505263,0.631579,0.69699,0.657895,0.838188,0.864078,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
456,0.2,20,fas_weighted_balance,0.578947,0.547368,0.631579,0.676011,0.636842,0.819995,0.834951,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
456,0.2,20,greedy_fas_topological,0.305263,0.336842,0.336842,0.748634,0.668421,1.0,1.0,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
456,0.2,20,priority_topological_score_sum,0.326316,0.421053,0.4,0.758783,0.678947,1.0,1.0,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
456,0.2,20,score_sum,0.610526,1.0,0.684211,0.706979,0.673684,0.790068,0.747573,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
456,0.2,20,score_sum_repaired_dag,0.410526,0.652632,0.505263,0.653883,0.626316,0.812285,0.825243,87,20.595784,0.078947,1.55,4.0,0.479248,0.4
789,0.2,20,borda,0.8,0.757895,1.0,0.796338,0.768421,0.862848,0.848837,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
789,0.2,20,borda_repaired_dag,0.368421,0.536842,0.421053,0.710312,0.657895,0.890715,0.872093,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
789,0.2,20,fas_copeland,0.526316,0.631579,0.6,0.716977,0.652632,0.875524,0.883721,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
789,0.2,20,fas_weighted_balance,0.663158,0.747368,0.715789,0.770092,0.721053,0.868032,0.872093,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
789,0.2,20,greedy_fas_topological,0.231579,0.442105,0.284211,0.741956,0.652632,1.0,1.0,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
789,0.2,20,priority_topological_score_sum,0.284211,0.515789,0.357895,0.768414,0.678947,1.0,1.0,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
789,0.2,20,score_sum,0.705263,1.0,0.757895,0.760773,0.7,0.853964,0.848837,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
789,0.2,20,score_sum_repaired_dag,0.431579,0.663158,0.484211,0.702528,0.636842,0.834283,0.825581,104,14.548819,0.152632,1.65,3.0,0.608496,0.55
1234,0.2,20,borda,0.726316,0.726316,1.0,0.746912,0.742105,0.768245,0.783505,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
1234,0.2,20,borda_repaired_dag,0.336842,0.442105,0.336842,0.665246,0.578947,0.876548,0.907216,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
1234,0.2,20,fas_copeland,0.389474,0.473684,0.410526,0.632043,0.573684,0.810974,0.865979,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
1234,0.2,20,fas_weighted_balance,0.484211,0.568421,0.484211,0.657971,0.610526,0.811358,0.865979,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
1234,0.2,20,greedy_fas_topological,0.210526,0.294737,0.168421,0.731056,0.631579,1.0,1.0,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
1234,0.2,20,priority_topological_score_sum,0.242105,0.389474,0.263158,0.759124,0.647368,1.0,1.0,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
1234,0.2,20,score_sum,0.726316,1.0,0.726316,0.738921,0.710526,0.76964,0.793814,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
1234,0.2,20,score_sum_repaired_dag,0.368421,0.536842,0.347368,0.680084,0.594737,0.871731,0.896907,93,25.952804,0.136842,1.9,4.0,0.687744,0.45
42,0.25,20,borda,0.726316,0.747368,1.0,0.754164,0.694737,0.869274,0.79661,72,16.961237,0.047368,1.2,2.0,0.2,0.2
42,0.25,20,borda_repaired_dag,0.631579,0.610526,0.589474,0.745073,0.668421,0.919347,0.90678,72,16.961237,0.047368,1.2,2.0,0.2,0.2
42,0.25,20,fas_copeland,0.621053,0.621053,0.6,0.743826,0.652632,0.926262,0.915254,72,16.961237,0.047368,1.2,2.0,0.2,0.2
42,0.25,20,fas_weighted_balance,0.736842,0.757895,0.694737,0.744153,0.668421,0.896256,0.872881,72,16.961237,0.047368,1.2,2.0,0.2,0.2
42,0.25,20,greedy_fas_topological,0.4,0.4,0.357895,0.757729,0.657895,1.0,1.0,72,16.961237,0.047368,1.2,2.0,0.2,0.2
42,0.25,20,priority_topological_score_sum,0.463158,0.463158,0.421053,0.764297,0.668421,1.0,1.0,72,16.961237,0.047368,1.2,2.0,0.2,0.2
42,0.25,20,score_sum,0.789474,1.0,0.747368,0.733634,0.642105,0.867543,0.771186,72,16.961237,0.047368,1.2,2.0,0.2,0.2
42,0.25,20,score_sum_repaired_dag,0.673684,0.715789,0.610526,0.735675,0.647368,0.90246,0.872881,72,16.961237,0.047368,1.2,2.0,0.2,0.2
123,0.25,20,borda,0.684211,0.705263,1.0,0.72979,0.705263,0.725459,0.741379,74,16.056201,0.042105,1.2,2.0,0.2,0.2
123,0.25,20,borda_repaired_dag,0.368421,0.621053,0.494737,0.656929,0.610526,0.800264,0.862069,74,16.056201,0.042105,1.2,2.0,0.2,0.2
123,0.25,20,fas_copeland,0.336842,0.589474,0.463158,0.672005,0.626316,0.82492,0.887931,74,16.056201,0.042105,1.2,2.0,0.2,0.2
123,0.25,20,fas_weighted_balance,0.484211,0.715789,0.505263,0.685607,0.647368,0.788275,0.862069,74,16.056201,0.042105,1.2,2.0,0.2,0.2
