experiment_family,noise,n_items,method,n_runs,mean_tau,std_tau,mean_n_violations,mean_pairwise_inconsistency_before,mean_pairwise_inconsistency_after,mean_fas_removed_edges,mean_fas_removed_weight,mean_runtime_total_s,mean_runtime_repair_s,best_method_by_regime,gap_to_borda,gap_to_score_sum
noise_sweep_variant_followup,0.15,20,hybrid_rrf_fas_regularized,1,0.7789473684210526,0.0,21,29,9,73,13.689271912514776,0.025341,0.018454,borda,-0.08421052631578951,0.021052631578947323
noise_sweep_variant_followup,0.2,20,score_sum,1,0.7578947368421053,0.0,23,37,16,62,14.062826200160195,0.017816,0.011126,borda,-0.021052631578947323,0.0
noise_sweep_variant_followup,0.2,20,borda,1,0.7789473684210526,0.0,21,37,16,62,14.062826200160195,0.017816,0.011126,borda,0.0,0.021052631578947323
noise_sweep_variant_followup,0.2,20,greedy_fas_topological,1,0.45263157894736844,0.0,52,37,16,62,14.062826200160195,0.017816,0.011126,borda,-0.32631578947368417,-0.30526315789473685
noise_sweep_variant_followup,0.2,20,priority_topological_score_sum,1,0.4842105263157895,0.0,49,37,16,62,14.062826200160195,0.017816,0.011126,borda,-0.29473684210526313,-0.2736842105263158
noise_sweep_variant_followup,0.2,20,fas_weighted_balance,1,0.7368421052631579,0.0,25,37,16,62,14.062826200160195,0.017816,0.011126,borda,-0.04210526315789476,-0.021052631578947434
noise_sweep_variant_followup,0.2,20,fas_copeland,1,0.5473684210526316,0.0,43,37,16,62,14.062826200160195,0.017816,0.011126,borda,-0.231578947368421,-0.21052631578947367
noise_sweep_variant_followup,0.2,20,hybrid_rrf_fas_regularized,1,0.7578947368421053,0.0,23,37,16,62,14.062826200160195,0.017816,0.011126,borda,-0.021052631578947323,0.0
noise_sweep_variant_followup,0.25,20,score_sum,1,0.7894736842105263,0.0,20,56,21,72,16.96123693541677,0.017408,0.011126,hybrid_rrf_fas_regularized,0.06315789473684208,0.0
noise_sweep_variant_followup,0.25,20,borda,1,0.7263157894736842,0.0,26,56,21,72,16.96123693541677,0.017408,0.011126,hybrid_rrf_fas_regularized,0.0,-0.06315789473684208
noise_sweep_variant_followup,0.25,20,greedy_fas_topological,1,0.4,0.0,57,56,21,72,16.96123693541677,0.017408,0.011126,hybrid_rrf_fas_regularized,-0.3263157894736842,-0.3894736842105263
noise_sweep_variant_followup,0.25,20,priority_topological_score_sum,1,0.4631578947368421,0.0,51,56,21,72,16.96123693541677,0.017408,0.011126,hybrid_rrf_fas_regularized,-0.26315789473684215,-0.3263157894736842
noise_sweep_variant_followup,0.25,20,fas_weighted_balance,1,0.7368421052631579,0.0,25,56,21,72,16.96123693541677,0.017408,0.011126,hybrid_rrf_fas_regularized,0.010526315789473606,-0.052631578947368474
noise_sweep_variant_followup,0.25,20,fas_copeland,1,0.6210526315789474,0.0,36,56,21,72,16.96123693541677,0.017408,0.011126,hybrid_rrf_fas_regularized,-0.10526315789473684,-0.16842105263157892
noise_sweep_variant_followup,0.25,20,hybrid_rrf_fas_regularized,1,0.8210526315789474,0.0,17,56,21,72,16.96123693541677,0.017408,0.011126,hybrid_rrf_fas_regularized,0.09473684210526312,0.03157894736842104
noise_sweep_variant_followup,0.3,20,score_sum,1,0.5263157894736842,0.0,45,67,27,70,16.760695708954763,0.019291,0.012325,fas_weighted_balance,-0.052631578947368474,0.0
noise_sweep_variant_followup,0.3,20,borda,1,0.5789473684210527,0.0,40,67,27,70,16.760695708954763,0.019291,0.012325,fas_weighted_balance,0.0,0.052631578947368474
noise_sweep_variant_followup,0.3,20,greedy_fas_topological,1,0.4105263157894737,0.0,56,67,27,70,16.760695708954763,0.019291,0.012325,fas_weighted_balance,-0.16842105263157897,-0.1157894736842105
noise_sweep_variant_followup,0.3,20,priority_topological_score_sum,1,0.4105263157894737,0.0,56,67,27,70,16.760695708954763,0.019291,0.012325,fas_weighted_balance,-0.16842105263157897,-0.1157894736842105
noise_sweep_variant_followup,0.3,20,fas_weighted_balance,1,0.6421052631578947,0.0,34,67,27,70,16.760695708954763,0.019291,0.012325,fas_weighted_balance,0.06315789473684208,0.11578947368421055
noise_sweep_variant_followup,0.3,20,fas_copeland,1,0.5684210526315789,0.0,41,67,27,70,16.760695708954763,0.019291,0.012325,fas_weighted_balance,-0.010526315789473717,0.04210526315789476
noise_sweep_variant_followup,0.3,20,hybrid_rrf_fas_regularized,1,0.6210526315789474,0.0,36,67,27,70,16.760695708954763,0.019291,0.012325,fas_weighted_balance,0.04210526315789476,0.09473684210526323
variant_multiseed_n20_noise0.20,0.2,20,score_sum,5,0.6884210526315789,0.05433047537079554,29.6,40.6,18.8,83.6,18.171000400170744,0.0237068,0.014358600000000001,borda,-0.06736842105263163,0.0
variant_multiseed_n20_noise0.20,0.2,20,borda,5,0.7557894736842106,0.03150869378335951,23.2,40.6,18.8,83.6,18.171000400170744,0.0237068,0.014358600000000001,borda,0.0,0.06736842105263163
variant_multiseed_n20_noise0.20,0.2,20,greedy_fas_topological,5,0.28210526315789475,0.09210375938622047,68.2,40.6,18.8,83.6,18.171000400170744,0.0237068,0.014358600000000001,borda,-0.4736842105263158,-0.4063157894736842
variant_multiseed_n20_noise0.20,0.2,20,priority_topological_score_sum,5,0.31157894736842107,0.09358362429849629,65.4,40.6,18.8,83.6,18.171000400170744,0.0237068,0.014358600000000001,borda,-0.4442105263157895,-0.37684210526315787
variant_multiseed_n20_noise0.20,0.2,20,fas_weighted_balance,5,0.5936842105263158,0.09522680318230432,38.6,40.6,18.8,83.6,18.171000400170744,0.0237068,0.014358600000000001,borda,-0.16210526315789475,-0.09473684210526312
variant_multiseed_n20_noise0.20,0.2,20,fas_copeland,5,0.47368421052631576,0.08756477618141228,50,40.6,18.8,83.6,18.171000400170744,0.0237068,0.014358600000000001,borda,-0.2821052631578948,-0.21473684210526317
variant_multiseed_n20_noise0.20,0.2,20,hybrid_rrf_fas_regularized,5,0.6842105263157895,0.07353368082767572,30,40.6,18.8,83.6,18.171000400170744,0.0237068,0.014358600000000001,borda,-0.07157894736842108,-0.004210526315789442
