seed,noise,n_items,removed_edges,removed_weight,topo_incomparable_ratio,topo_mean_available_sources,topo_max_available_sources,topo_mean_log2_choices,topo_multi_source_step_ratio,tau_score_sum,tau_borda,tau_score_sum_repaired_dag,tau_greedy_fas_topological,tau_priority_topological_score_sum,tau_fas_weighted_balance,gap_score_sum_minus_fas_weighted_balance,gap_borda_minus_fas_weighted_balance,gap_score_sum_minus_greedy_topo,repair_loss_score_sum,extraction_loss_topo_from_repaired_score_sum,extraction_loss_priority_from_repaired_score_sum
789,0.2,20,104,14.548819,0.152632,1.65,3.0,0.608496,0.55,0.705263,0.8,0.431579,0.231579,0.284211,0.663158,0.042105,0.136842,0.473684,0.273684,0.2,0.147368
1234,0.2,20,93,25.952804,0.136842,1.9,4.0,0.687744,0.45,0.726316,0.726316,0.368421,0.210526,0.242105,0.484211,0.242105,0.242105,0.515789,0.357895,0.157895,0.126316
42,0.25,20,72,16.961237,0.047368,1.2,2.0,0.2,0.2,0.789474,0.726316,0.673684,0.4,0.463158,0.736842,0.052632,-0.010526,0.389474,0.115789,0.273684,0.210526
123,0.25,20,74,16.056201,0.042105,1.2,2.0,0.2,0.2,0.621053,0.684211,0.431579,0.189474,0.168421,0.484211,0.136842,0.2,0.431579,0.189474,0.242105,0.263158
456,0.25,20,87,21.299979,0.073684,1.6,3.0,0.537744,0.45,0.589474,0.736842,0.431579,0.294737,0.326316,0.589474,0.0,0.147368,0.294737,0.157895,0.136842,0.105263
789,0.25,20,103,14.403198,0.152632,1.65,3.0,0.608496,0.55,0.684211,0.747368,0.389474,0.231579,0.273684,0.652632,0.031579,0.094737,0.452632,0.294737,0.157895,0.115789
1234,0.25,20,95,25.600074,0.089474,1.45,3.0,0.408496,0.35,0.684211,0.705263,0.305263,0.147368,0.178947,0.452632,0.231579,0.252632,0.536842,0.378947,0.157895,0.126316
42,0.3,20,70,16.760696,0.015789,1.15,2.0,0.15,0.15,0.526316,0.578947,0.547368,0.410526,0.410526,0.642105,-0.115789,-0.063158,0.115789,-0.021053,0.136842,0.136842
123,0.3,20,84,20.078321,0.063158,1.4,3.0,0.379248,0.35,0.494737,0.526316,0.242105,0.052632,0.063158,0.252632,0.242105,0.273684,0.442105,0.252632,0.189474,0.178947
456,0.3,20,90,23.635269,0.073684,1.6,3.0,0.537744,0.45,0.442105,0.589474,0.4,0.294737,0.305263,0.568421,-0.126316,0.021053,0.147368,0.042105,0.105263,0.094737
789,0.3,20,112,15.952963,0.178947,1.75,3.0,0.666993,0.55,0.610526,0.684211,0.315789,0.178947,0.252632,0.578947,0.031579,0.105263,0.431579,0.294737,0.136842,0.063158
1234,0.3,20,96,26.652619,0.089474,1.45,3.0,0.408496,0.35,0.536842,0.631579,0.336842,0.136842,0.157895,0.347368,0.189474,0.284211,0.4,0.2,0.2,0.178947
