dataset,regime,config_id,pool_size,metric_cutoff,pair_name,pair_family,metric,n_paired_queries,mean_unrepaired,mean_repaired,mean_delta,median_delta,std_delta,helped_queries,harmed_queries,unchanged_queries,perm_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_fraction_gt_zero,top_influence_query_id,top_influence_delta,mean_without_top_influence,median_without_top_influence,q05_delta,q25_delta,q50_delta,q75_delta,q95_delta,holm_full_family,bh_full_family,holm_active_ms1_family,bh_active_ms1_family
hotpotqa,ms1,pool35_ndcg10,35,10,balance_graph,graph,ndcg,52,0.8660157381620053,0.8670385990616245,0.001022860899619419,0.0,0.00982601655406409,1,1,50,1.0,-0.0009338721249936438,0.004002454823851901,0.6314,5ae0361155429925eb1afc2c,0.06937588361343294,-0.000317394447710258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hotpotqa,ms1,pool35_ndcg10,35,10,balance_hybrid,hybrid,ndcg,52,0.8664443748346927,0.8664443748346927,0.0,0.0,0.0,0,0,52,1.0,0.0,0.0,0.0,5a8c7595554299585d9e36b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hotpotqa,ms1,pool35_ndcg10,35,10,copeland_graph,graph,ndcg,52,0.8403169448358241,0.8485614402540356,0.00824449541821162,0.0,0.06230051570690359,2,3,47,0.49925007499250074,-0.0057227043035367785,0.027537266147020248,0.8091,5a74106b55429979e288289e,0.36907024642854247,0.0011694806925188592,0.0,-0.003982818076966224,0.0,0.0,0.0,0.0,1.0,0.9928418922813601,1.0,0.9928418922813601
hotpotqa,ms1,pool35_ndcg10,35,10,copeland_hybrid,hybrid,ndcg,52,0.8606947482904697,0.8607310824559005,3.633416543079838e-05,0.0,0.005087696875531225,1,1,50,1.0,-0.0014412134538976833,0.0015502159501900785,0.5246,5ae0361155429925eb1afc2c,0.026870409803294693,-0.0004898241804096701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hotpotqa,ms1,pool35_ndcg10,35,10,markov_graph,graph,ndcg,52,0.8382401736065545,0.8489285635042723,0.010688389897717792,0.0,0.045462889151777756,5,1,46,0.06469353064693531,0.001402746170313308,0.025638455584653042,0.9937,5ae22b8d554299234fd0440f,0.3065735963827292,0.004886719182325413,0.0,0.0,0.0,0.0,0.0,0.07425353794294937,1.0,0.646935306469353,1.0,0.646935306469353
scidocs,ms1,pool50_ndcg10,50,10,balance_graph,graph,ndcg,120,0.24739293054019573,0.2467997068129772,-0.000593223727218526,0.0,0.02945849616589034,6,6,108,0.8439156084391561,-0.0060377369000812415,0.004510532901214443,0.4156,7c88a0f765ce3c9025345cf133251cb947fe6ee5,-0.17723928678404777,0.0008911969707380222,0.0,-0.00024478686221760996,0.0,0.0,0.0,0.0007012519614838637,1.0,0.9928418922813601,1.0,0.9928418922813601
scidocs,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,ndcg,120,0.25620914510585563,0.2608878330054764,0.004678687899620726,0.0,0.03588219375177613,3,0,117,0.24577542245775422,0.0,0.012302341547618082,0.9523,0bf046038a555bc848030a28530f9836e5611b96,0.36907024642854247,0.0016165739624028957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8959104089591041,1.0,0.8959104089591041
scidocs,ms1,pool50_ndcg10,50,10,copeland_graph,graph,ndcg,120,0.2522722947233825,0.25438708835137736,0.0021147936279948282,0.0,0.09038966745239038,21,21,78,0.8004199580041996,-0.014285951617189619,0.018397312572919353,0.6075,a22e737d38a1bc671893a7ed341aba436571097a,-0.36907024642854247,0.005233995645276654,0.0,-0.04099840945193877,0.0,0.0,0.0,0.12401527146945325,1.0,0.9928418922813601,1.0,0.9928418922813601
scidocs,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,ndcg,120,0.26010450577073246,0.25729305306316663,-0.002811452707565852,0.0,0.02346587906170801,7,11,102,0.2186781321867813,-0.007627604106067652,0.0004947546431409757,0.0657,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,-0.22629438553091674,-0.000933444868714164,0.0,-0.00892786023645989,0.0,0.0,0.0,0.005890045781171813,1.0,0.8959104089591041,1.0,0.8959104089591041
scidocs,ms1,pool50_ndcg10,50,10,markov_graph,graph,ndcg,120,0.2632251508284542,0.26058201327818103,-0.0026431375502731494,0.0,0.039136663623386005,11,14,95,0.47315268473152683,-0.009651526618662212,0.004295302207206187,0.2247,065985d4d0854c51f52ad7a7507b267d9b88ab1c,0.19342640361727081,-0.004290780753361755,0.0,-0.052570706100035856,0.0,0.0,0.0,0.020581923009890413,1.0,0.9928418922813601,1.0,0.9928418922813601
bright,ms1,pool50_ndcg10,50,10,balance_graph,graph,map,50,0.47726587301587303,0.4778583994708995,0.000592526455026458,0.0,0.01165124825678425,4,5,41,0.7556244375562444,-0.0024345370370370363,0.003987390873015874,0.6341,biology:42,0.05,-0.0004157893316056551,0.0,-0.010371031746031687,0.0,0.0,0.0,0.012291666666666638,,,,
bright,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,map,50,0.4502010582010582,0.4498637566137566,-0.0003373015873015857,0.0,0.010591912116930018,2,3,45,0.811018898110189,-0.0033373015873015854,0.0026626984126984143,0.397,biology:9,-0.05000000000000001,0.000676222870100423,0.0,-0.0049107142857142665,0.0,0.0,0.0,0.0,,,,
bright,ms1,pool50_ndcg10,50,10,copeland_graph,graph,map,50,0.4480852040816326,0.45277788485764675,0.00469268077601411,0.0,0.0366911101748829,11,8,31,0.39576042395760425,-0.00517342372134039,0.015528207671957665,0.816,biology:33,0.16666666666666669,0.0013870892272252807,0.0,-0.027182539682539714,0.0,0.0,0.0,0.07705357142857142,,,,
bright,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,map,50,0.4419137377173092,0.4464415154950869,0.004527777777777778,0.0,0.01966659980835965,6,2,42,0.12998700129987,-6.349206349206299e-05,0.010658730158730163,0.9719,biology:33,0.11111111111111116,0.0023526077097505665,0.0,0.0,0.0,0.0,0.0,0.027142857142857104,,,,
bright,ms1,pool50_ndcg10,50,10,markov_graph,graph,map,50,0.44210621693121693,0.4360145691609978,-0.006091647770219194,0.0,0.0650069144534008,8,9,33,0.5425457454254574,-0.02551535336356765,0.010601615646258503,0.2583,biology:47,-0.2777777777777778,-0.0005470328721057534,0.0,-0.09874999999999998,0.0,0.0,0.0,0.05305555555555554,,,,
fiqa,ms1,pool50_ndcg10,50,10,balance_graph,graph,map,120,0.21282159391534392,0.21859485229276895,0.005773258377425043,0.0,0.026880635039819398,11,3,106,0.007399260073992601,0.0015514357363315687,0.01099382716049382,0.9993,12,0.19166666666666662,0.0042111288960028454,0.0,0.0,0.0,0.0,0.0,0.03812499999999994,,,,
fiqa,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,map,120,0.20333195546737215,0.2047787147266314,0.0014467592592592594,0.0,0.015158833949194298,2,0,118,0.5057494250574942,0.0,0.0042824074074074075,0.8686,446,0.16666666666666669,5.835667600373485e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,
fiqa,ms1,pool50_ndcg10,50,10,copeland_graph,graph,map,120,0.21650793650793648,0.2127496693121693,-0.003758267195767197,0.0,0.07073318799992558,11,11,98,0.7081291870812919,-0.018069465112433864,0.006852781911375659,0.3053,498,-0.6666666666666667,0.0018123916233159921,0.0,-0.034166666666666685,0.0,0.0,0.0,0.0346874999999998,,,,
fiqa,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,map,120,0.21178102954144623,0.21251763668430337,0.0007366071428571414,0.0,0.007790537834784723,6,2,112,0.3274672532746725,-0.0006523850859788382,0.0021594122023809465,0.8529,479,-0.050000000000000044,0.0011629651860744286,0.0,0.0,0.0,0.0,0.0,0.0006696428571428112,,,,
fiqa,ms1,pool50_ndcg10,50,10,markov_graph,graph,map,120,0.2250710978835979,0.22514880952380953,7.771164021164086e-05,0.0,0.07343646519257081,8,13,99,0.9905009499050095,-0.01336036706349206,0.013647652116402117,0.4981,21,-0.5,0.004280045351473923,0.0,-0.04166666666666667,0.0,0.0,0.0,0.0502777777777778,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,balance_graph,graph,map,52,0.8122329059829059,0.8143162393162393,0.002083333333333331,0.0,0.018696504883849135,1,1,50,1.0,-0.0014423076923076937,0.0076923076923076875,0.6326,5ae0361155429925eb1afc2c,0.13333333333333325,-0.000490196078431373,0.0,0.0,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,balance_hybrid,hybrid,map,52,0.8131639194139194,0.8131639194139194,0.0,0.0,0.0,0,0,52,1.0,0.0,0.0,0.0,5a8c7595554299585d9e36b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,copeland_graph,graph,map,52,0.7775335775335775,0.788003663003663,0.010470085470085471,0.0,0.08031132920670694,2,3,47,0.49925007499250074,-0.007158119658119659,0.035256410256410256,0.804,5a74106b55429979e288289e,0.5,0.0008714596949891075,0.0,-0.006249999999999974,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,copeland_hybrid,hybrid,map,52,0.8029075091575091,0.8030677655677655,0.00016025641025641183,0.0,0.009024300144423776,1,1,50,1.0,-0.002403846153846152,0.0028846153846153874,0.5246,5ae0361155429925eb1afc2c,0.050000000000000044,-0.0008169934640522868,0.0,0.0,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,markov_graph,graph,map,52,0.7837301587301587,0.7982600732600733,0.01452991452991453,0.0,0.05599350718441657,5,1,46,0.06469353064693531,0.0017094017094017079,0.032371794871794875,0.9925,5ae22b8d554299234fd0440f,0.33333333333333337,0.008278867102396514,0.0,0.0,0.0,0.0,0.0,0.12083333333333296,,,,
scidocs,ms1,pool50_ndcg10,50,10,balance_graph,graph,map,120,0.16644218474426806,0.16702584876543208,0.0005836640211640207,0.0,0.02118931342290255,6,6,108,0.7735226477352265,-0.002958085317460318,0.004642898478835979,0.6035,fd65ca4e3ae95302f74bf863988cdb95d6a12824,0.16666666666666669,-0.0008119914632519681,0.0,-0.0005555555555555517,0.0,0.0,0.0,0.0005952380952380614,,,,
scidocs,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,map,120,0.17991765873015872,0.18593617724867725,0.0060185185185185185,0.0,0.048003254204961134,3,0,117,0.24577542245775422,0.0,0.015740740740740743,0.9523,0bf046038a555bc848030a28530f9836e5611b96,0.5,0.0018674136321195143,0.0,0.0,0.0,0.0,0.0,0.0,,,,
scidocs,ms1,pool50_ndcg10,50,10,copeland_graph,graph,map,120,0.1790120701058201,0.17663635361552027,-0.0023757164902998246,0.0,0.08726878279644713,21,21,78,0.7845215478452154,-0.018575092317019398,0.012945954585537912,0.3966,a22e737d38a1bc671893a7ed341aba436571097a,-0.5,0.001806000177848916,0.0,-0.04064814814814814,0.0,0.0,0.0,0.07330357142857141,,,,
scidocs,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,map,120,0.18472712742504407,0.18137847222222223,-0.003348655202821869,0.0,0.025690368162824006,7,11,102,0.1464853514648535,-0.00867064594356261,0.00025133652998236345,0.0421,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,-0.25,-0.001275954826374994,0.0,-0.011180555555555544,0.0,0.0,0.0,0.006994047619047619,,,,
scidocs,ms1,pool50_ndcg10,50,10,markov_graph,graph,map,120,0.18284027777777778,0.18174465388007055,-0.001095623897707231,0.0,0.024857928795766492,11,14,95,0.6518348165183482,-0.005357754629629631,0.0034907407407407404,0.2997,0bf046038a555bc848030a28530f9836e5611b96,0.16666666666666669,-0.002505391045307012,0.0,-0.033749999999999995,0.0,0.0,0.0,0.014404761904761901,,,,
bright,ms1,pool50_ndcg10,50,10,balance_graph,graph,mrr,50,0.6564365079365081,0.6546904761904763,-0.0017460317460317454,0.0,0.012086183754291688,1,2,47,0.5009499050094991,-0.005477182539682537,0.0005555555555555558,0.1274,biology:22,-0.08333333333333331,-8.09847748623256e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,,
bright,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,mrr,50,0.6234126984126984,0.6238888888888889,0.0004761904761904762,0.0,0.0033333333333333322,1,0,49,1.0,0.0,0.0014285714285714286,0.6364,biology:22,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
bright,ms1,pool50_ndcg10,50,10,copeland_graph,graph,mrr,50,0.6097460317460317,0.6196904761904761,0.009944444444444445,0.0,0.07125439124436429,4,2,44,0.5872412758724127,-0.002999999999999999,0.032,0.8057,biology:33,0.5,-5.668934240362735e-05,0.0,0.0,0.0,0.0,0.0,0.02458333333333329,,,,
bright,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,mrr,50,0.6263015873015874,0.6246349206349207,-0.0016666666666666663,0.0,0.011666666666666664,0,1,49,1.0,-0.004999999999999999,0.0,0.0,biology:15,-0.08333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
bright,ms1,pool50_ndcg10,50,10,markov_graph,graph,mrr,50,0.6184920634920634,0.6166031746031746,-0.0018888888888888883,0.0,0.17833804078245183,4,5,41,0.8713128687131287,-0.05188888888888888,0.04833333333333333,0.4541,biology:6,0.5,-0.012131519274376418,0.0,-0.38749999999999996,0.0,0.0,0.0,0.3499999999999991,,,,
fiqa,ms1,pool50_ndcg10,50,10,balance_graph,graph,mrr,120,0.2536276455026455,0.2600297619047619,0.006402116402116401,0.0,0.03607533307156886,6,3,111,0.04609539046095391,0.0008928571428571429,0.013402777777777779,0.9929,12,0.3,0.003934907296251834,0.0,0.0,0.0,0.0,0.0,0.0011904761904761227,,,,
fiqa,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,mrr,120,0.2559920634920635,0.25749669312169315,0.0015046296296296298,0.0,0.01519292866590204,2,0,118,0.5057494250574942,0.0,0.004398148148148149,0.8686,446,0.16666666666666669,0.0001167133520074697,0.0,0.0,0.0,0.0,0.0,0.0,,,,
fiqa,ms1,pool50_ndcg10,50,10,copeland_graph,graph,mrr,120,0.26556547619047616,0.25915343915343914,-0.006412037037037039,0.0,0.0724427920702632,8,11,101,0.41215878412158785,-0.021084738756613763,0.004722470238095234,0.1611,498,-0.6666666666666667,-0.0008636788048552766,0.0,-0.1,0.0,0.0,0.0,0.01863095238095233,,,,
fiqa,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,mrr,120,0.27110780423280423,0.2727050264550265,0.0015972222222222225,0.0,0.010285928426819956,5,1,114,0.0653934606539346,0.00013888888888888908,0.0037136243386243395,0.9888,25,0.1,0.0007703081232493,0.0,0.0,0.0,0.0,0.0,0.0,,,,
fiqa,ms1,pool50_ndcg10,50,10,markov_graph,graph,mrr,120,0.26487103174603177,0.2682936507936508,0.0034226190476190476,0.0,0.0841497090217141,6,9,105,0.7061293870612939,-0.011111276455026456,0.01941319444444442,0.6644,21,-0.5,0.007653061224489797,0.0,-0.023809523809523808,0.0,0.0,0.0,0.0027777777777776196,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,balance_graph,graph,mrr,52,0.8724358974358974,0.8724358974358974,0.0,0.0,0.0,0,0,52,1.0,0.0,0.0,0.0,5a8c7595554299585d9e36b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,balance_hybrid,hybrid,mrr,52,0.8647435897435897,0.8647435897435897,0.0,0.0,0.0,0,0,52,1.0,0.0,0.0,0.0,5a8c7595554299585d9e36b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,copeland_graph,graph,mrr,52,0.8269230769230768,0.8419871794871793,0.015064102564102564,0.0,0.09985350462846944,2,2,48,0.49925007499250074,-0.0073717948717948725,0.04711538461538462,0.8387,5ab51dae5542991779162d82,0.5,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,copeland_hybrid,hybrid,mrr,52,0.8519230769230769,0.8519230769230769,0.0,0.0,0.0,0,0,52,1.0,0.0,0.0,0.0,5a8c7595554299585d9e36b6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
hotpotqa,ms1,pool35_ndcg10,35,10,markov_graph,graph,mrr,52,0.8477564102564101,0.8628205128205126,0.015064102564102566,0.0,0.09205974087982913,3,0,49,0.24967503249675033,0.0,0.04294871794871795,0.9555,5ae22b8d554299234fd0440f,0.6666666666666667,0.0022875816993464053,0.0,0.0,0.0,0.0,0.0,0.014999999999999868,,,,
scidocs,ms1,pool50_ndcg10,50,10,balance_graph,graph,mrr,120,0.2606547619047619,0.2639186507936508,0.0032638888888888895,0.0,0.020275115436538916,6,1,113,0.0725927407259274,0.0001984126984126984,0.007252480158730151,0.9819,fd65ca4e3ae95302f74bf863988cdb95d6a12824,0.16666666666666669,0.0018907563025210082,0.0,0.0,0.0,0.0,0.0,0.0008928571428570917,,,,
scidocs,ms1,pool50_ndcg10,50,10,balance_hybrid,hybrid,mrr,120,0.27601521164021164,0.28295965608465606,0.006944444444444445,0.0,0.04998070615401829,3,0,117,0.24577542245775422,0.0,0.016666666666666666,0.9523,0bf046038a555bc848030a28530f9836e5611b96,0.5,0.002801120448179272,0.0,0.0,0.0,0.0,0.0,0.0,,,,
scidocs,ms1,pool50_ndcg10,50,10,copeland_graph,graph,mrr,120,0.286792328042328,0.28290343915343913,-0.00388888888888889,0.0,0.0980038175650705,13,15,92,0.666933306669333,-0.022271990740740738,0.01303265542328042,0.3471,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,-0.5,0.0002801120448179276,0.0,-0.05035714285714284,0.0,0.0,0.0,0.0841666666666666,,,,
scidocs,ms1,pool50_ndcg10,50,10,copeland_hybrid,hybrid,mrr,120,0.28468915343915346,0.2811541005291005,-0.00353505291005291,0.0,0.047017697564345505,6,7,107,0.6995300469953005,-0.01311193783068783,0.002288359788359788,0.2639,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,-0.5,0.0006369214352407628,0.0,-0.01124999999999999,0.0,0.0,0.0,0.0005555555555555234,,,,
scidocs,ms1,pool50_ndcg10,50,10,markov_graph,graph,mrr,120,0.28065145502645505,0.27830357142857143,-0.0023478835978835984,0.0,0.037634329525200044,7,10,103,0.5068493150684932,-0.009173363095238097,0.004199818121693121,0.2454,19115f66f6ac1c02568bbb38eceedfa3521a8cc2,-0.16666666666666669,-0.000967053488061892,0.0,-0.058452380952380964,0.0,0.0,0.0,0.013055555555555433,,,,
