dataset,n_queries,mean_preserve,mean_repair,mean_oracle,headroom,headroom_ci_lower,headroom_ci_upper,frac_benefit,frac_harm,frac_neutral,mean_delta,median_delta,std_delta,slice_type,repair_algorithm,regime,pair_family,source_family
fiqa,16790,0.2804843181004923,0.2814983705659716,0.2872462700238923,0.005747899457920702,0.005207052032179002,0.006320805954704493,0.09201905896366885,0.06742108397855867,0.8405598570577725,0.0010140524654793249,0.0,0.053745411968951703,by_dataset_and_regime,,ms1,,
fiqa,13330,0.2842003822533046,0.2841839844186998,0.2846003179130691,0.0003999356597645387,0.0002816658541525046,0.0005342620780928107,0.012303075768942236,0.010952738184546137,0.9767441860465116,-1.6397834604754003e-05,0.0,0.010514020909541856,by_dataset_and_regime,,ms1_drop_mutual,,
fiqa,13310,0.27840816321790784,0.2783992067490018,0.27841125491884106,3.0917009332109835e-06,0.0,8.202215525536624e-06,0.00015026296018031557,0.00022539444027047334,0.9996243425995492,-8.95646890604016e-06,0.0,0.0009503922477213252,by_dataset_and_regime,,ms2,,
hotpotqa,6873,0.867426247855654,0.8709502453859896,0.8750161219250371,0.004065876539047442,0.003288005657292574,0.004934757532490627,0.04524952713516659,0.03390077113342063,0.9208497017314128,0.003523997530335473,0.0,0.05839528184769008,by_dataset_and_regime,,ms1,,
hotpotqa,5338,0.8705459663720972,0.8687796038848096,0.8705459663720972,0.0,0.0,0.0,0.0,0.004121393780442113,0.9958786062195579,-0.0017663624872878438,0.0,0.027777251133771306,by_dataset_and_regime,,ms1_drop_mutual,,
hotpotqa,5338,0.8671916365961082,0.8670043005151791,0.8671916365961082,0.0,0.0,0.0,0.0,0.0003746721618583739,0.9996253278381416,-0.00018733608092918696,0.0,0.009677318315169072,by_dataset_and_regime,,ms2,,
scidocs,16540,0.3113838541487748,0.31323820652568407,0.3191061324852651,0.005867925959581022,0.0054037327472425565,0.006344659327285367,0.13645707376058042,0.12182587666263603,0.7417170495767835,0.001854352376909287,0.0,0.04848404568553875,by_dataset_and_regime,,ms1,,
scidocs,13080,0.32017711128897375,0.3203043419456692,0.3208284611896609,0.0005241192439917053,0.00038474119749696927,0.0006794936303477499,0.0213302752293578,0.014678899082568808,0.9639908256880734,0.0001272306566954509,0.0,0.011854838835111212,by_dataset_and_regime,,ms1_drop_mutual,,
scidocs,13080,0.3203799350964405,0.32042752533349494,0.32042834727481256,8.219413176191459e-07,0.0,2.162152777268688e-06,0.00191131498470948,0.00022935779816513763,0.9978593272171253,4.7590237054406395e-05,0.0,0.0019661688438816606,by_dataset_and_regime,,ms2,,
,76393,0.42194822215608774,0.4223540214125302,0.42609171235888116,0.0037376909463509578,0.003544038028425796,0.0039384833881278,0.06178576571151807,0.05581663241396463,0.8823976018745173,0.0004057992564424363,0.0,0.04056050947235632,by_pair_family,,,graph,
,43836,0.429833222508358,0.4302139929315609,0.4311374553616453,0.0009234624300844541,0.000806644310335729,0.0010485470166322845,0.029085683000273747,0.020804817957842867,0.9501094990418834,0.000380770423202862,0.0,0.019816922950633045,by_pair_family,,,hybrid,
,1974,0.6441915342536995,0.6422738062547956,0.64425574544055,6.421118685051574e-05,2.0154904608207793e-05,0.00012021815791000791,0.00303951367781155,0.008105369807497468,0.9888551165146909,-0.0019177279989039677,0.0,0.028982995310787886,by_pair_family,,,,
,379,0.5036515331445053,0.5012032458837207,0.504952565874587,0.0013010327300817526,2.5341370842879456e-05,0.003656079027539968,0.0158311345646438,0.06068601583113457,0.9234828496042217,-0.0024482872607846794,0.0,0.037182824263481136,by_source_family,,,,cycle_type_diagnostic
,7866,0.399153729464714,0.40024547862266496,0.407280376803224,0.007034898180559024,0.006155279816440912,0.007959378567671632,0.0832697686244597,0.08339689804220697,0.8333333333333334,0.0010917491579509962,0.0,0.06060533792817138,by_source_family,,,,exact_ilp_task4
,30780,0.44795084557605197,0.44831751128386704,0.45007058155477087,0.0017530702709038226,0.0015594558885098316,0.001954535790496098,0.04525666016894087,0.03752436647173489,0.9172189733593242,0.00036666570781504113,0.0,0.026401381387944185,by_source_family,,,,full_calibrated_core_greedy
,4104,0.44926998412995417,0.4491056709253695,0.45238690018272054,0.003116916052766372,0.0024339843109099967,0.00387879098074397,0.05214424951267056,0.05116959064327485,0.8966861598440545,-0.00016431320458465252,0.0,0.03482684505918103,by_source_family,,,,new_baseline_greedy
,1710,0.3926011436700855,0.39341974006357244,0.3982255002842334,0.004805760220660982,0.0034249620434360284,0.006472864483553433,0.07368421052631578,0.06666666666666667,0.8596491228070176,0.0008185963934869637,0.0,0.04508725296639794,by_source_family,,,,pool_cutoff_exact_ilp
,29220,0.36951190309737314,0.3703366411126461,0.37226270932450906,0.0019260682118629746,0.0017089546191897966,0.0021570204271600672,0.035763175906913074,0.02707049965776865,0.9371663244353182,0.000824738015272874,0.0,0.031478227214787755,by_source_family,,,,pool_cutoff_greedy
,46170,0.4471565021471493,0.44724144048655284,0.4502159605482031,0.0029745200616502765,0.002750428825107433,0.0031985154889905302,0.055360623781676416,0.04823478449209443,0.8964045917262291,8.493833940339876e-05,0.0,0.03439064137222117,by_source_family,,,,pool_robustness_greedy
,1974,0.6441915342536995,0.6422738062547956,0.64425574544055,6.421118685051574e-05,2.0154904608207793e-05,0.00012021815791000791,0.00303951367781155,0.008105369807497468,0.9888551165146909,-0.0019177279989039677,0.0,0.028982995310787886,by_source_family,,,,real_llm_integrity_policy_sensitivity
