dataset,protocol,protocol_label,regime,bm25_weight_share_total,bm25_weight_share_conditional,calibration,threshold_mode
fiqa,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms2,0.3657110530757753,0.37656154201394165,rank_percentile,retention_matched
fiqa,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1,0.5467287079442344,0.6632939535349951,rank_percentile,retention_matched
fiqa,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1_drop_mutual,0.6060334761924859,0.6439010496112753,rank_percentile,retention_matched
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms2,0.377289059957661,0.38306736530049984,minmax_query_ranker,retention_matched
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1,0.4049662137935146,0.4360959122987504,minmax_query_ranker,retention_matched
hotpotqa,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,0.41728616982025396,0.4263683551992984,minmax_query_ranker,retention_matched
hotpotqa,ablation_raw_fixed,raw + fixed,ms2,0.9838936537210958,0.9841700107278907,raw,fixed_numeric
hotpotqa,ablation_raw_fixed,raw + fixed,ms1,0.9855213755673268,0.9869003324643285,raw,fixed_numeric
hotpotqa,ablation_raw_fixed,raw + fixed,ms1_drop_mutual,0.9861005934007074,0.9865573103897325,raw,fixed_numeric
hotpotqa,ablation_minmax_fixed,minmax + fixed,ms2,0.38385628293329915,0.39826913665120495,minmax_query_ranker,fixed_numeric
hotpotqa,ablation_minmax_fixed,minmax + fixed,ms1,0.37255625662075303,0.41773591202919835,minmax_query_ranker,fixed_numeric
hotpotqa,ablation_minmax_fixed,minmax + fixed,ms1_drop_mutual,0.3795489164802813,0.3975004728883125,minmax_query_ranker,fixed_numeric
hotpotqa,ablation_unit_vote_retention,unit vote + retention-matched,ms2,0.4208742799051169,0.42490591857680465,unit_vote,retention_matched
hotpotqa,ablation_unit_vote_retention,unit vote + retention-matched,ms1,0.5295117804226378,0.5646205646205646,unit_vote,retention_matched
hotpotqa,ablation_unit_vote_retention,unit vote + retention-matched,ms1_drop_mutual,0.5423265974877116,0.5513603553581343,unit_vote,retention_matched
hotpotqa,robustness_zscore_retention,z-score + retention-matched,ms2,0.3851169262949439,0.3903978488428247,zscore_query_ranker,retention_matched
hotpotqa,robustness_zscore_retention,z-score + retention-matched,ms1,0.4125224033538788,0.44387477536130765,zscore_query_ranker,retention_matched
hotpotqa,robustness_zscore_retention,z-score + retention-matched,ms1_drop_mutual,0.4251243469910981,0.4342422441612364,zscore_query_ranker,retention_matched
hotpotqa,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms2,0.38766865250122434,0.3952960860536959,rank_percentile,retention_matched
hotpotqa,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1,0.4191103224713306,0.4700622755456395,rank_percentile,retention_matched
hotpotqa,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1_drop_mutual,0.450479514100036,0.46126901367292567,rank_percentile,retention_matched
bright,primary_minmax_retention_matched,minmax + retention-matched,ms2,0.3552866808731365,0.3897197680480455,minmax_query_ranker,retention_matched
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1,0.4990180742270198,0.7242796506528562,minmax_query_ranker,retention_matched
bright,primary_minmax_retention_matched,minmax + retention-matched,ms1_drop_mutual,0.5310873076153816,0.7133930365001191,minmax_query_ranker,retention_matched
bright,ablation_raw_fixed,raw + fixed,ms2,0.9957387761133267,0.9963896531211395,raw,fixed_numeric
bright,ablation_raw_fixed,raw + fixed,ms1,0.9972791561447601,0.9988292762809143,raw,fixed_numeric
bright,ablation_raw_fixed,raw + fixed,ms1_drop_mutual,0.9975321401374866,0.9987508766118499,raw,fixed_numeric
bright,ablation_minmax_fixed,minmax + fixed,ms2,0.40182201813116947,0.4845868822022751,minmax_query_ranker,fixed_numeric
bright,ablation_minmax_fixed,minmax + fixed,ms1,0.38469537299887063,0.649550025440553,minmax_query_ranker,fixed_numeric
bright,ablation_minmax_fixed,minmax + fixed,ms1_drop_mutual,0.38924114414205335,0.6059406873952339,minmax_query_ranker,fixed_numeric
bright,ablation_unit_vote_retention,unit vote + retention-matched,ms2,0.4356880359330339,0.47401155042203463,unit_vote,retention_matched
bright,ablation_unit_vote_retention,unit vote + retention-matched,ms1,0.6524382973649696,0.8221153846153846,unit_vote,retention_matched
bright,ablation_unit_vote_retention,unit vote + retention-matched,ms1_drop_mutual,0.6816248113078084,0.8116013071895425,unit_vote,retention_matched
bright,robustness_zscore_retention,z-score + retention-matched,ms2,0.35707037731933183,0.3927049863288507,zscore_query_ranker,retention_matched
bright,robustness_zscore_retention,z-score + retention-matched,ms1,0.4988005928736024,0.7172691942726215,zscore_query_ranker,retention_matched
bright,robustness_zscore_retention,z-score + retention-matched,ms1_drop_mutual,0.5336828330637335,0.7067306741273415,zscore_query_ranker,retention_matched
bright,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms2,0.3507321741053783,0.3785046095310374,rank_percentile,retention_matched
bright,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1,0.5234380163298897,0.7426736366622577,rank_percentile,retention_matched
bright,robustness_rank_percentile_retention,rank-percentile + retention-matched,ms1_drop_mutual,0.5589517188197719,0.7302629005304793,rank_percentile,retention_matched
