dataset,protocol,regime,pair_name,pair_family,common_query_count,mean_delta_ndcg,median_delta_ndcg,q05_delta_ndcg,q25_delta_ndcg,q75_delta_ndcg,q95_delta_ndcg,paired_permutation_pvalue,bootstrap_ci_low,bootstrap_ci_high,bootstrap_fraction_means_gt_zero
hotpotqa,primary_minmax_retention_matched,ms1,copeland_graph,graph,52,0.01550607117753817,0.0,-0.006311267653355103,0.0,0.0,0.22629438553091674,0.3143685631436856,-0.01013825814585691,0.044450754997660796,0.8745
hotpotqa,primary_minmax_retention_matched,ms1,balance_graph,graph,52,-0.0013331431139732104,0.0,0.0,0.0,0.0,0.0,1.0,-0.003999429341919631,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms1,markov_graph,graph,52,-0.002287635243305768,0.0,0.0,0.0,0.0,0.0,0.49745025497450257,-0.0070870912977585715,0.001178677697173825,0.1118
hotpotqa,primary_minmax_retention_matched,ms1,copeland_hybrid,hybrid,52,0.01226673280326149,0.0,0.0,0.0,0.0,0.019127463214562032,0.25317468253174685,0.0,0.030813557387646136,0.956
hotpotqa,primary_minmax_retention_matched,ms1,balance_hybrid,hybrid,52,0.004351815106363783,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.013055445319091351,0.6338
hotpotqa,primary_minmax_retention_matched,ms1_drop_mutual,copeland_graph,graph,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms1_drop_mutual,balance_graph,graph,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms1_drop_mutual,markov_graph,graph,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms1_drop_mutual,copeland_hybrid,hybrid,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hotpotqa,primary_minmax_retention_matched,ms1_drop_mutual,balance_hybrid,hybrid,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bright,primary_minmax_retention_matched,ms2,copeland_graph,graph,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bright,primary_minmax_retention_matched,ms2,balance_graph,graph,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bright,primary_minmax_retention_matched,ms2,markov_graph,graph,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bright,primary_minmax_retention_matched,ms2,copeland_hybrid,hybrid,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bright,primary_minmax_retention_matched,ms2,balance_hybrid,hybrid,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bright,primary_minmax_retention_matched,ms1,copeland_graph,graph,50,-0.014041497577935986,0.0,-0.15310814893061933,-0.00371062287728699,0.015047815391424399,0.06090849466252464,0.26687331266873315,-0.040018839398353656,0.006119613848628893,0.1121
bright,primary_minmax_retention_matched,ms1,balance_graph,graph,50,0.0004451165495483156,0.0,-0.016130695584034405,0.0,0.0,0.01799952722842123,0.77002299770023,-0.002586214253343677,0.0032692455123735278,0.6227
bright,primary_minmax_retention_matched,ms1,markov_graph,graph,50,-0.007513713663229774,0.0,-0.07149195144561643,-0.000999394370056611,0.0,0.029203986708241716,0.22917708229177083,-0.02050010327858588,0.002478694021963378,0.0883
bright,primary_minmax_retention_matched,ms1,copeland_hybrid,hybrid,50,0.000601579547462045,0.0,-0.022195192438500756,0.0,0.0,0.010304995551496618,0.9096090390960904,-0.015555849095897457,0.020020489843170744,0.4852
bright,primary_minmax_retention_matched,ms1,balance_hybrid,hybrid,50,-0.007220815414619868,0.0,-0.012198145024402654,0.0,0.0,0.0,0.1625837416258374,-0.018984980557721364,0.0001468271678924582,0.0393
bright,primary_minmax_retention_matched,ms1_drop_mutual,copeland_graph,graph,50,0.00017972384514734928,0.0,-0.0016315488430602482,0.0,0.0,0.0,0.6825317468253175,-0.00032684593349282756,0.0008524817262996853,0.6904
bright,primary_minmax_retention_matched,ms1_drop_mutual,balance_graph,graph,50,0.00010718480122968055,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00032155440368904166,0.6353
bright,primary_minmax_retention_matched,ms1_drop_mutual,markov_graph,graph,50,0.0006887678870840718,0.0,0.0,0.0,0.0,0.0,0.49545045495450457,-0.000118658097677109,0.001964865832363516,0.864
bright,primary_minmax_retention_matched,ms1_drop_mutual,copeland_hybrid,hybrid,50,0.00016848164797221842,0.0,0.0,0.0,0.0,0.0,0.49375062493750627,0.0,0.0004233873296910895,0.8692
bright,primary_minmax_retention_matched,ms1_drop_mutual,balance_hybrid,hybrid,50,7.65555966378506e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00022966678991355184,0.6353
