study,query_id,dataset,n_rows,mean_outcome,outcome_definition
extraction_study[hodge_rank],1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,scidocs,20,0.0019015057738654196,ndcg[hodge_rank] - incumbent_ndcg
extraction_study[hodge_rank],9700939818a450d1bff3a3a29d71ef116d3a6a12,scidocs,20,0.017587102580769676,ndcg[hodge_rank] - incumbent_ndcg
extraction_study[hodge_rank],11039,fiqa,20,0.0006418813748004182,ndcg[hodge_rank] - incumbent_ndcg
extraction_study[hodge_rank],2377,fiqa,20,-0.0002261325141996562,ndcg[hodge_rank] - incumbent_ndcg
extraction_study[hodge_rank],4002,fiqa,20,0.001167624930732919,ndcg[hodge_rank] - incumbent_ndcg
extraction_study[fas_balance_prior_fusion],0674058618d04def58c79a0b28174301ef591433,scidocs,20,0.002334856316089351,ndcg[fas_balance_prior_fusion] - incumbent_ndcg
extraction_study[fas_balance_prior_fusion],1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,scidocs,20,0.0,ndcg[fas_balance_prior_fusion] - incumbent_ndcg
extraction_study[fas_balance_prior_fusion],9700939818a450d1bff3a3a29d71ef116d3a6a12,scidocs,20,0.0003756959129482984,ndcg[fas_balance_prior_fusion] - incumbent_ndcg
extraction_study[fas_balance_prior_fusion],11039,fiqa,20,0.0009661567387878323,ndcg[fas_balance_prior_fusion] - incumbent_ndcg
extraction_study[fas_balance_prior_fusion],2377,fiqa,20,0.0,ndcg[fas_balance_prior_fusion] - incumbent_ndcg
extraction_study[fas_balance_prior_fusion],4002,fiqa,20,0.0008064596291547544,ndcg[fas_balance_prior_fusion] - incumbent_ndcg
extraction_study[hybrid_rrf_prior_fusion],0674058618d04def58c79a0b28174301ef591433,scidocs,20,0.0010720039589287467,ndcg[hybrid_rrf_prior_fusion] - incumbent_ndcg
extraction_study[hybrid_rrf_prior_fusion],1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,scidocs,20,-0.0010393774812847533,ndcg[hybrid_rrf_prior_fusion] - incumbent_ndcg
extraction_study[hybrid_rrf_prior_fusion],9700939818a450d1bff3a3a29d71ef116d3a6a12,scidocs,20,0.0007832195822921273,ndcg[hybrid_rrf_prior_fusion] - incumbent_ndcg
extraction_study[hybrid_rrf_prior_fusion],11039,fiqa,20,0.0009661567387878323,ndcg[hybrid_rrf_prior_fusion] - incumbent_ndcg
extraction_study[hybrid_rrf_prior_fusion],2377,fiqa,20,0.0007551520318973048,ndcg[hybrid_rrf_prior_fusion] - incumbent_ndcg
extraction_study[hybrid_rrf_prior_fusion],4002,fiqa,20,0.0005376397527698362,ndcg[hybrid_rrf_prior_fusion] - incumbent_ndcg
extraction_study[copeland],0674058618d04def58c79a0b28174301ef591433,scidocs,20,0.0,ndcg[copeland] - incumbent_ndcg
extraction_study[copeland],1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,scidocs,20,0.0,ndcg[copeland] - incumbent_ndcg
extraction_study[copeland],9700939818a450d1bff3a3a29d71ef116d3a6a12,scidocs,20,0.0,ndcg[copeland] - incumbent_ndcg
extraction_study[copeland],11039,fiqa,20,0.0,ndcg[copeland] - incumbent_ndcg
extraction_study[copeland],2377,fiqa,20,0.0,ndcg[copeland] - incumbent_ndcg
extraction_study[copeland],4002,fiqa,20,0.0,ndcg[copeland] - incumbent_ndcg
repair_frontier[oracle_full_frontier_upper_bound],0674058618d04def58c79a0b28174301ef591433,scidocs,20,0.003374233797374104,delta_oracle_full_frontier
repair_frontier[oracle_full_frontier_upper_bound],1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,scidocs,20,0.0005196887406423767,delta_oracle_full_frontier
repair_frontier[oracle_full_frontier_upper_bound],9700939818a450d1bff3a3a29d71ef116d3a6a12,scidocs,20,0.02348777076814349,delta_oracle_full_frontier
repair_frontier[oracle_full_frontier_upper_bound],11039,fiqa,20,0.0015447341784360301,delta_oracle_full_frontier
repair_frontier[oracle_full_frontier_upper_bound],2377,fiqa,20,0.0018484917442162518,delta_oracle_full_frontier
repair_frontier[oracle_full_frontier_upper_bound],4002,fiqa,20,0.001436444807117837,delta_oracle_full_frontier
repair_frontier[whole_graph_repair],0674058618d04def58c79a0b28174301ef591433,scidocs,20,-0.0009075837877234871,delta_whole_graph_repair
repair_frontier[whole_graph_repair],1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,scidocs,20,0.0005196887406423767,delta_whole_graph_repair
repair_frontier[whole_graph_repair],9700939818a450d1bff3a3a29d71ef116d3a6a12,scidocs,20,0.0030301251513551062,delta_whole_graph_repair
repair_frontier[whole_graph_repair],11039,fiqa,20,-0.0010644473181033675,delta_whole_graph_repair
repair_frontier[whole_graph_repair],2377,fiqa,20,-0.0001966350081291368,delta_whole_graph_repair
repair_frontier[whole_graph_repair],4002,fiqa,20,-0.0002688198763849181,delta_whole_graph_repair
repair_frontier[best_alt_extraction],0674058618d04def58c79a0b28174301ef591433,scidocs,20,0.003374233797374104,delta_best_alt_extraction
repair_frontier[best_alt_extraction],1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,scidocs,20,-0.0012954788348045975,delta_best_alt_extraction
repair_frontier[best_alt_extraction],9700939818a450d1bff3a3a29d71ef116d3a6a12,scidocs,20,0.022060498239777626,delta_best_alt_extraction
repair_frontier[best_alt_extraction],11039,fiqa,20,0.0015447341784360301,delta_best_alt_extraction
repair_frontier[best_alt_extraction],2377,fiqa,20,0.0018484917442162518,delta_best_alt_extraction
repair_frontier[best_alt_extraction],4002,fiqa,20,0.001436444807117837,delta_best_alt_extraction
