study,comparison,dataset,query_id,n_rows,mean_effect
extraction_study,rank_centrality_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,-0.0012954788348045975
extraction_study,rank_centrality_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.017140882504696475
extraction_study,rank_centrality_vs_incumbent,fiqa,11039,20,-0.0009418241982694087
extraction_study,rank_centrality_vs_incumbent,fiqa,2377,20,0.0005034346879315366
extraction_study,rank_centrality_vs_incumbent,fiqa,4002,20,-0.0004504823150047188
extraction_study,balance_score_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,0.0
extraction_study,balance_score_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,0.0
extraction_study,balance_score_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.0019187512562233167
extraction_study,balance_score_vs_incumbent,fiqa,11039,20,-0.000289288719824099
extraction_study,balance_score_vs_incumbent,fiqa,2377,20,-0.0001966350081291368
extraction_study,balance_score_vs_incumbent,fiqa,4002,20,0.0
extraction_study,hodge_rank_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,0.003374233797374104
extraction_study,hodge_rank_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,0.0019015057738654196
extraction_study,hodge_rank_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.017587102580769676
extraction_study,hodge_rank_vs_incumbent,fiqa,11039,20,0.0006418813748004182
extraction_study,hodge_rank_vs_incumbent,fiqa,2377,20,-0.0002261325141996562
extraction_study,hodge_rank_vs_incumbent,fiqa,4002,20,0.001167624930732919
extraction_study,fas_balance_prior_fusion_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,0.002334856316089351
extraction_study,fas_balance_prior_fusion_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,0.0
extraction_study,fas_balance_prior_fusion_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.0003756959129482984
extraction_study,fas_balance_prior_fusion_vs_incumbent,fiqa,11039,20,0.0009661567387878323
extraction_study,fas_balance_prior_fusion_vs_incumbent,fiqa,2377,20,0.0
extraction_study,fas_balance_prior_fusion_vs_incumbent,fiqa,4002,20,0.0008064596291547544
extraction_study,hybrid_rrf_prior_fusion_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,0.0010720039589287467
extraction_study,hybrid_rrf_prior_fusion_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,-0.0010393774812847533
extraction_study,hybrid_rrf_prior_fusion_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.0007832195822921273
extraction_study,hybrid_rrf_prior_fusion_vs_incumbent,fiqa,11039,20,0.0009661567387878323
extraction_study,hybrid_rrf_prior_fusion_vs_incumbent,fiqa,2377,20,0.0007551520318973048
extraction_study,hybrid_rrf_prior_fusion_vs_incumbent,fiqa,4002,20,0.0005376397527698362
extraction_study,copeland_vs_incumbent,scidocs,0674058618d04def58c79a0b28174301ef591433,20,0.0
extraction_study,copeland_vs_incumbent,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,0.0
extraction_study,copeland_vs_incumbent,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.0
extraction_study,copeland_vs_incumbent,fiqa,11039,20,0.0
extraction_study,copeland_vs_incumbent,fiqa,2377,20,0.0
extraction_study,copeland_vs_incumbent,fiqa,4002,20,0.0
repair_frontier,oracle_full_frontier_upper_bound,scidocs,0674058618d04def58c79a0b28174301ef591433,20,0.003374233797374104
repair_frontier,oracle_full_frontier_upper_bound,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,0.0005196887406423767
repair_frontier,oracle_full_frontier_upper_bound,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.02348777076814349
repair_frontier,oracle_full_frontier_upper_bound,fiqa,11039,20,0.0015447341784360301
repair_frontier,oracle_full_frontier_upper_bound,fiqa,2377,20,0.0018484917442162518
repair_frontier,oracle_full_frontier_upper_bound,fiqa,4002,20,0.001436444807117837
repair_frontier,whole_graph_repair,scidocs,0674058618d04def58c79a0b28174301ef591433,20,-0.0009075837877234871
repair_frontier,whole_graph_repair,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,0.0005196887406423767
repair_frontier,whole_graph_repair,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.0030301251513551062
repair_frontier,whole_graph_repair,fiqa,11039,20,-0.0010644473181033675
repair_frontier,whole_graph_repair,fiqa,2377,20,-0.0001966350081291368
repair_frontier,whole_graph_repair,fiqa,4002,20,-0.0002688198763849181
repair_frontier,best_alt_extraction,scidocs,0674058618d04def58c79a0b28174301ef591433,20,0.003374233797374104
repair_frontier,best_alt_extraction,scidocs,1b1aed7e508dce5e1c2d847ee69b8979e3be69d2,20,-0.0012954788348045975
repair_frontier,best_alt_extraction,scidocs,9700939818a450d1bff3a3a29d71ef116d3a6a12,20,0.022060498239777626
repair_frontier,best_alt_extraction,fiqa,11039,20,0.0015447341784360301
repair_frontier,best_alt_extraction,fiqa,2377,20,0.0018484917442162518
repair_frontier,best_alt_extraction,fiqa,4002,20,0.001436444807117837
