order,query_id,split,method,budget,budget_frac,ndcg,delta_vs_bm25,topk_overlap_vs_exhaustive,topk_overlap_vs_bm25,kendall_tau_vs_exhaustive
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,1,0.009523809523809525,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,1,0.009523809523809525,0.6366278495813059,-0.12517394053908848,0.6666666666666666,1.0,0.3523809523809524
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,1,0.009523809523809525,0.6366278495813059,-0.12517394053908848,0.6666666666666666,1.0,0.3523809523809524
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,1,0.009523809523809525,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,1,0.009523809523809525,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,1,0.009523809523809525,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,5,0.047619047619047616,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,5,0.047619047619047616,0.5982528244568397,-0.1635489656635547,0.6666666666666666,0.8181818181818182,0.4095238095238095
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,5,0.047619047619047616,0.5982528244568397,-0.1635489656635547,0.6666666666666666,0.8181818181818182,0.4095238095238095
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,5,0.047619047619047616,0.7569060528760422,-0.004895737244352216,0.8181818181818182,0.8181818181818182,0.44761904761904764
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,5,0.047619047619047616,0.7528479435844877,-0.008953846535906695,0.6666666666666666,0.6666666666666666,0.44761904761904764
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,5,0.047619047619047616,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,10,0.09523809523809523,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,10,0.09523809523809523,0.9103075074400794,0.14850571731968498,0.6666666666666666,0.5384615384615384,0.5428571428571428
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,10,0.09523809523809523,0.7484853057448934,-0.013316484375501036,0.6666666666666666,0.5384615384615384,0.5428571428571428
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,10,0.09523809523809523,0.7528479435844877,-0.008953846535906695,0.6666666666666666,0.5384615384615384,0.4666666666666667
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,10,0.09523809523809523,0.7528479435844877,-0.008953846535906695,0.6666666666666666,0.5384615384615384,0.42857142857142855
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,10,0.09523809523809523,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,21,0.2,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,21,0.2,1.0,0.2381982098796056,0.8181818181818182,0.5384615384615384,0.7714285714285715
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,21,0.2,0.8539316501572937,0.09212986003689927,0.8181818181818182,0.6666666666666666,0.6761904761904762
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,21,0.2,0.9083053473410256,0.14650355722063124,0.8181818181818182,0.8181818181818182,0.5238095238095238
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,21,0.2,0.8062079522181139,0.044406162097719526,0.8181818181818182,0.6666666666666666,0.4857142857142857
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,21,0.2,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,42,0.4,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,42,0.4,1.0,0.2381982098796056,0.8181818181818182,0.5384615384615384,0.7904761904761904
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,42,0.4,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,0.9238095238095239
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,42,0.4,0.9505310077117098,0.18872921759131545,0.8181818181818182,0.6666666666666666,0.638095238095238
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,42,0.4,0.9318171001351273,0.1700153100147329,0.8181818181818182,0.6666666666666666,0.580952380952381
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,42,0.4,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,63,0.6,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,63,0.6,1.0,0.2381982098796056,0.8181818181818182,0.5384615384615384,0.7904761904761904
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,63,0.6,0.9896062251871525,0.22780443506675807,0.8181818181818182,0.6666666666666666,0.8857142857142857
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,63,0.6,0.9456352704673577,0.18383348034696334,0.8181818181818182,0.6666666666666666,0.580952380952381
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,63,0.6,0.9456352704673577,0.18383348034696334,0.8181818181818182,0.6666666666666666,0.6
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,63,0.6,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,initial_bm25,105,1.0,0.7618017901203944,0.0,0.6666666666666666,1.0,0.37142857142857144
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,sparse_copeland,105,1.0,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,pure_bt_no_prior,105,1.0,0.9896062251871525,0.22780443506675807,0.8181818181818182,0.5384615384615384,0.9809523809523809
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,fixed_blend,105,1.0,0.9505310077117098,0.18872921759131545,1.0,0.6666666666666666,0.7904761904761904
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,regularized_bt,105,1.0,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0c3ffd5f1b577e38604f361ee71feb312b5b0cab,test,exhaustive,105,1.0,0.9896062251871525,0.22780443506675807,1.0,0.6666666666666666,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,0,0.0,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,0,0.0,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,0,0.0,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,0,0.0,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,0,0.0,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,0,0.0,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,1,0.009523809523809525,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,1,0.009523809523809525,0.9512312000626861,0.044406162097719526,0.5384615384615384,1.0,0.37142857142857144
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,1,0.009523809523809525,0.9512312000626861,0.044406162097719526,0.5384615384615384,1.0,0.37142857142857144
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,1,0.009523809523809525,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,1,0.009523809523809525,0.9068250379649666,0.0,0.5384615384615384,1.0,0.4095238095238095
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,1,0.009523809523809525,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,5,0.047619047619047616,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,5,0.047619047619047616,0.9182162519778518,0.011391214012885231,0.6666666666666666,0.8181818181818182,0.42857142857142855
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,5,0.047619047619047616,0.9182162519778518,0.011391214012885231,0.6666666666666666,0.8181818181818182,0.42857142857142855
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,5,0.047619047619047616,0.943473299121064,0.03664826115609743,0.6666666666666666,0.8181818181818182,0.5047619047619047
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,5,0.047619047619047616,0.9068250379649666,0.0,0.6666666666666666,0.8181818181818182,0.4857142857142857
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,5,0.047619047619047616,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,10,0.09523809523809523,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,10,0.09523809523809523,0.9896062251871525,0.08278118722218586,0.6666666666666666,0.42857142857142855,0.5238095238095238
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,10,0.09523809523809523,0.9068250379649666,0.0,0.5384615384615384,0.5384615384615384,0.44761904761904764
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,10,0.09523809523809523,1.0,0.09317496203503339,0.6666666666666666,0.5384615384615384,0.6952380952380952
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,10,0.09523809523809523,0.9747429528567879,0.06791791489182131,0.6666666666666666,0.5384615384615384,0.6761904761904762
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,10,0.09523809523809523,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,21,0.2,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,21,0.2,1.0,0.09317496203503339,0.5384615384615384,0.42857142857142855,0.42857142857142855
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,21,0.2,0.9896062251871525,0.08278118722218586,0.5384615384615384,0.42857142857142855,0.5047619047619047
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,21,0.2,1.0,0.09317496203503339,0.5384615384615384,0.5384615384615384,0.5619047619047619
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,21,0.2,1.0,0.09317496203503339,0.5384615384615384,0.5384615384615384,0.6571428571428571
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,21,0.2,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,42,0.4,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,42,0.4,1.0,0.09317496203503339,0.8181818181818182,0.6666666666666666,0.7142857142857143
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,42,0.4,1.0,0.09317496203503339,0.6666666666666666,0.5384615384615384,0.7714285714285715
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,42,0.4,1.0,0.09317496203503339,0.8181818181818182,0.6666666666666666,0.7714285714285715
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,42,0.4,0.9896062251871525,0.08278118722218586,0.6666666666666666,0.6666666666666666,0.7333333333333333
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,42,0.4,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,63,0.6,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,63,0.6,1.0,0.09317496203503339,0.6666666666666666,0.5384615384615384,0.7333333333333333
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,63,0.6,1.0,0.09317496203503339,0.6666666666666666,0.5384615384615384,0.8476190476190476
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,63,0.6,1.0,0.09317496203503339,0.8181818181818182,0.6666666666666666,0.8285714285714286
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,63,0.6,1.0,0.09317496203503339,0.6666666666666666,0.5384615384615384,0.8095238095238095
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,63,0.6,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,initial_bm25,105,1.0,0.9068250379649666,0.0,0.5384615384615384,1.0,0.3904761904761905
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,sparse_copeland,105,1.0,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,pure_bt_no_prior,105,1.0,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,fixed_blend,105,1.0,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,regularized_bt,105,1.0,1.0,0.09317496203503339,1.0,0.5384615384615384,0.9809523809523809
random,0ce7927d613e66a2062516e9e85e1b9a36d54029,dev,exhaustive,105,1.0,1.0,0.09317496203503339,1.0,0.5384615384615384,1.0
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,initial_bm25,0,0.0,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,sparse_copeland,0,0.0,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,pure_bt_no_prior,0,0.0,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,fixed_blend,0,0.0,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,regularized_bt,0,0.0,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,exhaustive,0,0.0,1.0,0.02910768238943018,1.0,0.8181818181818182,1.0
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,initial_bm25,1,0.009523809523809525,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,sparse_copeland,1,0.009523809523809525,0.7629371898492955,-0.20795512776127434,0.8181818181818182,1.0,0.5238095238095238
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,pure_bt_no_prior,1,0.009523809523809525,0.7629371898492955,-0.20795512776127434,0.8181818181818182,1.0,0.5238095238095238
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,fixed_blend,1,0.009523809523809525,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,regularized_bt,1,0.009523809523809525,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,exhaustive,1,0.009523809523809525,1.0,0.02910768238943018,1.0,0.8181818181818182,1.0
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,initial_bm25,5,0.047619047619047616,0.9708923176105698,0.0,0.8181818181818182,1.0,0.6190476190476191
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,sparse_copeland,5,0.047619047619047616,0.9512312000626861,-0.01966111754788369,0.6666666666666666,0.8181818181818182,0.5428571428571428
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,pure_bt_no_prior,5,0.047619047619047616,0.7816510974258781,-0.1892412201846917,0.6666666666666666,0.8181818181818182,0.5238095238095238
random,0daf48d0ce4e4200a753c28519f5761b160944fb,test,fixed_blend,5,0.047619047619047616,0.9818483242455303,0.010956006634960436,0.8181818181818182,1.0,0.6761904761904762
